record_no,line_no,text
2021-0075,3,"it argues that while the entrepreneurial ecosystem literature benefits from a conceptualisation of these ecosystems as complex adaptive systems, there must be a consideration of the potential for transformative agency by actors in the evolutionary dynamics of entrepreneurial ecosystems"
2021-0011,0,this article surveys research on the effects of digitalization on access to finance
2021-0011,1,we focus the review on access through fintech
2021-0011,2,"we review the growth of three main fintech technologies, fintech lending (incl"
2021-0011,3,"peer-to-peer lending), crowdfunding and initial coin offerings"
2021-0011,4,we discuss existing evidence on how fintech affects access to finance for firms and investors and consider the regulatory challenges it poses
2021-0011,5,"we incorporate the papers in this special issue, underlining their significant contributions to our understanding of the digitalization of finance and its effects"
2021-0011,6,"finally, we discuss the challenges of research in the digital finance area and propose some new avenues for future research"
2021-0047,0,financial technology will be widespread attention
2021-0047,1,it is growing rapidly
2021-0047,2,"as a result of its continued development, new regulations have already been introduced in this field"
2021-0047,3,"the word ""fintech"" is one such word"
2021-0047,4,financial technology will be used in the field for various activities
2021-0047,5,"usually, these procedures are performed by the company or organization that provides information technology-based service that is requested by using an application"
2021-0047,6,"various other important issues, such as network attack security restrictions and privacy threat accounts, should not be left unattended"
2021-0047,7,"it integrates various state-of-the-art technologies such as mobile, embedded systems, mobile networks, mobile computing, cloud, big data, data analysis technology, and embedded cloud computing, including fintech development"
2021-0047,8,"it is important to embedded finance (ef) for its seamless integration and finance of its customers' business services, just as ride-sharing companies uber and lyft have integrated very successful payments"
2021-0047,9,refers to the provision of services
2021-0047,10,"embedded finance is a financial service on the terms of the customer, from anywhere, anytime"
2021-0047,11,there is no longer a need to visit banks that have access to their money
2021-0047,12,"in some cases, embedded finance (in more specifically embedded banks) eliminates traditional banks"
2021-0032,0,"in the first of two reports on fintech, i review definitions, roots and taxonomies of fintech, survey studies charting fintech development, and theoretical approaches to fintech"
2021-0032,1,emerging empirical research shows a dynamic growth of fintech characterized by heterogeneity and diversity
2021-0032,2,"ecosystems, financial ecologies, and digital platform economies are the most popular approaches to fintech, and i argue that they can be used fruitfully in combination with more established concepts, such as networks and agglomeration"
2021-0032,3,"overall, i show that fintech research is in a state of flux concerning concepts and empirics, and highlight the potential of geography to tame the beast"
2021-0009,0,the rise of digital technologies enables new manifestations of racialization in financial services with marketplace implications
2021-0009,1,"akin to redlining in the lending market, racialization in the spatial availability of digital technologiesincluding financial technologies or fintechmay raise the costs of banking in black and brown communities"
2021-0009,2,this paper investigates associations between communities' racial makeup and rates of fintech by leveraging 2015 esri business analyst market potential data from the universe of high-poverty zip codes
2021-0009,3,poor black and brown communities experience a form of digital redlining by having the lowest fintech rates
2021-0009,4,"every percentage increase in a community's black population was associated with an 18% decrease in their rate of high-speed internet access, 1% decrease in smartphone ownership, 12% decrease in online banking, and 3% decrease in mobile banking"
2021-0009,5,"relationships were opposite for communities with increasing white populations where whiteness attracts higher rates of fintech, even amidst high poverty"
2021-0137,0,the paper analyzes the current trends of fintech companies' development in relation to the quality of digital logistics
2021-0137,1,"by using the data from fintech companies' ceo interviews, we assess the key trends in fintech companies' development over the past 3 years, reveal key technologies used by these companies and their evolution, and state the importance and relevance of digital logistics issues for fintech companies clients' satisfaction"
2021-0137,2,the research indicates that for fintech company client the ease of getting through the service (optimization of information flows) appears to be more important than other characteristics of the offered product
2021-0137,3,"from the theoretical point of view, our research indicates, that besides key growth driving factors, outlined in existing literature, such as strategy, prerequisites for rapid growth, business model choice, international business networks, entrepreneur's characteristics, product development or theoretical frameworks for development, especially within the international market, the quality of digital logistics performance of fintech companies seem to matter"
2021-0138,0,fintech utilizes innovative technology to offer improved monetary administrations and financial solutions
2021-0138,1,according to data from the prediction of autonomous research artificial intelligence (ai) technologies will allow financial institutions to reduce their operational costs by 22% by 2030
2021-0138,2,"throughout this paper, we study how ai and machine learning algorithms can lead to credit card fraud detection"
2021-0138,3,"after making the theoretical approach to the subject, we develop two different methods autoencoder (semi-supervised learning) and logistic regression (supervised learning) for fraud detection with a high level of accuracy"
2021-0138,4,the results obtained with both methods are promising as we were able to predict fraud transactions with 94% certainty
2021-0139,0,"in recent years, emerging technologies such as blockchain, big data, and artificial intelligence have developed rapidly and been applied in the financial field, which has caused earth-shaking changes in the overall structure of the financial industry and exerted a profound impact on the banking industry in particular"
2021-0139,1,"this paper starts with an overview of financial technology, analyzes the opportunities and challenges faced by the banking industry in the context of financial technology, and makes relevant recommendations on the coordinated development and transformation of the banking industry"
2021-0140,0,"with an innovation to offer in product services in the banking and financial services industry, fintech has received both attention from investors and regulatory bodies across globe"
2021-0140,1,"with a primary objective to improve financial inclusion for unbanked population in emerging economies through mobile devices, fintech have become new commercial entities that promise to deliver millennium goals of world bank and g20 nations"
2021-0140,2,"the availability of huge user data due to use of mobile devices and its use to generate sales of financial products, fintech companies and solutions are constantly changing and are unique to each fintech company"
2021-0140,3,"fintech have devised a business model to provide financial services in the form of payment services, wealth management, crowd funding, lending services, forex services for remittance, digital wallets and digital currencies"
2021-0140,4,"the data driven business model, connected customers over mobile phones and several financial services demand new regulatory framework that also protects consumers and prevents systemic risk in the economy"
2021-0140,5,"in this paper, we have identified the regulatory guidelines issued for various financial product for customers and challenges fintech will need to solve to provide innovative services"
2021-0140,6,"the paper aims to cover the life cycle of products, scope of innovation for fintech and methods to meet requirements by regulatory bodies"
2021-0140,7,this paper covers the requirements by products in 'account services' offered by banking and financial services industry
2021-0076,0,this article focuses on the relationship between fintech and bank risk-taking behavior
2021-0076,1,"since robo-advisor is one of the mature applications of fintech, we found that the development of fintech will have a greater impact on small and medium-sized banks through the establishment of a robo-advisor model"
2021-0076,2,this paper uses a benchmark regression model to analyze the municipal digital financial inclusion index compiled by peking university and the annual report data of 155 small and medium-sized banks from 2011 to 2016
2021-0076,3,we found that the development of fintech has significantly reduced bank risk-taking level
2021-0076,4,this result is still valid after the robustness test of replacing the banks risk-taking index and replacing the fintech development index
2021-0076,5,"we used the urban innovation index as an instrumental variable to deal with the endogenous problem, and obtained consistent estimation results"
2021-0076,6,"the test of the intermediary effect shows that the development of fintech will affect the bank risk-taking through channels such as the banks internal interest margin, management capabilities, the banks external competition intensity, and residents saving willingness"
2021-0076,7,"heterogeneity analysis shows the reduction effect of fintech on bank risk-taking is more pronounced in banks in eastern and western regions in china, the large banks and the urban commercial banks"
2021-0052,0,ending poverty in all its forms by 2030 remains the first agenda of sustainable development goals set by the united nations in 2015
2021-0052,1,"motivated by this agenda, this study examined the direct and indirect effect of financial technology (fintech) and its sub-measures of third-party payment and credit on poverty measured by household per capita consumption"
2021-0052,2,we used a panel of 31 provinces in china from 2011 to 2017
2021-0052,3,the results indicated that fintech and these sub-measures reduce poverty in china
2021-0052,4,the results further showed that fintech complements economic growth and financial development to reduce poverty in china
2021-0077,0,the role of digital technostress and self-efficacy in digital marketing research is seldom discussed and even more rarely examined among gen z consumers
2021-0077,1,"this study investigates the relationships between four sub-dimensions of technostress (complexity, overload, invasion, and uncertainty), digital technology self-efficacy, and fintech usage intention"
2021-0077,2,data from a total of 266 chinese gen z consumers were used in multiple regression analysis
2021-0077,3,the results of the study generally support that all sub-dimensions of technostress were negatively related to fintech usage intention
2021-0077,4,"related to the moderating effects of digital technology self-efficacy on the relationship between the four sub-dimensions of technostress and fintech usage intention, significant interaction effects with complexity and overload were found"
2021-0077,5,"finally, the study discusses the theoretical and managerial implications of the research findings"
2021-0078,0,"although fintechs and incumbents are applying artificial intelligence (ai) differently, they both expect that the status-quo will likely be maintained through collaboration rather than competition"
2021-0078,1,both perceive bigtechs as a strategic threat given their ai capabilities and their entrance into financial services
2021-0078,2,incumbents are experimenting with more different kinds of ai than fintechs: fintechs use the technologies for new products and services while incumbents are using them for incremental innovations to existing products and services
2021-0078,3,"the incumbents expect that adopting ai will lead to a loss in jobs of 9% over the next 10 years and, because these companies represent a large percentage of the workforce (median company size surveyed has more than 10,000 employees), this loss in jobs cannot be compensated by the 19% increase in jobs provided by existing fintechs (median company size surveyed has less than 50 employees)"
2021-0078,4,"ai can reduce and increase risk, and most incumbents and fintechs agree that there will be no effect on risk at the organizational level but that there will be an increase in risk at the societal level"
2021-0078,5,"while both fintechs and incumbents agree on the relative importance of legal and human hurdles and consider the biggest hurdle is related to data and regulations concerning data, fintechs perceive these hurdles to be greater than do incumbents"
2021-0020,0,"artificial intelligence (ai) is creating a rush of opportunities in the financial sector, but financial organizations need to be aware of the risks inherent in the use of this technology"
2021-0020,1,"financial organizations are integrating ai in their operations: in-house, outsourced, or ecosystem-based"
2021-0020,2,"the growth of ai-based fintech firms has encouraged several mergers and acquisitions among financial service providers and wealth managers as they grapple with volatility, uncertainty, complexity, and ambiguity"
2021-0020,3,ai's unique promise of combined cost reduction and increased differentiation makes it generally attractive across the board
2021-0020,4,"however, perhaps other than fraud detection, these benefits depend on the scale of an organization"
2021-0020,5,"risk arises from nonrepresentative data, bias inherent in representative data, choice of algorithms, and human decisions, based on their ai interpretations (and whether humans are involved at all once ai has been unleashed)"
2021-0020,6,risk reduction requires a vigilant division of labour between ai and humans for the foreseeable future
2021-0012,0,"as the impacts of the covid-19 pandemic play out globally, the banking industry has been affected in both positive and negative ways, with the crisis creating both opportunities and threats for the collaborations between fintech and banks"
2021-0012,1,the aim of this study is to investigate the impact of fintech products (ftps) on commercial bank's performance in china
2021-0012,2,required data are collected with a quantitative approach and two self-designed questionnaires were distributed to customers and employees of commercial banks in china
2021-0012,3,the gathered data were examined using the structural equation modeling technique
2021-0012,4,"the results of this study reveal that the perceived usefulness (pu) of ftps has positive and significant impacts on customer satisfaction, low expectation of bank employee assistance, bank's service quality and employee work efficiency"
2021-0012,5,"additionally, the perceived difficulty of use (pd) of ftps has negative and significant impacts on customer satisfaction and low expectation of assistance"
2021-0012,6,"interestingly, there is a positive and significant relationship between pd and banks' service quality and work efficiency, meaning that the service quality and work efficiency can reduce some shortcomings of using ftps"
2021-0012,7,this study recognizes the need to enhance the understanding of ftps on non-financial firm performance
2021-0012,8,this is the first study that helps commercial banks in china understand the perception of ftps from both customer and employee perspectives
2021-0022,0,"in the fourth industrial revolution, the prevalence of innovation and technology in the financial sector is indisputable"
2021-0022,1,"the purpose of this study is to determine the effect of it investments on intellectual capital, aggregated and decomposed into its components, competitive advantage, and the performance of banks (tobin's q and camels)"
2021-0022,2,"these forces are further classified in terms of dual banking, bank size, and market position, and any country-based phenomena that might be applicable"
2021-0022,3,"moreover, data is collected from 65 banks in the saarc region, based on a time span of 11 years, from the years 2008 to 2018, and involving a total of 715 observations"
2021-0022,4,"based on the endogeneity of it investments, this study uses gmm regression for empirical analysis"
2021-0022,5,"the findings elicited from the empirical results demonstrate a positive impact of it investments on the intellectual capital, and some sub-components"
2021-0022,6,"in the case of the impact of it investments' on competitive advantage, the results are have come out to be diverse in nature"
2021-0022,7,"from a theoretical perspective, this paper contributes to the existing literature by presenting a valuable analytical framework for exploring the role of it investments in a rapidly changing financial sector"
2021-0035,0,purpose: the purpose of this paper is to explore the audit-related causes of financial scandals and advice on how emerging technologies can provide solutions thereto
2021-0035,1,"specifically, this study seeks to look at the facilitators of financial statement fraud and explain specific fintech advancements that contribute to financial information reliability for equity investments"
2021-0035,2,design/methodology/approach: the study uses the case studies of enron and arthur andersen to document the evidence of audit-related issues in historical financial scandals
2021-0035,3,"then, a comprehensive and interdisciplinary literature review at the intersection of business, accounting and engineering, provides a foundation to propose technology advancements that can solve identified problems in accounting and auditing"
2021-0035,4,"findings: the findings show that blockchain, internet of things, smart contracts and artificial intelligence solutions have different functionality and can effectively solve various financial reporting and audit-related problems"
2021-0035,5,"jointly, they have a strong potential to enhance the reliability of the information in financial statements and generally change how companies operate"
2021-0035,6,"practical implications: the proposed and explained technology advancements should be of interest to all publicly listed companies and investors, as they can help safeguard equity investments, thus build investors trust towards the company"
2021-0035,7,"social implications: aside from implications for capital markets participants, the study findings can materially benefit various stakeholder groups, the broader company environment and the economy"
2021-0035,8,originality/value: this is the first paper that seeks solutions to financial fraud and audit-related financial scandals in technology and not in implementing yet another regulation
2021-0035,9,"given the recent technology advancements, the study findings provide insights into how the role of an external auditor might evolve in the future"
2021-0141,0,"in the industry 4.0 model, innovation and technology are adopted to revolutionize business models with a particular focus on repeatable and scalable business models"
2021-0141,1,this study investigates the opportunities and challenges of fintech startup firms using thailand as a case study
2021-0141,2,a mixed-method approach is adopted using secondary data accessed from thailand fintech associations and primary data collected from in-depth interviews
2021-0141,3,descriptive analysis and content analysis were used to achieve robust results
2021-0141,4,"the empirical results show a snapshot of fintech firms in thailand, and how they generate both opportunities and challenges for development and growth"
2021-0141,5,"findings indicate that these opportunities and challenges occur as a result of the national technology system and financial regulations, symbiotic relationships, and the inter-relationship through digital literacy, financial literacy, and financial inclusion"
2021-0141,6,the study discusses each factor in detail and proposes suggestions for further studies
2021-0141,7,"the findings could be used by policy makers and local authorities to make improvements, as well as minimize the potential risks for fintech startup firms and contribute to sustainability in the economy as a whole"
2021-0036,0,"financial technology (fintech) is a growing industry in indonesia, supported by advances in the technological infrastructure"
2021-0036,1,"at the end of 2019, the financial services authority (ojk), the financial authority in indonesia, recorded 164 registered and licensed fintech (p2p lending) companies"
2021-0036,2,"however, since early 2018, the investment alert task force (swi) and the ministry of communication and information technology have blocked 1,350 illegal fintech platforms"
2021-0036,3,"illegal fintech lending practices have mechanisms beyond the responsibility and authority of the ojk, including the risk of collection and distribution of personal data"
2021-0036,4,"the essence of this study is to discuss the landscape of fintech p2p lending in indonesia from indonesian online news data, explore cases of fintech p2p lending in indonesia, and understand the rules and policies"
2021-0036,5,qualitative research with a case study approach and focus group discussion techniques were used to obtain data from 4 stakeholders in the fintech p2p lending industry in indonesia
2021-0036,6,"vos viewer software is used to build keywords from indonesian online news collections, nvivo 12 qualitative software is used to assist data analysis"
2021-0036,7,"the research found the keyword clusters most frequently discussed in the indonesian online news collection and five case themes such as public awareness about p2p lending (user understanding), data leakage, and restriction of data access, including personal data protection, personal data fraud, illegal fintech lending, and product marketing ethics"
2021-0053,0,land degradation is a global issue that affects the livelihood of billions of people worldwide
2021-0053,1,"various responses have emerged to achieve the land degradation neutrality target, including the un one billion tree campaign and decade on ecosystem restoration"
2021-0053,2,"ant forest, a land restoration approach initiated by china's largest fintech company alibaba, has made substantial progress on land restoration in degraded areas in china, especially in desert areas"
2021-0053,3,it represents a new model of transforming environmental protection intentions and activities of users into actual environmental benefits by planting trees
2021-0053,4,the lessons and implications of ant forest can contribute to ecosystem restoration globally
2021-0053,5,"however, the effects and effectiveness of ant forest are not fully understood"
2021-0053,6,"here we use the data from official reports from alibaba's ant financial, as well as remote sensing data, to examine how the ant forest contributes to land restoration and its socio-economic effects"
2021-0053,7,"we found that ant forest has many potential roles for achieving sustainable development goals, ranging from land restoration, carbon emission reduction, poverty reduction, human health improvement and many more"
2021-0053,8,"while its innovation has brought its international reputation at home and abroad, whether the project itself can sustain is still a question that needs to be concerned"
2021-0053,9,"the fintech facilitated restoration has the potential to be scaled up, but it still needs to continue updating its platform, keep the intentions of the existed users and encouraging more new users to join in the effort"
2021-0004,0,this study explores the new area of corporate social responsibility (csr) and financial performance in the context of the fintech technology
2021-0004,1,the fintech technology is currently a very interesting and growing area in the financial organization and how it affects financial performances in different dimensions of banking sector
2021-0004,2,this study investigates the linear and non-linear relationship between corporate social performance (csp) and banking performance (bp) by using the dataset of chinese banks from 2009 to 2018
2021-0004,3,"the results indicate that the interactive variable of csr (gov*soc) shows insignificant influence on the returns on assets (roa), returns on equity (roe), and nominal interest margin profit (nimp) from dependent variable"
2021-0004,4,"moreover, the other csr variable such as gov*env significantly positively influences roa and roe"
2021-0004,5,"the square value of the gov governance disclosures scores shows insignificant influence regarding roa, roe, and nimp"
2021-0004,6,"finally, the fintech technology (fintech) positively and significantly impacts on roe and nimp and positively but insignificantly affects on roa in both linear and non-linear models of the study"
2021-0004,7,this study is a roadmap for the financial firms to improve their sources through modern fintech technology regarding financial sector
2021-0054,0,"we study the effects of technological change on financial intermediation, distinguishing between innovations in information (data collection and processing) and communication (relationships and distribution)"
2021-0054,1,"both follow historical trends towards an increased use of hard information and less in-person interaction, which are accelerating rapidly"
2021-0054,2,"we evaluate more recent innovations, such as the combination of data abundance and artificial intelligence, and the rise of digital platforms"
2021-0054,3,we argue that the rise of new communication channels can lead to the vertical and horizontal disintegration of the traditional bank business model
2021-0054,4,"specialized providers of financial services can chip away activities that do not rely on access to balance sheets, while platforms can interject themselves between banks and customers"
2021-0054,5,"we discuss limitations to these challenges to the traditional bank business model, and the resulting policy implications"
2021-0142,0,takaful is not working and any help is welcome
2021-0142,1,takaful represents a mere 2% of the global islamic finance business
2021-0142,2,the problems of takaful are many
2021-0142,3,"fintech does not, and is not meant to, make a product more shariah-compliant"
2021-0142,4,technological developments in the financial services sector are there to improve the customer experience and company productivity by increasing efficiency and accessibility in production and distribution
2021-0142,5,"the aim of this chapter is to explore, by way of looking at a case study, the extent to which fintech can help takaful"
2021-0143,0,this paper aims to outline the critical elements for successful deployment of technology to maximize the benefit as well as minimize the negative impacts of islamic fintech
2021-0143,1,"social welfare improvement and justice are cornerstone features of the maqasid al-sharia, or higher objectives of islamic law"
2021-0143,2,"the paper will present an overview of literature, present relevant case studies and summarize the lessons from interviews conducted with three islamic fintech founders"
2021-0143,3,"this study concludes that by systematizing a robust theory of change linked to positive outcomes, utilizing objective impact measurement frameworks and instilling a risk management culture that is proactive about potential social harm, fintech can enable the islamic finance industry to support positive social impact and minimize harm in support of the maqasid"
2021-0144,0,the scale of funding and technical support required to achieve the ambitious sdg 2030 agenda are still far beyond the scope of governments budgets and traditional funding mechanisms
2021-0144,1,there is a timely opportunity for islamic finance to contribute to bridging the sustainabilityfinancing gap
2021-0144,2,the chapter discusses the relationship between sustainability and islamic finance through a technology perspective
2021-0144,3,"more specifically, the chapter surveys sustainability challenges in oic countries and the role islamic finance should play in this context"
2021-0144,4,"the chapter, finally, analyzes islamic fintech experiences in sustainability and proposes recommendations to unleash the potential of fintech in the context of islamic finance"
2021-0145,0,the implementation of new technologies is expected to boost the development of islamic finance by increasing accessibility to banking and other financial services in islamic communities and democratizing access to investment opportunities
2021-0145,1,"at the same time, new technologies will increase financing opportunities and facilitate asset management for sharia-compliant businesses"
2021-0145,2,"this collection of essays from selected experts in the field comprise some of the most topical issues on islamic fintech, combining a business focus with legal insights"
2021-0145,3,the book takes as a point of departure the role that islamic fintech can play in promoting sustainability
2021-0145,4,"the social vision of welfare improvement and justice is already embedded in sharias economic rules, which makes islamic finance particularly well suited to bridge the gap between sustainability and funding"
2021-0145,5,"although it is not without challenges for the industry, technology will help unleash its potential"
2021-0145,6,"with a holistic approach to islamic fintech, the contributing authors address the application of new technologies to islamic finance, including robo-advisory, crowdfunding and digital ledger technology (both in the issuance of bitcoin and the registration of securities in tokenized form) and in certain sectors such as takaful (takaful-tech) and health (e-health)"
2021-0145,7,"finally, they explore the challenges posed by anti-money laundering (aml) in the specific realm of islamic fintech"
2021-0145,8,"the book combines theoretical analysis with a practical focus, both through case studies and directly through the experiences of leading entrepreneurs"
2021-0145,9,"in addition, it provides insights on legal and regulatory aspects, which are key in a field that is still in its infancy and needs support from lawmakers and regulators"
2021-0145,10,"it is, thus, a reference for academics, legal practitioners, policymakers, entrepreneurs and the islamic finance community"
2021-0033,0,purpose: this paper aims to elaborate the reasons why indonesia needs law on fintech
2021-0033,1,"this paper also identifies the flaws in the existing regulations and policies on fintech, and it also proposes an ideal framework for a fintech law as a strategy to strengthen consumer protection and to accelerate the growth of the digital economy in indonesia"
2021-0033,2,design/methodology/approach: this is normative research with a legal approach
2021-0033,3,data were collected through a literature study and analyzed using legal norm method
2021-0033,4,findings: the promising potential and growth of the fintech industry in indonesia need to be supported by a sound legal framework in the form of indonesian law
2021-0033,5,"in regards to fintech, indonesia does not yet have a specific law on fintech"
2021-0033,6,"existing regulations in the bank of indonesia regulations (pbi) and indonesia financial services authority regulations (pojk) only regulate the technical aspects of the industry, thus providing a less sound legal power"
2021-0033,7,bank of indonesia (bi) and indonesia financial services authority (ojk) have limited authority in the making of regulations and the regulations produced by these institutions cannot stipulate criminal provisions
2021-0033,8,this results in inadequate consumer protection measures
2021-0033,9,"the investment alert task force reported 2,018 illegal p2p lending, 472 illegal investment companies and 69 illegal pawnbrokers"
2021-0033,10,"the accumulation of online lending transactions in december 2019 reached a total of idr81.50tn, seeing a 259.56% increase from the previous year"
2021-0033,11,"meanwhile, the amount of bad debt reached idr13.6tn, seeing a 169.48% increase"
2021-0033,12,these reasons illustrate how urgently indonesia needs fintech law
2021-0033,13,research limitations/implications: this research only examines the existing fintech regulations in indonesia
2021-0033,14,the approach method used is normative legal research
2021-0033,15,"practical implications: this research is expected to be useful for the house of representatives of the republic of indonesia (dpr), the ministry of law and human rights, the indonesia financial services authority (ojk) and bank of indonesia (bi) in drafting the fintech law"
2021-0033,16,"social implications: this research is expected to increase protection for consumers, investors and providers of fintech services and accelerate the growth of the digital economy in indonesia"
2021-0033,17,"originality/value: regulating fintech in the indonesian law is meant to give legal certainty and better legal protection for consumers, investors and providers of fintech services"
2021-0033,18,"seeing that the value of the indonesian digital economy in 2019 has reached usd40bn (approximately idr586tn), indonesia is philosophically, juridically and sociologically in urgent need of fintech law"
2021-0146,0,[no abstract available
2021-0147,0,[no abstract available
2021-0148,0,[no abstract available
2021-0149,0,[no abstract available
2021-0150,0,in this paper we shall discuss about the need of marketing for the emerging trend fintech
2021-0150,1,"emerging trends like bitcoin, big data, fintech, blockchain require a lot of marketing related activities to increase the awareness about the same among the customers"
2021-0150,2,we shall also shed light on how ready the gen-z is to be the new users of fintech
2021-0150,3,"we will also compare the existing users, i.e., the millennials with the gen-z"
2021-0150,4,"for conducting the analysis, we have considered a random sample of size 84 with age group 18-24 and above 24 which was collected through questionnaire"
2021-0150,5,"although the ages of gen-z in the current year range from 12 years to 24 years, we chose to collect data from respondents who are officially adults i.e., 18 years"
2021-0150,6,"we applied certain statistical test using r program (4.02) to understand the pattern and relationship of the above age groups on their understanding about financial technologies and related aspects like the possibility of using, trusting, and investing in the fintech services"
2021-0150,7,the results derived from the statistical analysis confirmed the assumptions and thus concluded that gen-z group is uninformed of the latest trends in financial technology
2021-0150,8,we have found that most of the gen-z is unaware about the basic concepts of the fintech
2021-0150,9,"because of this lack of awareness and knowledge, most of the gen-z do not intended to use the fintech services nor wish to invest in the fintech service provider companies"
2021-0019,0,"this chapter presents a financial technology zakat distribution system (zds) that uses artificial intelligence, blockchain, machine learning, and natural language processes"
2021-0019,1,"zds uses artificial intelligence, machine learning techniques, natural language processing, and an inference engine for recommendations"
2021-0019,2,"in modern terms, it is one of the most important tools for poverty alleviation and financial inclusion"
2021-0019,3,the chapter discusses the zakat system in india and the issues in the context of india
2021-0019,4,"based on a survey from more than 4, 500 muslims in india, it was concluded that 70% of the respondents feel that zakat is an important tool to eradicate poverty among muslims in india"
2021-0019,5,the chapter also discusses the problems and issues in the zakat collection and distribution system in general
2021-0019,6,"the problems of efficiency in distribution, including reaching the right beneficiaries are also addressed by the proposed system"
2021-0048,0,"this chapter begins with the discussion of financial technology (fintech) and sustainable islamic finance by defining and explaining fintech, islamic finance, and sustainability"
2021-0048,1,the concept of sustainable development is more about environmental issues focusing on the negative effect of industrial development on the environment
2021-0048,2,the chapter presents a five-step strategic model to achieve sustainable development through islamic fintech
2021-0048,3,"the first pillar is simplifying the process of opening an account and electronic knowing your customer, an anti-money-laundering process along with digital id"
2021-0048,4,"the second pillar is a digital payments system, and the third pillar is the introduction of new innovative artificial intelligence and blockchain-based islamic financial services"
2021-0048,5,"the fourth pillar is to use the first three pillars to deliver government services to achieve financial inclusion, and finally, the fifth and last pillar is to ensure sharia compliance of all four pillars of sustainable development in islamic finance"
2021-0151,0,purpose: this study aims to propose a hybrid microfinance model that integrates various islamic commercial and social finance institutions through fintech for efficient and impactful results
2021-0151,1,the microfinance model caters to the financial and social intermediation needs through a set of financial services and non-financial support
2021-0151,2,design/methodology/approach: the study uses both a mathematical model and an empirical estimation using micro panel data to establish the core problem in microfinance operations
2021-0151,3,conclusions from the mathematical model and estimated results in the empirical analysis are used to suggest an institutional design which embeds technology in the delivery of islamic microfinance in an integrated structure
2021-0151,4,"for screening and incentive conditions, the study gives illustration through numerical examples"
2021-0151,5,"findings: the mathematical model highlights the need for financial sustainability, outreach, scale and complementariness of non-financial factors such as commitment, repayment incentives and skills enhancement multiplier"
2021-0151,6,"in light of this, the proposed islamic microfinance model is outlined to create synergies by integrating a diversity of funding sources through social savings and impact investments"
2021-0151,7,the programme also blends financial services with non-financial support to ensure engagement and commitment on a long-term basis
2021-0151,8,it uses fintech in various demand and supply-side operations to show how technology embeddedness can help in achieving cost efficiencies and extend outreach
2021-0151,9,originality/value: it is the first study in integrated institutional design in islamic microfinance literature that embeds fintech in both demand side and supply side operations comprehensively
2021-0151,10,"the proposed model is conducive for enhancing outreach, scale and impact in the islamic microfinancial services"
2021-0152,0,the author reviews a new rule that will allow banks and fin techs to structure consumer savings account partnerships that avoid triggering brokered deposit designations
2021-0153,0,charles w
2021-0153,1,"calomiris is the henry kaufman professor of financial institutions at columbia business school, director of the business school's program for financial studies initiative on finance and growth in emerging markets, and a professor at columbia's school of international and public affairs"
2021-0153,2,he wrote this article during his tenure as chief economist and senior deputy comptroller for economics at the office of the comptroller of the currency
2021-0153,3,the opinions expressed are those of the author and not necessarily those of the occ or the u.s
2021-0153,4,government
2021-0153,5,"he thanks the members of the occ economics working group on fintech and financial inclusion for assistance, including chau do, kristoffer jackson, sean lewis-faupel, irina paley, and chris reynolds"
2021-0153,6,"he also thanks peter stella, stephen karolyi, chau do, murillo campello, and bryan hubbard for helpful comments on earlier drafts"
2021-0153,7,the usual caveat applies
2021-0153,8,"what we use as our medium of exchange is subject to dramatic change over time, and sometimes bank regulation has accelerated such changes"
2021-0153,9,"the national banking system, founded in 1863, envisioned the creation of a uniform medium of exchange in the form of national bank notes, which replaced the preexisting system of state bank note issuance"
2021-0153,10,but the creation of the national banking system soon resulted in the diminished importance of bank notes as a medium of exchange
2021-0153,11,"under the new system, state banks faced a prohibitive tax of 10 percent per year on any notes they issued, and national banks had to maintain collateral at the treasury for their outstanding national bank notes equal to 111 percent of their outstanding notes, and also had to maintain an additional 5 percent in required government-currency (greenback) cash reserves on hand"
2021-0153,12,"that meant that if a bank wanted to make loans, it had to find an alternative to bank notes as a funding source for those loans"
2021-0154,0,[no abstract available
2021-0079,0,i ask whether machine learning (ml) algorithms improve the efficiency in lending without compromising on equity in a credit environment where soft information dominates
2021-0079,1,i obtain loan application-level data from an indian bank
2021-0079,2,"to overcome the problem of the selective labels, i exploit the incentive-driven within officer difference in leniency within a calendar month"
2021-0079,3,i find that the ml algorithm can lend 60% more at loan officers' delinquency rate or achieve a 33% lower delinquency rate at loan officers' approval rate
2021-0079,4,the efficiency is maintained even when the algorithm is explicitly prevented from discriminating against disadvantaged social classes
2021-0079,5,&copy
2021-0079,6,2020 the author(s)
2021-0079,7,published by oxford university press on behalf of the european finance association
2021-0079,8,all rights reserved
2021-0155,0,"in this paper, we provide a survey of recent developments in the fintech (financial technology) industry, focusing on the operational structures, the technologies involved, and the operational risks associatedwith the newsystems"
2021-0155,1,"in particular,we discuss payment systems, algorithmic trading, robo-advisory, crowdfunding, and peer-to-peer lending"
2021-0155,2,"in the conclusion section, we discuss various romising research directions"
2021-0031,0,"technologies have spawned finance innovations since the early days of computer applications in businesses, most recently reaching the stage of disruptive innovations, such as mobile payments, cryptocurrencies, and digitization of business assets"
2021-0031,1,this has led to the emerging field called financial technology or simply fintech
2021-0031,2,"in this editorial review, we first provide an overview on relevant technological, pedagogical, and managerial issues pertaining to fintech teaching and research, with a focus on market trading, artificial intelligence, and blockchain in finance"
2021-0031,3,and then we introduce the articles appearing in this special section
