Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Syamil A., Heriyati P., Devi A., Hermawan M.S.",6506071852;55496100900;57214693169;57218551367;,Understanding peer-to-peer lending mechanism in indonesia: A study of drivers and motivation,2020,"ICIC Express Letters, Part B: Applications",11,3,,267,277,,1.0,10.24507/icicelb.11.03.267,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078905382&doi=10.24507%2ficicelb.11.03.267&partnerID=40&md5=5c48f9f6cbeddbe525ea21e16f3bfd5b,ICIC Express Lett Part B Appl.,Article,Final,,Scopus,2-s2.0-85078905382
"Danse M., Klerkx L., Reintjes J., Rabbinge R., Leeuwis C.",6506933383;13612931800;57214665904;7003707438;13614447800;,Unravelling inclusive business models for achieving food and nutrition security in BOP markets,2020,Global Food Security,24,,100354,,,,5.0,10.1016/j.gfs.2020.100354,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078882328&doi=10.1016%2fj.gfs.2020.100354&partnerID=40&md5=24bcef2cc89c20716c4754d379c37430,Global Food Secur.,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85078882328
"Fischer M., Heim D., Hofmann A., Janiesch C., Klima C., Winkelmann A.",57194510862;57189630210;57213149924;23389119300;56592742600;22235897000;,A taxonomy and archetypes of smart services for smart living,2020,Electronic Markets,30,1,,131,149,,8.0,10.1007/s12525-019-00384-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077617066&doi=10.1007%2fs12525-019-00384-5&partnerID=40&md5=1bf35064b52af43efacd7b5ad5cf5c77,Electron. Mark.,Article,Final,,Scopus,2-s2.0-85077617066
Ricci P.,57211927060;,How economic freedom reflects on the Bitcoin transaction network,2020,Journal of Industrial and Business Economics,47,1,,133,161,,4.0,10.1007/s40812-019-00143-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075353301&doi=10.1007%2fs40812-019-00143-9&partnerID=40&md5=8b7ded385d2afb556c5c2eae2a1f5e14,J. Ind. Bus. Econ.,Article,Final,,Scopus,2-s2.0-85075353301
"Butticè V., Noonan D.",57193211090;10340017900;,"Active backers, product commercialisation and product quality after a crowdfunding campaign: A comparison between first-time and repeated entrepreneurs",2020,International Small Business Journal: Researching Entrepreneurship,38,2,,111,134,,12.0,10.1177/0266242619883984,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075135779&doi=10.1177%2f0266242619883984&partnerID=40&md5=58786f4eff35738236e2ed125e5c6423,Int. Small. Bus. J.,Article,Final,,Scopus,2-s2.0-85075135779
"Buckley R.P., Arner D.W., Zetzsche D.A., Weber R.H.",55185207500;15046436800;35622920200;57194636091;,The road to RegTech: the (astonishing) example of the European Union,2020,Journal of Banking Regulation,21,1,,26,36,,11.0,10.1057/s41261-019-00104-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073951758&doi=10.1057%2fs41261-019-00104-1&partnerID=40&md5=92ff0130bf99961a82f605e1bb3e2399,J. Bank. Regul.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85073951758
"Giudici G., Milne A., Vinogradov D.",22984678100;7102807719;22939603700;,Cryptocurrencies: market analysis and perspectives,2020,Journal of Industrial and Business Economics,47,1,,,,,27.0,10.1007/s40812-019-00138-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073927533&doi=10.1007%2fs40812-019-00138-6&partnerID=40&md5=12ad1c0b87e4abdb9611bdde221de720,J. Ind. Bus. Econ.,Editorial,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85073927533
"Sergueeva K., Shaw N., Lee S.H.",57190278256;55489913100;57213195883;,Understanding the barriers and factors associated with consumer adoption of wearable technology devices in managing personal health,2020,Canadian Journal of Administrative Sciences,37,1,,45,60,,4.0,10.1002/cjas.1547,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071862201&doi=10.1002%2fcjas.1547&partnerID=40&md5=7ec20b198c456bd314d23dca1b272e18,Can. J. Adm. Sci.,Article,Final,,Scopus,2-s2.0-85071862201
"Grover P., Kar A.K.",57194774970;55911169300;,User engagement for mobile payment service providers – introducing the social media engagement model,2020,Journal of Retailing and Consumer Services,53,,101718,,,,29.0,10.1016/j.jretconser.2018.12.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058217799&doi=10.1016%2fj.jretconser.2018.12.002&partnerID=40&md5=7c416c42ac578d781ebdb7c540b66c7e,J. Retail. Consum. Serv.,Article,Final,,Scopus,2-s2.0-85058217799
"Sangwan V., Harshita, Prakash P., Singh S.",57211715828;57201998254;36644683200;57281462400;,Financial technology: a review of extant literature,2020,Studies in Economics and Finance,37,1,,71,88,,13.0,10.1108/SEF-07-2019-0270,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074897787&doi=10.1108%2fSEF-07-2019-0270&partnerID=40&md5=e81f82dac17fea4414f6a787b4de8063,Stud. Econ. Financ.,Review,Final,,Scopus,2-s2.0-85074897787
"Fosso Wamba S., Kala Kamdjoug J.R., Epie Bawack R., Keogh J.G.",14833520200;57196328490;57212101591;57205343423;,"Bitcoin, Blockchain and Fintech: a systematic review and case studies in the supply chain",2020,Production Planning and Control,31,2-3,,115,142,,50.0,10.1080/09537287.2019.1631460,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067191471&doi=10.1080%2f09537287.2019.1631460&partnerID=40&md5=6ec6112f30049d51f667cb977973967b,Prod Plann Control,Article,Final,,Scopus,2-s2.0-85067191471
Bradley C.G.,55199625700;,"The consumer protection ecosystem: Law, Norms, and technology",2020,Denver Law Review,97,1,,35,84,,1.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079817007&partnerID=40&md5=302c1b750e21c1563283488485beca4f,Denver. Law. Rev,Article,Final,,Scopus,2-s2.0-85079817007
Narayan S.W.,8597894200;,Does fintech matter for Indonesia’s economic growth?,2020,Buletin Ekonomi Moneter dan Perbankan,22,4,,437,456,,4.0,10.21098/bemp.v22i4.1237,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079550705&doi=10.21098%2fbemp.v22i4.1237&partnerID=40&md5=a586e55592802a4bf339185c60cb3d16,Bul Ekon Monet Perbank,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85079550705
"Mazambani L., Mutambara E.",57200823110;56826216600;,Predicting FinTech innovation adoption in South Africa: the case of cryptocurrency,2020,African Journal of Economic and Management Studies,11,1,,30,50,,6.0,10.1108/AJEMS-04-2019-0152,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074439908&doi=10.1108%2fAJEMS-04-2019-0152&partnerID=40&md5=57ae951b4ea711b7cd93a8959f7c2231,Afr. J. Econ. Manag. Stud.,Article,Final,,Scopus,2-s2.0-85074439908
Hidajat T.,57196187726;,Unethical practices peer-to-peer lending in Indonesia,2020,Journal of Financial Crime,27,1,,274,282,,3.0,10.1108/JFC-02-2019-0028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078277685&doi=10.1108%2fJFC-02-2019-0028&partnerID=40&md5=f2614a09665d5b43773af853a1c1aaf3,J. Financ. Crime,Article,Final,,Scopus,2-s2.0-85078277685
"Elveny M., Nasution M.K.M., Zarlis M., Zamzami E.M.",57188575343;36625890500;46662076100;55991253400;,An approach similarity to customer behavior in e-metrics ecosystem,2020,International Journal of Advanced Science and Technology,29,4,,2182,2188,,3.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084158077&partnerID=40&md5=ef050eb1fa983f47571c04e4ff84e147,Int. J. Adv. Sci. Technol.,Article,Final,,Scopus,2-s2.0-85084158077
"Jakhiya M., Mittal Bishnoi M., Purohit H.",57217633220;57217632526;56519551500;,Emergence and growth of mobile money in modern india: A study on the effect of mobile money,2020,"2020 Advances in Science and Engineering Technology International Conferences, ASET 2020",,,9118375,,,,4.0,10.1109/ASET48392.2020.9118375,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087438704&doi=10.1109%2fASET48392.2020.9118375&partnerID=40&md5=eaebfdd3377e4632b9f7245a0574dbc9,"Adv. Sci. Eng. Technol. Int. Conf., ASET",Conference Paper,Final,"All Open Access, Bronze",Scopus,2-s2.0-85087438704
Noonpakdee W.,36651366700;,The Adoption of Artificial Intelligence for Financial Investment Service,2020,"International Conference on Advanced Communication Technology, ICACT",2020,,9061412,396,400,,3.0,10.23919/ICACT48636.2020.9061412,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083979579&doi=10.23919%2fICACT48636.2020.9061412&partnerID=40&md5=93104357c57d300613f782f07cbad464,Int. Conf. Adv. Commun. Technol. ICACT,Conference Paper,Final,,Scopus,2-s2.0-85083979579
"Zheng W., Chen X., Shi Z., Zhang M., Chen J., Chen X.",56650413300;57218353237;57208837245;57210928814;57208836270;57189091783;,Blve: Should the Current Software Version Be Suitable for Release?,2020,IBF 2020 - Proceedings of the 2020 IEEE 2nd International Workshop on Intelligent Bug Fixing,,,9034776,55,63,,,10.1109/IBF50092.2020.9034776,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083107922&doi=10.1109%2fIBF50092.2020.9034776&partnerID=40&md5=ab02993dffee9f0951f2b1b1e64591be,IBF - Proc. IEEE Int. Workshop Intell. Bug Fixing,Conference Paper,Final,,Scopus,2-s2.0-85083107922
"Wang X., He G.",57221486468;54408713300;,Digital financial inclusion and farmers' vulnerability to poverty: Evidence from rural China,2020,Sustainability (Switzerland),12,4,1668,,,,9.0,10.3390/su12041668,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081599326&doi=10.3390%2fsu12041668&partnerID=40&md5=330ed9d5d0285bc293ebd813ff3ef473,Sustainability,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85081599326
"Coffie C.P.K., Zhao H., Mensah I.A.",57215593309;56593840600;57206774215;,Panel econometric analysis on mobile payment transactions and traditional banks effort toward financial accessibility in sub-Sahara Africa,2020,Sustainability (Switzerland),12,3,895,,,,5.0,10.3390/su12030895,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081258952&doi=10.3390%2fsu12030895&partnerID=40&md5=74af47919de7ab2bc3b3328fb1783518,Sustainability,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85081258952
"Marchiori M., Possamai L.",7003307946;55265723400;,Strategies of success for social networks: Mermaids and temporal evolution,2020,Future Internet,12,2,25,,,,,10.3390/fi12020025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081137073&doi=10.3390%2ffi12020025&partnerID=40&md5=c1e9c382968dd531fcdae77181312175,Future Internet,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85081137073
"Rutschi C., Dibbern J.",57215050596;6603480856;,Towards a framework of implementing software robots: Transforming Human-executed Routines into Machines,2020,Data Base for Advances in Information Systems,51,1,,104,128,,9.0,10.1145/3380799.3380808,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079808832&doi=10.1145%2f3380799.3380808&partnerID=40&md5=e27526ea046fce8ffb9277856a564b02,Data Base Adv. Info. Sys.,Article,Final,,Scopus,2-s2.0-85079808832
"Dhote T., Pathak P., Kulkarni P.",57193896239;57205670746;57214993543;,Coping with the challenges posed by GAFA and other digital disruptors: Can advanced technologies help the banking sector?,2020,International Journal of Scientific and Technology Research,9,2,,2196,2199,,2.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079678378&partnerID=40&md5=adc2d8835078fa591a6257fe7d40ec35,Int. J. Sci. Technol. Res.,Article,Final,,Scopus,2-s2.0-85079678378
"Mosteanu N.R., Faccia A.",50462133400;57211532693;,"Digital systems and new challenges of financial management – fintech, XBRL, blockchain and cryptocurrencies",2020,Quality - Access to Success,21,174,,159,166,,22.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078435143&partnerID=40&md5=941f870ab4943477742f82cbf0c0d0fc,Qual. Access Success,Article,Final,,Scopus,2-s2.0-85078435143
"Niu G., Zhou Y., Gan H.",56376269100;57194712309;57213169658;,Financial literacy and retirement preparation in China,2020,Pacific Basin Finance Journal,59,,101262,,,,12.0,10.1016/j.pacfin.2020.101262,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077644694&doi=10.1016%2fj.pacfin.2020.101262&partnerID=40&md5=9ec21ce4c9e0593f436e0045ef89ac90,Pac. Basin Financ. J.,Article,Final,,Scopus,2-s2.0-85077644694
"Palmié M., Wincent J., Parida V., Caglar U.",37039802700;8662364900;14065252500;57215865896;,The evolution of the financial technology ecosystem: An introduction and agenda for future research on disruptive innovations in ecosystems,2020,Technological Forecasting and Social Change,151,,119779,,,,25.0,10.1016/j.techfore.2019.119779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074486436&doi=10.1016%2fj.techfore.2019.119779&partnerID=40&md5=96f03c4d28eccfa61e95ac60e6d6cb93,Technol. Forecast. Soc. Change,Article,Final,,Scopus,2-s2.0-85074486436
"Gong X., Zhang K.Z.K., Chen C., Cheung C.M.K., Lee M.K.O.",56119060200;24779179100;57206558359;9434254900;8547315000;,Transition from web to mobile payment services: The triple effects of status quo inertia,2020,International Journal of Information Management,50,,,310,324,,22.0,10.1016/j.ijinfomgt.2019.08.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072022614&doi=10.1016%2fj.ijinfomgt.2019.08.006&partnerID=40&md5=1c6793c9c26cdd917ad6b49e79a01119,Int J Inf Manage,Article,Final,,Scopus,2-s2.0-85072022614
"Sarkar S., Chauhan S., Khare A.",57196040457;56612803400;36458467200;,A meta-analysis of antecedents and consequences of trust in mobile commerce,2020,International Journal of Information Management,50,,,286,301,,46.0,10.1016/j.ijinfomgt.2019.08.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071854302&doi=10.1016%2fj.ijinfomgt.2019.08.008&partnerID=40&md5=bd8c2947eeb0dd4885f588c5c7081ca1,Int J Inf Manage,Review,Final,,Scopus,2-s2.0-85071854302
"Samarah W.E.A.R., Alkhatib S.F.S.",57209684749;56662164900;,Crowdfunding operations: Outreach factors in developing economies,2020,Journal of Public Affairs,20,1,e1988,,,,3.0,10.1002/pa.1988,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068446913&doi=10.1002%2fpa.1988&partnerID=40&md5=c042eb9ee1c6b159a947c5fad4d462a9,J. Public Aff.,Article,Final,,Scopus,2-s2.0-85068446913
"Singh N., Sinha N., Liébana-Cabanillas F.J.",57195509239;25628729100;55151541700;,"Determining factors in the adoption and recommendation of mobile wallet services in India: Analysis of the effect of innovativeness, stress to use and social influence",2020,International Journal of Information Management,50,,,191,205,,79.0,10.1016/j.ijinfomgt.2019.05.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067178878&doi=10.1016%2fj.ijinfomgt.2019.05.022&partnerID=40&md5=a87c3cc0ddd86aa24f1b2fc0038a8dc8,Int J Inf Manage,Article,Final,,Scopus,2-s2.0-85067178878
"Rozi M.F., Sucahyo Y.G., Gandhi A., Ruldeviyani Y.",57219555767;6507465058;57188979780;56119154900;,Appraising Personal Data Protection in Startup Companies in Financial Technology: A Case Study of ABC Corp,2020,PervasiveHealth: Pervasive Computing Technologies for Healthcare,,,,9,14,,1.0,10.1145/3379310.3379322,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083029967&doi=10.1145%2f3379310.3379322&partnerID=40&md5=e9a7275bba3fae1cbdbd0c2766c6f768,PervasiveHealth: Pervasive Computing Technol Healthc.,Conference Paper,Final,,Scopus,2-s2.0-85083029967
"Kalinić Z., Liébana-Cabanillas F.J., Muñoz-Leiva F., Marinković V.",54889020400;55151541700;9432630700;37115804500;,The moderating impact of gender on the acceptance of peer-to-peer mobile payment systems,2020,International Journal of Bank Marketing,38,1,,138,158,,19.0,10.1108/IJBM-01-2019-0012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078030493&doi=10.1108%2fIJBM-01-2019-0012&partnerID=40&md5=0c0e7c2239b3da0d1ff56e4bc460a691,Int. J. Bank Mark.,Article,Final,,Scopus,2-s2.0-85078030493
"Verma S., Chaurasia S.S., Bhattacharyya S.S.",57190280103;57190223926;35309211100;,The effect of government regulations on continuance intention of in-store proximity mobile payment services,2020,International Journal of Bank Marketing,38,1,,34,62,,9.0,10.1108/IJBM-10-2018-0279,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065422139&doi=10.1108%2fIJBM-10-2018-0279&partnerID=40&md5=4bc326a0ff37f8d4a9bb1c9d8be98962,Int. J. Bank Mark.,Article,Final,,Scopus,2-s2.0-85065422139
Wang S.-T.,22137053700;,The effects of risk appraisal and coping appraisal on the adoption intention of m-payment,2020,International Journal of Bank Marketing,38,1,,21,33,,3.0,10.1108/IJBM-10-2018-0272,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065249869&doi=10.1108%2fIJBM-10-2018-0272&partnerID=40&md5=932c890516bc43b469645caa0fe9d745,Int. J. Bank Mark.,Article,Final,,Scopus,2-s2.0-85065249869
"Rana N.P., Luthra S., Rao H.R.",50262828700;43361407000;7102999899;,Key challenges to digital financial services in emerging economies: the Indian context,2020,Information Technology and People,33,1,,198,229,,13.0,10.1108/ITP-05-2018-0243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065906363&doi=10.1108%2fITP-05-2018-0243&partnerID=40&md5=a04f8a6f28ad5da800755227c4302c23,Inf. Technol. People,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85065906363
"Kohardinata C., Soewarno N., Tjahjadi B.",57214994595;57203927339;57191278873;,Indonesian peer to peer lending (P2P) at entrant’s disruptive trajectory,2020,Business: Theory and Practice,21,1,,104,114,,2.0,10.3846/btp.2020.11171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079672574&doi=10.3846%2fbtp.2020.11171&partnerID=40&md5=31e184b55175e6a2f95832eae0ddc87c,Bus. Theory Pract.,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85079672574
"Maucuer R., Renaud A., Snihur Y., Bojovic N.",57205352820;55507110100;55672559300;57195593355;,Business Models in the Information Systems Literature: State of the Art and Research Perspectives,2020,Systemes d'Information et Management,25,4,,5,28,,1.0,10.3917/SIM.204.0005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118187085&doi=10.3917%2fSIM.204.0005&partnerID=40&md5=48017f0fb029a58088ea2db0f237fd9d,Syst. Inf. Manag.,Article,Final,,Scopus,2-s2.0-85118187085
"Cong L.W., Liang T., Yang B., Zhang X.",57208755069;56574678300;55619641400;57201524173;,Analyzing textual information at scale,2020,"Information For Efficient Decision Making: Big Data, Blockchain And Relevance",,,,239,271,,,10.1142/9789811220470_0010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115691822&doi=10.1142%2f9789811220470_0010&partnerID=40&md5=61bac8d56bd81b030464bfa64c51200a,"Information For Efficient Decision Mak.: Big Data, Blockchain And Relevance",Book Chapter,Final,,Scopus,2-s2.0-85115691822
"Dalziel R.C., De Klerk N.",57210427835;56006087800;,Media and group influence on Generation Y consumers’ attitudes towards beauty products,2020,Spanish Journal of Marketing - ESIC,25,1,,115,136,,1.0,10.1108/SJME-12-2019-0104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113169127&doi=10.1108%2fSJME-12-2019-0104&partnerID=40&md5=26996b24a50201bdee5cf610ae40ff36,Spanish J. Marketing - ESIC,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85113169127
"Minakov V.F., Lobanov O.S., Dyatlov S.A.",57101188700;56808351700;56755378700;,Three-Dimensional Trends Superposition in Digital Innovation Life Cycle Model,2020,International Journal of Technology,11,6,,1201,1212,,1.0,10.14716/ijtech.v11i6.4444,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112665379&doi=10.14716%2fijtech.v11i6.4444&partnerID=40&md5=59ee827a6cbe28acea84e8c398dca2d8,Int. J. Technol.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85112665379
"Imelda, Tjahjanto",57226500511;56180243200;,Review multi factors authentication for financial technology using biometric features,2020,"Proceedings of the International Conference on IT, Communication and Technology for Better Life, ICT4BL 2019",,,,126,128,,,10.5220/0008930501260128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111740809&doi=10.5220%2f0008930501260128&partnerID=40&md5=438bfb39cfd9af2b74b3ff71413544dd,"Proc. Int. Conf. IT, Commun. Technol. Better Life, ICT4BL",Conference Paper,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85111740809
"Anim N.A.H.M., Omar N.A.",57226299740;36640843500;,Sadaqah-Based Crowdfunding: Drivers of Muslim Donor Contribution Behavior,2020,Global Journal Al-Thaqafah,,SpecialIssue,,1,14,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111151886&partnerID=40&md5=e2f42b604c3a4a3a4e35b5c249cbb4fb,Global J. Al-Thaqafah,Article,Final,,Scopus,2-s2.0-85111151886
"Zhu Z., Zinoviev D.",56006353900;57225263449;,Finding the next edge in service innovation: A complex network analysis,2020,The Routledge Handbook of Service Research Insights and Ideas,,,,167,196,,,10.4324/9781351245234-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108749348&doi=10.4324%2f9781351245234-9&partnerID=40&md5=d4bf4994a445a6fe30319c91d0ad19c9,The Routledge Handb. of Service Research Insights and Ideas,Book Chapter,Final,,Scopus,2-s2.0-85108749348
Sabia R.,57197799068;,Artificial intelligence and environmental criminal compliance,2020,Revue Internationale de Droit Penal,91,1,,179,201,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108264924&partnerID=40&md5=8e3962065fb270bfd46d58044515303d,Rev. Int. Droit Penal,Article,Final,,Scopus,2-s2.0-85108264924
Ghobadi S.,36462389800;,How to manage crowdfunded projects: Empirical evidence from a comparative study of game development projects,2020,Proceedings of the Annual Hawaii International Conference on System Sciences,2020-January,,,4993,5002,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108176643&partnerID=40&md5=62f4f1023d6b67cb3e9bf4f23374753b,Proc. Annu. Hawaii Int. Conf. Syst. Sci.,Conference Paper,Final,,Scopus,2-s2.0-85108176643
"Wenzel-Ruelberg C., Baiyere A., Lohmann P.",57224675115;56534314600;57224677454;,Digital mobile services for consumer banking: Conceptualization and Implementation of Location-based Consumer Credits,2020,Proceedings of the Annual Hawaii International Conference on System Sciences,2020-January,,,1113,1122,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108152424&partnerID=40&md5=0b1409e58f628d36746f03ca39d1189d,Proc. Annu. Hawaii Int. Conf. Syst. Sci.,Conference Paper,Final,,Scopus,2-s2.0-85108152424
Popkova E.G.,55671568200;,Quality of Digital Product:Theory and Practice,2020,International Journal for Quality Research,14,1,,201,218,,2.0,10.24874/IJQR14.01-13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107779756&doi=10.24874%2fIJQR14.01-13&partnerID=40&md5=920dfab3a1662947a989cc5e5af5754d,Int. J. Qual. Res.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85107779756
"Zhao Z., Wang D., Wei X.",57224321008;56763030100;24781308900;,A Combinative Perspective on Technology Adoption: A Case Analysis of Blockchain Technology Adoption in the Chinese Financial Industry,2020,Palgrave Studies of Internationalization in Emerging Markets,,,,189,219,,,10.1007/978-3-030-24482-8_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107339680&doi=10.1007%2f978-3-030-24482-8_7&partnerID=40&md5=ee9c70c436a969687007311c2d91e4ff,Palgrave Stud. Intern. Emerg. Mark.,Book Chapter,Final,,Scopus,2-s2.0-85107339680
Avci S.B.,57218536163;,A New Era in the Risk Management of Financial Firms,2020,Palgrave Studies in Sustainable Business in Association with Future Earth,,,,389,417,,,10.1007/978-3-030-38858-4_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106516058&doi=10.1007%2f978-3-030-38858-4_17&partnerID=40&md5=6a408e8b43ccc57db8745b17bb3d319e,Palgrave. Stud. Sustain. Bus. Assoc. Future. Earth.,Book Chapter,Final,,Scopus,2-s2.0-85106516058
"Barua Z., Barua A.",57197767924;57223856951;,Acceptance and usage of mHealth technologies amid COVID-19 pandemic in a developing country: the UTAUT combined with situational constraint and health consciousness,2020,Journal of Enabling Technologies,15,1,,1,22,,,10.1108/JET-08-2020-0030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106328265&doi=10.1108%2fJET-08-2020-0030&partnerID=40&md5=9e2cabbba50d3f4bc2fb2488143a4562,Journal of Enabling Technologies,Article,Final,,Scopus,2-s2.0-85106328265
"Yu J., Yen B.",57206725177;56730206400;,Re-think insurance: A new perspective of InsurTech,2020,Proceedings of the International Conference on Electronic Business (ICEB),2020-December,,,386,397,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105550888&partnerID=40&md5=e53c07018b84dc2893bd1041fc1ae1ae,Proc. Int. Conf. Electron. Bus. (ICEB),Conference Paper,Final,,Scopus,2-s2.0-85105550888
"Melnyk M., Leshchukh I., Medynska T., Rushchyshyn N.",56606993300;57223145503;57219556661;57192837102;,Potential of the sector of financial services in view of the socio-economic growth of Ukrainian regions,2020,Economic Annals-XXI,185,9-10,,144,154,,,10.21003/EA.V185-14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105025906&doi=10.21003%2fEA.V185-14&partnerID=40&md5=5c8a6c0e29fe917ac1272bf352b18241,Eco. Annals.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85105025906
"Do N.B., Do H.N.T.",57223094374;57218622574;,An investigation of Generation Z’s Intention to use Electronic Wallet in Vietnam,2020,Journal of Distribution Science,18,10,,89,99,,4.0,10.15722/jds.18.10.202010.89,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104706541&doi=10.15722%2fjds.18.10.202010.89&partnerID=40&md5=1414d985209f2b2c806d289e63791774,J. Distribution Science,Article,Final,,Scopus,2-s2.0-85104706541
Singh S.,57201299902;,An integrated model combining the ECM and the UTAUT to explain users' post-adoption behaviour towards mobile payment systems,2020,Australasian Journal of Information Systems,24,,,1,27,,4.0,10.3127/ajis.v24i0.2695,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104492065&doi=10.3127%2fajis.v24i0.2695&partnerID=40&md5=d3562e35c6e8180f6d4889ed86014320,Australas. J. Inf. Syst.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85104492065
Yagli I.,57223011638;,"Bank competition, concentration and credit risk",2020,Intellectual Economics,14,2,,17,35,,1.0,10.13165/IE-20-14-2-02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104463579&doi=10.13165%2fIE-20-14-2-02&partnerID=40&md5=9710901b33540cc13f68e352698540ca,Intellect. Econ.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85104463579
"Gupta K.P., Bhaskar P.",57188822745;57189326686;,INHIBITING AND MOTIVATING FACTORS INFLUENCING TEACHERS’ ADOPTION OF AI-BASED TEACHING AND LEARNING SOLUTIONS: PRIORITIZATION USING ANALYTIC HIERARCHY PROCESS,2020,Journal of Information Technology Education: Research,19,,,693,723,,,10.28945/4640,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103653202&doi=10.28945%2f4640&partnerID=40&md5=7c2488dc609791b170b8ff860c60ffee,J. Inf. Technol. Educ. Res.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85103653202
"Ying W., Wang S., Ma M., Jia S.",57197799901;57195733114;57222611247;16306770800;,"Affordance discovery to create value from massive data: A process model of BDA affordance exploration, exploitation and systemization",2020,"International Conference on Information Systems, ICIS 2020 - Making Digital Inclusive: Blending the Local and the Global",,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103463136&partnerID=40&md5=50d6c3badae549a3a92a9329aa34e3c9,"Int. Conf. Inf. Syst., ICIS - Mak. Digit. Incl.: Blending Local Glob.",Conference Paper,Final,,Scopus,2-s2.0-85103463136
