Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Heiler S.","6602961067;","Semantic Interoperability",1995,"ACM Computing Surveys (CSUR)","27","2",,"271","273",,131,"10.1145/210376.210392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976797692&doi=10.1145%2f210376.210392&partnerID=40&md5=d7517fb7a6bc6c71313aef7b6d5cd2f6","GTE Laboratories Incorporated, Waltham, Massachusetts, United States","Heiler, S., GTE Laboratories Incorporated, Waltham, Massachusetts, United States",,,"Heiler, S.; GTE Laboratories Incorporated, Waltham, Massachusetts, United States",03600300,,,"ACM Comput. Surv.",Article,"Final","",Scopus
"Ferris S.P., Jayaraman N., Sabherwal S.","7102607535;7006086004;14022036800;","CEO overconfidence and international merger and acquisition activity",2013,"Journal of Financial and Quantitative Analysis","48","1",,"137","164",,130,"10.1017/S0022109013000069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878617018&doi=10.1017%2fS0022109013000069&partnerID=40&md5=06468339ccb6ad8747f1af2b203b447e","Trulaske College of Business, University of Missouri, 404F Cornell Hall, Columbia, MO 65211, United States; Scheller College of Business, Georgia Institute of Technology, 800 W Peachtree NW, Atlanta, GA 30308, United States; College of Business, University of Texas at Arlington, Box 19449, Arlington, TX 76019, United States","Ferris, S.P., Trulaske College of Business, University of Missouri, 404F Cornell Hall, Columbia, MO 65211, United States; Jayaraman, N., Scheller College of Business, Georgia Institute of Technology, 800 W Peachtree NW, Atlanta, GA 30308, United States; Sabherwal, S., College of Business, University of Texas at Arlington, Box 19449, Arlington, TX 76019, United States",,,"Trulaske College of Business, , Columbia, MO 65211, United States",00221090,,,"J. Financ. Quant. Anal.",Article,"Final","",Scopus
"Bakke T.-E., Whited T.M.","35848264500;6602669176;","Which firms follow the market? An analysis of corporate investment decisions",2010,"Review of Financial Studies","23","5",,"1941","1980",,130,"10.1093/rfs/hhp115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951214740&doi=10.1093%2frfs%2fhhp115&partnerID=40&md5=d593935d1476d95eb73c3ed5551320db","University of Oklahoma, United States; University of Rochester, William E. Simon Graduate School of Business Administration, Rochester, NY 14627, United States","Bakke, T.-E., University of Oklahoma, United States; Whited, T.M., University of Rochester, William E. Simon Graduate School of Business Administration, Rochester, NY 14627, United States",,,"Bakke, T.-E.; University of OklahomaUnited States",08939454,,,"Rev. Financ. Stud.",Article,"Final","",Scopus
"Back B., Laitinen T., Sere K.","7006319581;7006290837;7003381010;","Neural networks and genetic algorithms for bankruptcy predictions",1996,"Expert Systems with Applications","11","4 SPEC. ISS.",,"407","413",,128,"10.1016/S0957-4174(96)00055-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030407801&doi=10.1016%2fS0957-4174%2896%2900055-3&partnerID=40&md5=ec0a66bfc3c40369c74a90179a5bd34b","Information Systems Science, Turku Sch. of Econ. and Bus. Admin., FIN-20520 Turku, Finland; Department of Accounting and Finance, University of Vaasa, FIN-65100 Vaasa, Finland; Dept. of Comp. Sci. and Appl. Math., University of Kuopio, FIN-70211 Kuopio, Finland","Back, B., Information Systems Science, Turku Sch. of Econ. and Bus. Admin., FIN-20520 Turku, Finland; Laitinen, T., Department of Accounting and Finance, University of Vaasa, FIN-65100 Vaasa, Finland; Sere, K., Dept. of Comp. Sci. and Appl. Math., University of Kuopio, FIN-70211 Kuopio, Finland",,"Backpropagation; Finance; Financial data processing; Forecasting; Genetic algorithms; Bankruptcy; Linear discriminant analysis; Logistical cumulative function; Logit analysis; Neural networks","Back, B.; Information Systems Science, , FIN-20520 Turku, Finland",09574174,,ESAPE,"Expert Sys Appl",Article,"Final","",Scopus
"Jiang F., Kim K.A.","24492298200;7409321139;","Corporate governance in China: A survey",2020,"Review of Finance","24","4",,"733","772",,127,"10.1093/ROF/RFAA012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088390221&doi=10.1093%2fROF%2fRFAA012&partnerID=40&md5=49bbcb8e866349b2c47ddc362a403260","School of Business, Renmin University of China, China; School of Economics and Management, Tongji University, China; School of Management, State University of New York, Buffalo, United States","Jiang, F., School of Business, Renmin University of China, China; Kim, K.A., School of Economics and Management, Tongji University, China, School of Management, State University of New York, Buffalo, United States","Controlling shareholder; Corporate governance; Corporate social responsibility; Investor protection; State-owned enterprise",,,15723097,,,"Rev. Financ.",Article,"Final","All Open Access, Bronze",Scopus
"Etzioni A., Etzioni O.","7102886487;7004312379;","Incorporating Ethics into Artificial Intelligence",2017,"Journal of Ethics","21","4",,"403","418",,126,"10.1007/s10892-017-9252-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014561079&doi=10.1007%2fs10892-017-9252-2&partnerID=40&md5=d8c451dffac1a000134917ae3308b163","The George Washington University, 1922 F Street NW, Room 413, Washington, DC  20052, United States; Allen Institute for Artificial Intelligence, 2157 N. Northlake Way, Suite 110, Seattle, WA  98012, United States","Etzioni, A., The George Washington University, 1922 F Street NW, Room 413, Washington, DC  20052, United States; Etzioni, O., Allen Institute for Artificial Intelligence, 2157 N. Northlake Way, Suite 110, Seattle, WA  98012, United States","Artificial intelligence; Autonomy; Ethics; Self-driving cars; Trolley problem",,"Etzioni, A.; The George Washington University, 1922 F Street NW, Room 413, United States; email: etzioni@gwu.edu",13824554,,,"J. Ethics",Article,"Final","All Open Access, Green",Scopus
"Gurzki H., Woisetschläger D.M.","55789568200;23968094400;","Mapping the luxury research landscape: A bibliometric citation analysis",2017,"Journal of Business Research","77",,,"147","166",,126,"10.1016/j.jbusres.2016.11.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008210611&doi=10.1016%2fj.jbusres.2016.11.009&partnerID=40&md5=445a2e032e05152c1182f7591f08d97f","TU Braunschweig, Chair of Services Management, Mühlenpfordtstr. 23, Braunschweig, 38106, Germany","Gurzki, H., TU Braunschweig, Chair of Services Management, Mühlenpfordtstr. 23, Braunschweig, 38106, Germany; Woisetschläger, D.M., TU Braunschweig, Chair of Services Management, Mühlenpfordtstr. 23, Braunschweig, 38106, Germany","Bibliometrics; Co-citation analysis; Conspicuous consumption; Literature review; Luxury; Status consumption",,"Woisetschläger, D.M.email: d.woisetschlaeger@tu-braunschweig.de",01482963,,JBRED,"J. Bus. Res.",Article,"Final","",Scopus
"Helleiner E.","6602775491;","Understanding the 2007-2008 global financial crisis: Lessons for scholars of international political economy",2011,"Annual Review of Political Science","14",,,"67","87",,126,"10.1146/annurev-polisci-050409-112539","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955974816&doi=10.1146%2fannurev-polisci-050409-112539&partnerID=40&md5=8f14a8eb51251b2c012f615ab0e061a8","Department of Political Science, University of Waterloo, Waterloo, ON N2L 3G1, Canada","Helleiner, E., Department of Political Science, University of Waterloo, Waterloo, ON N2L 3G1, Canada","capital mobility; financial regulation; global imbalances; securitization",,"Helleiner, E.; Department of Political Science, , Waterloo, ON N2L 3G1, Canada; email: ehellein@uwaterloo.ca",10942939,,,"Annu. Rev. Polit. Sci.",Article,"Final","All Open Access, Bronze",Scopus
"Huang K.Y., Jane C.-J.","7403187849;16642851200;","A hybrid model for stock market forecasting and portfolio selection based on ARX, grey system and RS theories",2009,"Expert Systems with Applications","36","3 PART 1",,"5387","5392",,125,"10.1016/j.eswa.2008.06.103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58349101071&doi=10.1016%2fj.eswa.2008.06.103&partnerID=40&md5=2db263e3b893b001aa2918ae4e504595","Department of Information Management, Ling Tung University, #1 Ling Tung Road, Taichung City, 408, Taiwan; Department of Finance, Ling Tung University, #1 Ling Tung Road, Taichung City, 408, Taiwan","Huang, K.Y., Department of Information Management, Ling Tung University, #1 Ling Tung Road, Taichung City, 408, Taiwan; Jane, C.-J., Department of Finance, Ling Tung University, #1 Ling Tung Road, Taichung City, 408, Taiwan","ARX model; Grey relational analysis; ROE; Rough-set; Stock portfolio","Clustering algorithms; Commerce; Data mining; Decision making; Earnings; Electronic trading; Forecasting; Intelligent systems; Investments; Rough set theory; System theory; Appropriate investment; ARX model; Decision-making rules; Forecasting accuracy; Grey relational analysis; K-Means clustering algorithm; Stock market forecasting; Stock portfolio; Financial markets","Huang, K.Y.; Department of Information Management, #1 Ling Tung Road, Taichung City, 408, Taiwan; email: kyhuang@mail.ltu.edu.tw",09574174,,ESAPE,"Expert Sys Appl",Article,"Final","",Scopus
"Bellamy R.K.E., Mojsilovic A., Nagar S., Ramamurthy K.N., Richards J., Saha D., Sattigeri P., Singh M., Varshney K.R., Zhang Y., Dey K., Hind M., Hoffman S.C., Houde S., Kannan K., Lohia P., Martino J., Mehta S.","7006073277;55900975000;25825414900;57951022500;56421198500;57162370400;35180457200;55443750200;14069407800;57201641915;56350361100;7004661968;57209497480;57209500162;57766850600;57196193693;35085303500;8349581600;","AI Fairness 360: An extensible toolkit for detecting and mitigating algorithmic bias",2019,"IBM Journal of Research and Development","63","4-5","8843908","","",,124,"10.1147/JRD.2019.2942287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075025589&doi=10.1147%2fJRD.2019.2942287&partnerID=40&md5=70874a4619147e9f65fdb4f3d5df1480","IBM Research, Yorktown Heights, NY  10598, United States; IBM Research, Cambridge, MA  02142, United States","Bellamy, R.K.E., IBM Research, Yorktown Heights, NY  10598, United States; Mojsilovic, A., IBM Research, Yorktown Heights, NY  10598, United States; Nagar, S., IBM Research, Yorktown Heights, NY  10598, United States; Ramamurthy, K.N., IBM Research, Yorktown Heights, NY  10598, United States; Richards, J., IBM Research, Yorktown Heights, NY  10598, United States; Saha, D., IBM Research, Yorktown Heights, NY  10598, United States; Sattigeri, P., IBM Research, Yorktown Heights, NY  10598, United States; Singh, M., IBM Research, Yorktown Heights, NY  10598, United States; Varshney, K.R., IBM Research, Yorktown Heights, NY  10598, United States; Zhang, Y., IBM Research, Yorktown Heights, NY  10598, United States; Dey, K., IBM Research, Yorktown Heights, NY  10598, United States; Hind, M., IBM Research, Yorktown Heights, NY  10598, United States; Hoffman, S.C., IBM Research, Cambridge, MA  02142, United States; Houde, S., IBM Research, Yorktown Heights, NY  10598, United States; Kannan, K., IBM Research, Yorktown Heights, NY  10598, United States; Lohia, P., IBM Research, Yorktown Heights, NY  10598, United States; Martino, J., IBM Research, Yorktown Heights, NY  10598, United States; Mehta, S., IBM Research, Yorktown Heights, NY  10598, United States",,"Decision making; HTTP; Industrial research; Business-users; Code quality; Industrial settings; Machine learning models; Open sources; Performance benchmarking; Testing infrastructure; Web experiences; Benchmarking",,00188646,,IBMJA,"IBM J. Res. Dev.",Article,"Final","",Scopus
"Zaefarian G., Kadile V., Henneberg S.C., Leischnig A.","14632790600;57189457699;12785723100;36657386400;","Endogeneity bias in marketing research: Problem, causes and remedies",2017,"Industrial Marketing Management","65",,,"39","46",,124,"10.1016/j.indmarman.2017.05.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020092491&doi=10.1016%2fj.indmarman.2017.05.006&partnerID=40&md5=034b3f014aa59601d77b106e93b0353b","University of Leeds, Leeds University Business School, Maurice Keyworth Building, Leeds, LS2 9JT, United Kingdom; Queen Mary University of London, School of Business and Management, Business Ecosystems Research Group, London, E1 4NS, United Kingdom; University of Bamberg, Feldkirchenstraβe 21, Bamberg, 96052, Germany","Zaefarian, G., University of Leeds, Leeds University Business School, Maurice Keyworth Building, Leeds, LS2 9JT, United Kingdom; Kadile, V., University of Leeds, Leeds University Business School, Maurice Keyworth Building, Leeds, LS2 9JT, United Kingdom; Henneberg, S.C., Queen Mary University of London, School of Business and Management, Business Ecosystems Research Group, London, E1 4NS, United Kingdom; Leischnig, A., University of Bamberg, Feldkirchenstraβe 21, Bamberg, 96052, Germany",,,"Zaefarian, G.; University of Leeds, Maurice Keyworth Building, United Kingdom; email: G.Zaefarian@leeds.ac.uk",00198501,,IMMAD,"Ind. Mark. Manage.",Article,"Final","All Open Access, Green",Scopus
"Sapienza P., Zingales L.","7004926273;7004110147;","A Trust Crisis",2012,"International Review of Finance","12","2",,"123","131",,124,"10.1111/j.1468-2443.2012.01152.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858275425&doi=10.1111%2fj.1468-2443.2012.01152.x&partnerID=40&md5=d98717c34fb57c8c4bafdf882121b848","Kellogg School of Management, Northwestern University, Evanston, IL, United States; University of Chicago Booth School of Business, Chicago, IL, United States","Sapienza, P., Kellogg School of Management, Northwestern University, Evanston, IL, United States; Zingales, L., University of Chicago Booth School of Business, Chicago, IL, United States",,,"Zingales, L.; University of Chicago Booth School of Business, Chicago, IL 60637, United States; email: luigi.zingales@chicagobooth.edu",1369412X,,,"Int. Rev. Financ.",Article,"Final","",Scopus
"Pavlinek M., Podgorelec V.","57193649803;6701496970;","Text classification method based on self-training and LDA topic models",2017,"Expert Systems with Applications","80",,,"83","93",,123,"10.1016/j.eswa.2017.03.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015435186&doi=10.1016%2fj.eswa.2017.03.020&partnerID=40&md5=c3f9391865aca9402c3cad88b138679e","Faculty of Electrical Engineering and Computer Science, Institute of Informatics, University of Maribor, Slovenia","Pavlinek, M., Faculty of Electrical Engineering and Computer Science, Institute of Informatics, University of Maribor, Slovenia; Podgorelec, V., Faculty of Electrical Engineering and Computer Science, Institute of Informatics, University of Maribor, Slovenia","Classification; LDA; Self-training; Semi-supervised learning; Topic modeling","Classification (of information); Information retrieval systems; Intelligent systems; Supervised learning; Classification accuracy; Discrimination ability; Self training; Semi- supervised learning; Semi-supervised method; Supervised classification; Text classification methods; Topic Modeling; Text processing","Pavlinek, M.",09574174,,ESAPE,"Expert Sys Appl",Article,"Final","",Scopus
"Bodnaruk A., Loughran T., McDonald B.","25824704000;7004428798;36941801900;","Using 10-K text to gauge financial constraints",2015,"Journal of Financial and Quantitative Analysis","50","4",,"623","646",,123,"10.1017/S0022109015000411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947492321&doi=10.1017%2fS0022109015000411&partnerID=40&md5=5366ecf6b93a86b6cfa7ec7428591dbf","University of Notre Dame, Mendoza College of Business, Notre Dame, IN  46556, United States","Bodnaruk, A., University of Notre Dame, Mendoza College of Business, Notre Dame, IN  46556, United States; Loughran, T., University of Notre Dame, Mendoza College of Business, Notre Dame, IN  46556, United States; McDonald, B., University of Notre Dame, Mendoza College of Business, Notre Dame, IN  46556, United States",,,"Loughran, T.; University of Notre Dame, United States; email: loughran.9@nd.edu",00221090,,,"J. Financ. Quant. Anal.",Article,"Final","",Scopus
"Kalemli-Ozcan S., Papaioannou E., Perri F.","7801632189;24473153900;7005662111;","Global banks and crisis transmission",2013,"Journal of International Economics","89","2",,"495","510",,122,"10.1016/j.jinteco.2012.07.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873993448&doi=10.1016%2fj.jinteco.2012.07.001&partnerID=40&md5=08131110daf2525d66e8e704968b8df7","Koc University, Istanbul, Turkey; Harvard University, Boston, United States; Dartmouth College, Hanover, United States; National Bureau of Economic Research, Boston, United States; Center for Economic Policy research, London, United Kingdom; University of Minnesota, Minneapolis, United States; Federal Reserve Bank of Minneapolis, Minneapolis, United States; Innocenzo Gasparini Institute for Economic Research, Milan, Italy","Kalemli-Ozcan, S., Koc University, Istanbul, Turkey, Harvard University, Boston, United States, National Bureau of Economic Research, Boston, United States, Center for Economic Policy research, London, United Kingdom; Papaioannou, E., Harvard University, Boston, United States, Dartmouth College, Hanover, United States, National Bureau of Economic Research, Boston, United States, Center for Economic Policy research, London, United Kingdom; Perri, F., National Bureau of Economic Research, Boston, United States, Center for Economic Policy research, London, United Kingdom, University of Minnesota, Minneapolis, United States, Federal Reserve Bank of Minneapolis, Minneapolis, United States, Innocenzo Gasparini Institute for Economic Research, Milan, Italy","Banking integration; Co-movement; Financial globalization; International business cycles","banking; business cycle; economic activity; economic integration; financial crisis; global economy; globalization; United States","Perri, F.; University of Minnesota, Minneapolis, United States; email: fperri@umn.edu",00221996,,,"J. Int. Econ.",Article,"Final","All Open Access, Green",Scopus
"Griffin J.M., Harris J.H., Shu T., Topaloglu S.","55436269300;55740157700;36747083000;17343103600;","Who drove and burst the tech bubble?",2011,"Journal of Finance","66","4",,"1251","1290",,122,"10.1111/j.1540-6261.2011.01663.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960508898&doi=10.1111%2fj.1540-6261.2011.01663.x&partnerID=40&md5=8c6dfe1428dcbc27594ca19c1120be13","University of Texas, Austin, TX, United States; University of Delaware, Delaware, United States; University of Georgia, United States; Queen's University, United States","Griffin, J.M., University of Texas, Austin, TX, United States; Harris, J.H., University of Delaware, Delaware, United States; Shu, T., University of Georgia, United States; Topaloglu, S., Queen's University, United States",,,"Griffin, J.M.; University of Texas, Austin, TX, United States",00221082,,,"J. Financ.",Article,"Final","",Scopus
"Tufano P.","6602088559;","Chapter 6 Financial innovation",2003,"Handbook of the Economics of Finance","1","SUPPL. PART A",,"307","335",,120,"10.1016/S1574-0102(03)01010-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-66049113168&doi=10.1016%2fS1574-0102%2803%2901010-0&partnerID=40&md5=4ded441b5cab934a733c887f12743240","Harvard Business School, Boston, United States","Tufano, P., Harvard Business School, Boston, United States",,,"Tufano, P.; Harvard Business School, Boston, United States",15740102,9780444513625,,"Handb. Econ. Financ.",Book Chapter,"Final","",Scopus
"Meyer K.E., Li C., Schotter A.P.J.","7401793822;56320930900;26028450200;","Managing the MNE subsidiary: Advancing a multi-level and dynamic research agenda",2020,"Journal of International Business Studies","51","4",,"538","576",,119,"10.1057/s41267-020-00318-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080090508&doi=10.1057%2fs41267-020-00318-w&partnerID=40&md5=cc6d1a70c780bb13e106bfea8888feed","Ivey Business School, 1255 Western Road, London, ON  N6G 0N1, Canada","Meyer, K.E., Ivey Business School, 1255 Western Road, London, ON  N6G 0N1, Canada; Li, C., Ivey Business School, 1255 Western Road, London, ON  N6G 0N1, Canada; Schotter, A.P.J., Ivey Business School, 1255 Western Road, London, ON  N6G 0N1, Canada","multinational enterprise (MNE) subsidiaries; review; subsidiary evolution; subsidiary innovation; subsidiary management; subsidiary strategy",,"Meyer, K.E.; Ivey Business School, 1255 Western Road, Canada; email: kmeyer@ivey.uwo.ca",00472506,,,"J. Int. Bus. Stud.",Review,"Final","All Open Access, Hybrid Gold",Scopus
"Ryan R.M., O'Toole C.M., McCann F.","56018642500;56015635600;55260800300;","Does bank market power affect SME financing constraints?",2014,"Journal of Banking and Finance","49",,,"495","505",,119,"10.1016/j.jbankfin.2013.12.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922273017&doi=10.1016%2fj.jbankfin.2013.12.024&partnerID=40&md5=acee32dd004fd9f1ac84c1d9bf20024f","Department of Economics, Trinity College Dublin, College Green, Dublin 2, Ireland; Economic and Social Research Institute, Whitaker Square, John Rogerson's Quay, Dublin 2, Ireland; Financial Stability Division, Central Bank of Ireland, Spencer Dock, Dublin 1, Ireland","Ryan, R.M., Department of Economics, Trinity College Dublin, College Green, Dublin 2, Ireland; O'Toole, C.M., Department of Economics, Trinity College Dublin, College Green, Dublin 2, Ireland, Economic and Social Research Institute, Whitaker Square, John Rogerson's Quay, Dublin 2, Ireland; McCann, F., Financial Stability Division, Central Bank of Ireland, Spencer Dock, Dublin 1, Ireland","Bank competition; Bank concentration; Financing constraints; Firm-level investment; Tobin's q",,"Ryan, R.M.; Department of Economics, Trinity College DublinIreland",03784266,,JBFID,"J. Bank. Financ.",Article,"Final","All Open Access, Green",Scopus
"Ma H.","55723476800;","Competitive advantage and firm performance",2000,"Competitiveness Review","10","2",,"15","32",,117,"10.1108/eb046396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939802157&doi=10.1108%2feb046396&partnerID=40&md5=0692f01fead08c27bb2094e7c6f18944","Bryant College, Smithfield, RI, United States","Ma, H., Bryant College, Smithfield, RI, United States",,,"Ma, H.; Bryant CollegeUnited States",10595422,,,"Compet. Rev.",Article,"Final","",Scopus
"Danaher J., Hogan M.J., Noone C., Kennedy R., Behan A., De Paor A., Felzmann H., Haklay M., Khoo S.-M., Morison J., Murphy M.H., O'Brolchain N., Schafer B., Shankar K.","55485946700;56025577700;54895577700;57141600000;57211499159;56406558700;56159439900;6602429978;35995595600;7006078361;56397454600;57211499001;13607141200;12752468200;","Algorithmic governance: Developing a research agenda through the power of collective intelligence",2017,"Big Data and Society","4","2",,"","",,115,"10.1177/2053951717726554","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052869556&doi=10.1177%2f2053951717726554&partnerID=40&md5=b94438d64902c192da6a225e6a68504e","National University of Ireland – Galway, Ireland; IBM, Ireland; School of Law and Government, Dublin City University, Ireland; Department of Geography, University College London, United Kingdom; School of Law, Queen's University, Belfast, United Kingdom; School of Law, Maynooth University, Ireland; School of Law, Old College, University of Edinburgh, United Kingdom; University College Dublin, Ireland","Danaher, J., National University of Ireland – Galway, Ireland; Hogan, M.J., National University of Ireland – Galway, Ireland; Noone, C., National University of Ireland – Galway, Ireland; Kennedy, R., National University of Ireland – Galway, Ireland; Behan, A., IBM, Ireland; De Paor, A., School of Law and Government, Dublin City University, Ireland; Felzmann, H., National University of Ireland – Galway, Ireland; Haklay, M., Department of Geography, University College London, United Kingdom; Khoo, S.-M., National University of Ireland – Galway, Ireland; Morison, J., School of Law, Queen's University, Belfast, United Kingdom; Murphy, M.H., School of Law, Maynooth University, Ireland; O'Brolchain, N., National University of Ireland – Galway, Ireland; Schafer, B., School of Law, Old College, University of Edinburgh, United Kingdom; Shankar, K., University College Dublin, Ireland","algocracy; Algorithmic governance; Big Data; collective intelligence; interactive management; public participation",,"Danaher, J.; National University of Ireland – GalwayIreland; email: john.danaher@nuigalway.ie",20539517,,,"Big Data Soc.",Article,"Final","All Open Access, Gold, Green",Scopus
"Goldstein I., Jiang W., Karolyi G.A.","8520304400;57095248500;22985107800;","To FinTech and beyond",2019,"Review of Financial Studies","32","5",,"1647","1661",,114,"10.1093/rfs/hhz025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065701491&doi=10.1093%2frfs%2fhhz025&partnerID=40&md5=1a82cc2f01d73f4bc0e74b155160ac46","University of Pennsylvania, United States; Columbia University, United States; Cornell University, United States","Goldstein, I., University of Pennsylvania, United States; Jiang, W., Columbia University, United States; Karolyi, G.A., Cornell University, United States",,,,08939454,,,"Rev. Financ. Stud.",Review,"Final","All Open Access, Green",Scopus
"Van Alstyne M.W., Parker G.G., Paul Choudary S.","8960223000;8858334600;57192314240;","Pipelines, platforms, and the new rules of strategy",2016,"Harvard Business Review","2016","April",,"","",9,113,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85004044993&partnerID=40&md5=c772349cc72bc890b9801b135e79cf57","Information Systems Department, Boston University, United States; Tulane University, United States; MIT Center, United States; INSEAD, France","Van Alstyne, M.W., Information Systems Department, Boston University, United States; Parker, G.G., Tulane University, United States, MIT Center, United States; Paul Choudary, S., INSEAD, France",,,,00178012,,HABRA,"Harv. Bus. Rev.",Note,"Final","",Scopus
"Ford C.L.","15730839400;","New governance, compliance, and principles-based securities regulation",2008,"American Business Law Journal","45","1",,"1","60",,113,"10.1111/j.1744-1714.2008.00050.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049163913&doi=10.1111%2fj.1744-1714.2008.00050.x&partnerID=40&md5=7866636c60dffd25325391c424c9b779","University of British Columbia, Faculty of Law","Ford, C.L., University of British Columbia, Faculty of Law",,,"Ford, C.L.; University of British Columbia, Canada",00027766,,,"Am. Bus. Law. J.",Article,"Final","",Scopus
"Wilson H.J., Daugherty P.R., Morini-Bianzino N.","57194876509;57194870628;57194875296;","The jobs that artificial intelligence will create",2017,"MIT Sloan Management Review","58","4",,"14","16",,112,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023740109&partnerID=40&md5=d03243359ec6832e0c5a3a7a4da90622","IT and Business Research at Accenture Research, United States; Technology and Innovation Officer, United States; Artificial Intelligence at Accenture, United States","Wilson, H.J., IT and Business Research at Accenture Research, United States; Daugherty, P.R., Technology and Innovation Officer, United States; Morini-Bianzino, N., Artificial Intelligence at Accenture, United States",,,,15329194,,,"MIT Sloan Manage. Rev.",Article,"Final","",Scopus
"Issa H., Sun T., Vasarhelyi M.A.","56895852200;56540508800;6602769766;","Research ideas for artificial intelligence in auditing: The formalization of audit and workforce supplementation",2016,"Journal of Emerging Technologies in Accounting","13","2",,"1","20",,112,"10.2308/jeta-10511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011874652&doi=10.2308%2fjeta-10511&partnerID=40&md5=460394cb9eab8a7ec3993d4ccc2d8e04","Rutgers, The State University of New Jersey, Newark, United States","Issa, H., Rutgers, The State University of New Jersey, Newark, United States; Sun, T., Rutgers, The State University of New Jersey, Newark, United States; Vasarhelyi, M.A., Rutgers, The State University of New Jersey, Newark, United States","Artificial intelligence; Auditing; Automation; Deep learning; Workforce",,,15541908,,,"J. Emerg. Technol. Account.",Editorial,"Final","",Scopus
"Doyle J.C., Csete M.","7403326938;7007046586;","Architecture, constraints, and behavior",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","SUPPL. 3",,"15624","15630",,111,"10.1073/pnas.1103557108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053153518&doi=10.1073%2fpnas.1103557108&partnerID=40&md5=d658b1e8ec61bca4062e7e9e8c116a1d","Control and Dynamical Systems, California Institute of Technology, Pasadena, CA 91125, United States; Department of Anesthesiology, University of California, San Diego, CA 92103, United States","Doyle, J.C., Control and Dynamical Systems, California Institute of Technology, Pasadena, CA 91125, United States; Csete, M., Department of Anesthesiology, University of California, San Diego, CA 92103, United States","Complexity","architecture; behavior; clothing; cognition; computer network; conference paper; decision making; human; interpersonal communication; language; mathematics; motor control; neurobiology; neurophysiology; neuroscience; priority journal; reinforcement; sensorimotor function; simulation; textile","Doyle, J.C.; Control and Dynamical Systems, , Pasadena, CA 91125, United States; email: doyle@cds.caltech.edu",00278424,,PNASA,"Proc. Natl. Acad. Sci. U. S. A.",Article,"Final","All Open Access, Green",Scopus
"Carlsson B.","7103318095;","The Digital Economy: What is new and what is not?",2004,"Structural Change and Economic Dynamics","15","3",,"245","264",,111,"10.1016/j.strueco.2004.02.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344699746&doi=10.1016%2fj.strueco.2004.02.001&partnerID=40&md5=a0dc7e65287a93f7b22406b2526de936","Department of Economics, Weatherhead School of Management, Case Western Reserve University, Cleveland, OH 44106-7235, United States","Carlsson, B., Department of Economics, Weatherhead School of Management, Case Western Reserve University, Cleveland, OH 44106-7235, United States","Digitization; General-purpose technology; Internet; New combinations; New Economy","information technology; Internet; technological development; technology adoption; North America; United States","Carlsson, B.; Department of Economics, , Cleveland, OH 44106-7235, United States; email: bo.carlsson@cwru.edu",0954349X,,,"Struct. Change Econ. Dyn.",Article,"Final","",Scopus
