raw_source_title,issn,eissn,subject_areas
Comptes Rendus - Mecanique,16310721,18737234,Engineering; Materials Science
Comptes Rendus - Palevol,16310683,1777571X,Earth and Planetary Sciences
Comptes Rendus Chimie,16310748,18781543,Chemical Engineering; Chemistry
"Comptes Rendus de Academie des Sciences, Paris, Serie II",07644450,,Earth and Planetary Sciences; Engineering; Environmental Science
Comptes Rendus de l Academie des Sciences Serie Il Fascicule B - Mecanique PH,12518069,,Earth and Planetary Sciences; Engineering; Environmental Science; Materials Science
"Comptes rendus de l""Association des anatomistes",00668915,,Medicine
Comptes Rendus de L'Academie Bulgare des Sciences,13101331,,
Comptes Rendus de l'Academie de Sciences - Serie IIb: Mecanique,16207742,,Earth and Planetary Sciences
"Comptes Rendus de l'Academie de Sciences - Serie IIb: Mecanique, Physique, Chimie, Astronomie",12874620,,Chemistry; Physics and Astronomy
Comptes Rendus de l'Academie des Sciences - Series I: Mathematics,07644442,,Mathematics
Comptes Rendus de l'Academie des Sciences - Series IIc: Chemistry,13871609,,Chemistry
"Comptes Rendus de l'Academie des Sciences, Paris, Serie D",0567655X,,Earth and Planetary Sciences; Environmental Science
Comptes Rendus de Therapeutique et de Pharmacologie Clinique,02939908,,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Comptes Rendus des Seances de la Academie des Inscriptions et Belles Lettres,00650536,,Arts and Humanities; Social Sciences
Comptes Rendus des Seances de la Societe de Biologie et de Ses Filiales,00379026,,"Biochemistry, Genetics and Molecular Biology"
Comptes rendus des travaux du Laboratoire Carlsberg. Série chimique,03668096,,Medicine
Comptes rendus des travaux du Laboratoire Carlsberg. Série physiologique,0366810X,,Medicine
Comptes rendus hebdomadaires des séances de l'Académie des sciences,00014036,,Medicine
Comptes Rendus Mathematique,1631073X,17783569,Mathematics
Comptes Rendus Physique,16310705,18781535,Physics and Astronomy
"Comptes Rendus, Hebdomadaires des Seances de l'Academie des Sciences, Serie B",03666077,,Engineering
Comptes-rendus des travaux du Laboratoire Carlsberg,00757497,,Medicine
Compusoft,,23200790,Computer Science
Computability,22113568,22113576,Computer Science; Mathematics
Computacion y Sistemas,14055546,,Computer Science
Computation,,20793197,Computer Science; Mathematics
Computational and Applied Mathematics,22383603,18070302,Mathematics
Computational and Experimental Methods,14667266,,Engineering
Computational and Experimental Methods in Structures,20449283,,Engineering; Materials Science
Computational and Mathematical Biophysics,,25447297,"Biochemistry, Genetics and Molecular Biology; Mathematics"
Computational and Mathematical Methods,,25777408,Computer Science; Engineering; Mathematics
Computational and Mathematical Methods in Medicine,1748670X,17486718,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine"
Computational and Mathematical Organization Theory,1381298X,,Computer Science; Decision Sciences; Mathematics
Computational and Structural Biotechnology Journal,,20010370,"Biochemistry, Genetics and Molecular Biology; Computer Science"
Computational and Systems Oncology,,26899655,Computer Science; Mathematics; Medicine
Computational and Theoretical Chemistry,2210271X,,"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
Computational and Theoretical Polymer Science,10893156,,Chemical Engineering
Computational Biology and Chemistry,14769271,,"Biochemistry, Genetics and Molecular Biology; Chemistry; Mathematics"
Computational Brain and Behavior,,2522087X,Psychology
Computational Communication Research,,26659085,Computer Science; Social Sciences
Computational Complexity,10163328,14208954,Computer Science; Mathematics
Computational Condensed Matter,,23522143,Materials Science; Physics and Astronomy
Computational Continuum Mechanics,19996691,,Engineering; Mathematics; Physics and Astronomy
Computational Design and Robotic Fabrication,27319040,27319059,Computer Science; Engineering; Mathematics
Computational Economics,09277099,15729974,"Computer Science; Economics, Econometrics and Finance"
Computational Geometry: Theory and Applications,09257721,,Computer Science; Mathematics
Computational Geosciences,14200597,,Computer Science; Earth and Planetary Sciences; Mathematics
Computational Intelligence,08247935,14678640,Computer Science; Mathematics
Computational Intelligence and Neuroscience,16875265,16875273,Computer Science; Mathematics; Neuroscience
Computational Linguistics,08912017,15309312,Arts and Humanities; Computer Science; Social Sciences
Computational Management Science,1619697X,16196988,"Business, Management and Accounting; Decision Sciences"
Computational Materials Science,09270256,,Chemistry; Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy
Computational Mathematics and Mathematical Physics,09655425,15556662,Mathematics
Computational Mathematics and Modeling,1046283X,,Mathematics
Computational Mechanics,01787675,14320924,Computer Science; Engineering; Mathematics
Computational Methods and Function Theory,16179447,,Computer Science; Mathematics
Computational Methods for Differential Equations,23453982,23832533,Mathematics
Computational Methods in Applied Mathematics,16094840,16099389,Mathematics
Computational Methods in Applied Sciences,18713033,,Chemical Engineering; Computer Science; Engineering; Mathematics
Computational Music Science,18680305,18680313,Computer Science; Mathematics
Computational Optimization and Applications,09266003,15732894,Mathematics
Computational Particle Mechanics,21964378,21964386,Chemical Engineering; Engineering; Mathematics
Computational Psychiatry,,23796227,Psychology
Computational Science and Discovery,17494680,17494699,Mathematics; Physics and Astronomy
Computational Social Networks,,21974314,Computer Science; Mathematics
Computational Statistics,09434062,,Decision Sciences; Mathematics
Computational Statistics and Data Analysis,01679473,,Computer Science; Mathematics
Computational systems bioinformatics / Life Sciences Society. Computational Systems Bioinformatics Conference,17527791,,Medicine
Computational Thermal Sciences,19402503,19402554,Chemical Engineering; Energy; Mathematics; Physics and Astronomy
Computational Toxicology,24681113,,"Computer Science; Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
Computational Urban Science,,27306852,Computer Science; Environmental Science; Social Sciences
Computational Visual Media,20960433,20960662,Computer Science
Computer,00189162,,Computer Science
Computer Aided Chemical Engineering,15707946,,Chemical Engineering; Computer Science
Computer Aided Geometric Design,01678396,,Computer Science; Engineering; Mathematics
Computer Aided Surgery,10929088,10970150,Medicine
Computer Animation and Virtual Worlds,15464261,,Computer Science
Computer Applications in Engineering Education,10613773,10990542,Computer Science; Engineering; Social Sciences
Computer Applications in the Biosciences,02667061,,Medicine
Computer Applications in the Laboratory,07240031,,Medicine
Computer Assisted Language Learning,09588221,17443210,Arts and Humanities; Computer Science; Social Sciences
Computer Assisted Mechanics and Engineering Sciences,1232308X,,Computer Science; Engineering
Computer Assisted Methods in Engineering and Science,22993649,29565839,Computer Science; Engineering
Computer Assisted Surgery,,24699322,Computer Science; Medicine
Computer Bulletin (London),00104531,,Computer Science
Computer Communication Review,01464833,19435819,Computer Science
Computer Communications,01403664,1873703X,Computer Science
Computer Design,00104566,,Engineering
Computer Fraud and Security,13613723,,Computer Science; Social Sciences
Computer Fraud and Security Bulletin,01420496,,
Computer Graphics (ACM),00978930,,Computer Science
Computer Graphics and Image Processing,0146664X,,Earth and Planetary Sciences; Environmental Science
Computer Graphics Forum,01677055,14678659,Computer Science
Computer Graphics World,02714159,,Computer Science
Computer Integrated Manufacturing Systems,09515240,,Engineering
Computer Journal,00104620,14602067,Computer Science
Computer Languages,00960551,,Computer Science
"Computer Languages, Systems and Structures",14778424,,Computer Science
Computer Law and Security Review,02673649,,"Business, Management and Accounting; Computer Science; Social Sciences"
Computer Methods and Programs in Biomedicine,01692607,18727565,Computer Science; Medicine
Computer Methods and Programs in Biomedicine Update,,26669900,Computer Science; Engineering; Medicine
Computer Methods in Applied Mechanics and Engineering,00457825,,Computer Science; Engineering; Physics and Astronomy
Computer Methods in Biomechanics and Biomedical Engineering,10255842,14768259,Chemical Engineering; Computer Science; Engineering
Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization,21681163,21681171,Computer Science; Engineering; Medicine
Computer Methods in Materials Science,16418581,,Computer Science; Materials Science
Computer Methods in the Geosciences,1874561X,,Earth and Planetary Sciences
Computer Modeling and Simulation in Engineering,10833455,,Engineering; Mathematics
Computer Modelling and New Technologies,14075806,14075814,Computer Science; Mathematics
Computer Music Journal,01489267,15315169,Arts and Humanities; Computer Science; Engineering
Computer Networks,13891286,,Computer Science
Computer Networks (1976),03765075,,
Computer Networks and ISDN Systems,01697552,,Engineering
Computer Optics,01342452,,Computer Science; Engineering
Computer Physics Communications,00104655,,Computer Science; Physics and Astronomy
Computer Physics Reports,01677977,,Engineering
Computer Programs in Biomedicine,0010468X,,Medicine
Computer Research and Modeling,20767633,20776853,Computer Science; Mathematics
Computer Science,15082806,23007036,Computer Science; Mathematics
Computer Science - Research and Development,18652034,18652042,Computer Science
Computer Science and Information Systems,18200214,24061018,Computer Science
Computer Science Education,08993408,17445175,Computer Science; Social Sciences
Computer Science in Economics and Management,09212736,22146954,"Economics, Econometrics and Finance"
Computer Science Journal of Moldova,15614042,,Computer Science; Mathematics
Computer Science Research Notes,24644617,24644625,Medicine
Computer Science Review,15740137,,Computer Science; Mathematics
Computer Security Journal,02770865,,Computer Science
Computer Software,02896540,,Computer Science
Computer Speech and Language,08852308,10958363,Computer Science; Mathematics
Computer Standards and Interfaces,09205489,,Computer Science; Social Sciences
Computer Supported Cooperative Work,09259724,15737551,Computer Science
Computer Systems Science and Engineering,02676192,,Computer Science; Engineering; Mathematics
Computer Technology Review,02789647,,Computer Science
Computer Vision and Image Understanding,10773142,1090235X,Computer Science
"Computer Vision, Graphics, and Image Processing",0734189X,,Earth and Planetary Sciences; Engineering; Environmental Science
Computer-Aided Civil and Infrastructure Engineering,10939687,14678667,Computer Science; Engineering
Computer-Aided Design and Applications,16864360,,Computer Science; Engineering; Mathematics
Computer-Aided Engineering,07333536,,Computer Science; Engineering
Computer-Aided Engineering Journal,02639327,,Engineering
Computerized Medical Imaging and Graphics,08956111,18790771,Computer Science; Medicine; Health Professions
Computerized Radiology,07304862,,Medicine
Computerized Tomography,03638235,,Engineering
Computers,,2073431X,Computer Science
Computers and Artificial Intelligence,02320274,,Computer Science
Computers and Biomedical Research,00104809,,Medicine
Computers and Chemical Engineering,00981354,,Chemical Engineering; Computer Science
Computers and Chemistry,00978485,,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
Computers and Composition,87554615,,Arts and Humanities; Computer Science; Social Sciences
Computers and Concrete,15988198,1598818X,Engineering
Computers and Education,03601315,,Computer Science; Social Sciences
Computers and Education: Artificial Intelligence,,2666920X,Computer Science; Social Sciences
Computers and Electrical Engineering,00457906,,Computer Science; Engineering
Computers and Electronics in Agriculture,01681699,,Agricultural and Biological Sciences; Computer Science
Computers and Fluids,00457930,,Computer Science; Engineering
Computers and Geosciences,00983004,,Computer Science; Earth and Planetary Sciences
Computers and Geotechnics,0266352X,18737633,Computer Science; Earth and Planetary Sciences
Computers and Graphics (Pergamon),00978493,,Computer Science; Engineering
Computers and Graphics: X,,25901486,Computer Science; Engineering
Computers and Industrial Engineering,03608352,,Computer Science; Engineering
Computers and Mathematics with Applications,08981221,,Computer Science; Mathematics
Computers and Mathematics with Applications,00974943,,Engineering
Computers and Operations Research,03050548,1873765X,Computer Science; Decision Sciences; Mathematics
Computers and Security,01674048,,Computer Science; Social Sciences
Computers and Standards,01678051,,Engineering
Computers and Structures,00457949,,Computer Science; Engineering; Materials Science; Mathematics
Computers and the Humanities,00104817,,Social Sciences
Computers and Translation,08840709,,Computer Science; Engineering
Computers and Urban Society,03057097,,
Computers in Biology and Medicine,00104825,18790534,Computer Science; Medicine
Computers in Education Journal,10693769,,Computer Science; Social Sciences
Computers in Entertainment,15443574,15443574,Computer Science
Computers in healthcare,07451075,,Medicine
Computers in hospitals,0274631X,,Medicine
Computers in Human Behavior,07475632,,Arts and Humanities; Computer Science; Psychology
Computers in Human Behavior Reports,,24519588,Computer Science; Neuroscience; Psychology
Computers in Human Services,0740445X,,Medicine
Computers in Industry,01663615,,Computer Science; Engineering
Computers in Libraries,10417915,,Computer Science; Social Sciences
Computers in Mechanical Engineering,07459726,,Engineering
Computers in Nursing,07368593,,Computer Science; Nursing
Computers in Physics,08941866,,Engineering
Computers in the Schools,07380569,15287033,Computer Science; Social Sciences
"Computers, Environment and Urban Systems",01989715,,Environmental Science; Social Sciences
"Computers, Materials and Continua",15462218,15462226,Computer Science; Engineering; Materials Science; Mathematics
Computertomographie Sonographie,07200501,,Medicine
Computing (Vienna/New York),0010485X,14365057,Computer Science; Mathematics
Computing and Control Engineering Journal,09563385,17410460,Computer Science; Engineering
Computing and Informatics,13359150,25858807,Computer Science
Computing and Software for Big Science,,25102044,Computer Science; Physics and Astronomy
Computing and Visualization in Science,14329360,14330369,Computer Science; Engineering; Mathematics
Computing in Science and Engineering,15219615,,Computer Science; Engineering
Computing Surveys,00104892,,Engineering
Computing systems,08956340,,Engineering
Computing systems in engineering,09560521,,Engineering
ComTec,14203715,,Engineering
Comunicacao e Sociedade,16452089,21833575,Arts and Humanities; Social Sciences
Comunicacao Midia e Consumo,18064981,19837070,Social Sciences
Comunicacion y Medios,07163991,07191529,Social Sciences
Comunicacion y Sociedad (Mexico),0188252X,,Social Sciences
Comunicacoes Geologicas,0873948X,1647581X,Earth and Planetary Sciences; Energy; Environmental Science
Comunicar,11343478,19883293,Social Sciences
Comunicata Scientiae,21769079,21775133,Agricultural and Biological Sciences
Comunicazione Politica,15946061,19725094,Social Sciences
Comunicazioni Sociali,03928667,18277969,Arts and Humanities; Social Sciences
Con A de Animacion,21736049,21733511,Arts and Humanities
Conatus - Journal of Philosophy,26539373,24593842,Arts and Humanities
CONCAWE Reports,01660810,,Chemical Engineering; Energy; Engineering; Environmental Science
CONCAWE Review,10277358,,Chemical Engineering; Energy; Engineering; Environmental Science
Concentric: Literary and Cultural Studies,17296897,17298792,Arts and Humanities; Social Sciences
Concentric: Studies in Linguistics,18107478,,Arts and Humanities; Social Sciences
Concepts in immunopathology,02557983,,Medicine
Concepts in Magnetic Resonance,10437347,10990534,Chemistry
Concepts in Magnetic Resonance Part A: Bridging Education and Research,15466086,15525023,Chemistry
Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering,15525031,1552504X,Chemistry; Medicine; Health Professions
Conceptual History and Chinese Linguistics,22102884,,Arts and Humanities; Social Sciences
"Concern (Regina, Sask.)",08367310,,Medicine
Concrete (London),00105317,,Engineering; Materials Science
Concrete Construction - World of Concrete,15337316,,Engineering; Materials Science
Concrete Engineering International,14605856,1742352X,Engineering; Materials Science
Concrete International,01624075,19447388,Engineering; Materials Science
Concrete Operators,,22993282,Mathematics
Concrete Plant and Production,02640236,,Engineering
Concrete Producer,15280187,,Engineering; Materials Science
Concrete Works International,02624761,,Engineering
Concurrences,17739578,21160090,"Economics, Econometrics and Finance; Social Sciences"
Concurrency Computation Practice and Experience,15320626,15320634,Computer Science; Mathematics
Concurrency Practice and Experience,10403108,,Engineering
Concurrent Engineering Research and Applications,1063293X,15312003,Computer Science; Engineering; Mathematics
Concurrent Systems Engineering Series,13837575,,Computer Science; Engineering
Concussion,,20563299,Medicine; Neuroscience
Condensed Matter,,24103896,Materials Science; Physics and Astronomy
Condensed Matter and Interphases,1606867X,26870711,Chemistry; Materials Science; Physics and Astronomy
Condensed Matter Physics,1607324X,,Physics and Astronomy
Conditional Reflex,00105392,,Neuroscience; Psychology
Condor,00105422,,Agricultural and Biological Sciences
Configurations,10631801,10806520,Arts and Humanities; Social Sciences
Confinia Cephalalgica et Neurologica,11220279,30350670,Medicine; Neuroscience
Confinia Neurologica,00105678,,Medicine
Conflict and Health,17521505,,Medicine; Social Sciences
Conflict and Society,21644543,21644551,Social Sciences
Conflict Management and Peace Science,07388942,15499219,"Economics, Econometrics and Finance; Social Sciences"
Conflict Resolution Quarterly,15365581,15411508,Psychology; Social Sciences
"Conflict, Security and Development",14678802,,Social Sciences
Confluences Mediterranee,11482664,21025991,Social Sciences
Confluencia,08886091,,Arts and Humanities; Social Sciences
Confluentes Mathematici,17937442,17937434,Mathematics
Confluenze,20360967,,Arts and Humanities; Social Sciences
Conformal Geometry and Dynamics,10884173,,Mathematics
Confrontation,00105716,,Arts and Humanities
Confrontations Psychiatriques,01539329,,Medicine
Congenital Anomalies,09143505,,"Biochemistry, Genetics and Molecular Biology; Medicine"
Congenital Heart Disease,1747079X,17470803,Medicine
Congestive Heart Failure,15275299,17517133,Medicine; Nursing
Congress and the Presidency,07343469,,Social Sciences
Connaissance des Arts,02939274,,Arts and Humanities
Connecticut Law Review,00106151,,Medicine
Connecticut Medicine,00106178,,Medicine
"Connecticut nursing news (Meriden, Conn. : 1980)",02784092,,Medicine
Connecticut state medical journal,00960179,,Medicine
Connection Science,09540091,13600494,Computer Science
Connections,18121098,18122973,Computer Science; Engineering; Social Sciences
Connective Tissue,0916572X,,Medicine
Connective Tissue Research,03008207,16078438,"Biochemistry, Genetics and Molecular Biology; Medicine"
Connector Specifier,10781528,,Engineering
Connexe,24065749,26732750,Arts and Humanities; Social Sciences
Connexions,03373126,17762804,Psychology
Conrad Studies,18721737,,Arts and Humanities
Conradiana,00106356,19350252,Arts and Humanities
"Conscience (Washington, D.C.)",07406835,,Medicine
Consciousness and Cognition,10538100,10902376,Psychology
"Consciousness, Literature and the Arts",15732193,,Arts and Humanities; Psychology
Conservacion Colombiana,19001592,,Agricultural and Biological Sciences; Environmental Science
Conservar Patrimonio,1646043X,21829942,Arts and Humanities
Conservation and Management of Archaeological Sites,13505033,17535522,Arts and Humanities; Social Sciences
Conservation and Recycling,03613658,,Earth and Planetary Sciences; Environmental Science
Conservation and Society,09724923,09753133,Agricultural and Biological Sciences; Environmental Science
Conservation Biology,08888892,15231739,Agricultural and Biological Sciences; Environmental Science
Conservation Ecology,11955449,,Environmental Science
Conservation Evidence,17582067,,Agricultural and Biological Sciences; Environmental Science
Conservation Genetics,15660621,15729737,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Conservation Genetics Resources,18777252,18777260,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Conservation Letters,1755263X,,Agricultural and Biological Sciences; Environmental Science
Conservation Physiology,,20511434,"Biochemistry, Genetics and Molecular Biology; Environmental Science"
Conservation Science and Practice,,25784854,Environmental Science
Conservation Science in Cultural Heritage,19744951,19739494,Arts and Humanities
Conservation Science Western Australia,14473682,,Environmental Science
Conservative Judaism,00106542,,Medicine
Consortium Psychiatricum,27127672,27132919,Medicine; Psychology
Constitutional Law Library,18714110,,Social Sciences
Constitutional Political Economy,10434062,15729966,"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
Constitutional Review,24600016,25483870,Social Sciences
Constraints,13837133,15729354,Computer Science; Mathematics
Construction and Building Materials,09500618,,Engineering; Materials Science
Construction Economics and Building,,22049029,"Business, Management and Accounting; Engineering"
Construction History,02677768,,Arts and Humanities; Engineering
Construction Innovation,14714175,14770857,Computer Science; Engineering
Construction Management and Economics,01446193,1466433X,"Business, Management and Accounting; Engineering"
Construction Materials and Products,,26187183,Engineering; Materials Science
Construction Repair,09670726,,Engineering
Construction Specifier,00106925,,Engineering
Constructional Approaches to Language,1573594X,,Arts and Humanities; Social Sciences
Constructions and Frames,18761933,18761941,Arts and Humanities; Social Sciences
Constructive Approximation,01764276,14320940,Mathematics
Constructive Mathematical Analysis,,26512939,Mathematics
Constructivist Foundations,1782348X,,Computer Science; Social Sciences
Consultant,00107069,,Medicine
Consultant Pharmacist,08885109,23310936,Medicine
Consulting engineer Barrington,00107107,,Engineering
Consulting Psychology Journal,10659293,,Psychology
Consulting-Specifying Engineer,08925046,,Engineering
Consumer Behavior in Tourism and Hospitality,27526666,27526674,"Business, Management and Accounting; Social Sciences"
Consumer markets abroad,08933561,,Medicine
Consumer reports,00107174,,Medicine
Consumption Markets and Culture,10253866,1477223X,"Business, Management and Accounting; Economics, Econometrics and Finance; Psychology; Social Sciences"
Contact,,25152564,"Biochemistry, Genetics and Molecular Biology"
Contact and Intraocular Lens Medical Journal,03601358,,Medicine
Contact Dermatitis,01051873,16000536,Medicine
CONTACT LENS,00107271,,Medicine
Contact Lens and Anterior Eye,13670484,14765411,Medicine; Health Professions
Contact Lens Journal,03069575,,Medicine
CONTACT LENS MED.BULL.,0010728X,,Medicine
Contact point,00107301,,Medicine
Contactologia,14359472,,Medicine
Contaduria y Administracion,01861042,,"Business, Management and Accounting"
"Contagion: Journal of Violence, Mimesis, and Culture",10757201,19301200,Arts and Humanities; Social Sciences
Containerisation International,00107379,,Engineering
Contemporanea,11273070,,Arts and Humanities
Contemporary Accounting Research,08239150,,"Business, Management and Accounting; Economics, Econometrics and Finance"
Contemporary administrator,01919873,,Medicine
Contemporary administrator for long-term care,07452837,,Medicine
Contemporary Arab Affairs,17550912,17550920,Social Sciences
Contemporary British History,13619462,,Arts and Humanities; Social Sciences
Contemporary Buddhism,14639947,,Arts and Humanities
Contemporary Chinese Political Economy and Strategic Relations,,24109681,"Economics, Econometrics and Finance; Social Sciences"
Contemporary Chinese Thought,10971467,15580997,Arts and Humanities
Contemporary Cinema,15723070,,Arts and Humanities
Contemporary City,26345463,26345471,Social Sciences
Contemporary Clinical Dentistry,0976237X,09762361,Dentistry
Contemporary Clinical Gynecology and Obstetrics,14718359,,Medicine
Contemporary Clinical Neuroscience,2627535X,26275341,Medicine; Neuroscience
Contemporary Clinical Trials,15517144,15592030,Medicine
Contemporary Clinical Trials Communications,24518654,24518654,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Contemporary Concepts of Condensed Matter Science,15720934,,Materials Science; Physics and Astronomy
Contemporary Crises,03781100,,Medicine; Social Sciences
Contemporary Diagnostic Radiology,01499009,19381395,Medicine
Contemporary Drug Problems,00914509,,Medicine; Social Sciences
Contemporary Economic Policy,10743529,14657287,"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
Contemporary Economics,20840845,23008814,"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
Contemporary Education Dialogue,09731849,22495320,Social Sciences
Contemporary Educational Psychology,0361476X,10902384,Psychology; Social Sciences
Contemporary Educational Research Quarterly,18144810,,Social Sciences
Contemporary Educational Technology,,1309517X,"Business, Management and Accounting; Social Sciences"
Contemporary Endocrinology,01968653,,"Biochemistry, Genetics and Molecular Biology; Medicine"
Contemporary Engineering Sciences,13136569,13147641,Chemical Engineering; Computer Science; Engineering; Environmental Science; Materials Science; Social Sciences
Contemporary European History,09607773,14692171,Arts and Humanities
Contemporary Family Therapy,08922764,15733335,Psychology; Social Sciences
Contemporary French and Francophone Studies,17409292,,Arts and Humanities; Social Sciences
Contemporary French Civilization,01479156,,Arts and Humanities; Social Sciences
Contemporary Hypnosis,09605290,,Psychology; Health Professions
Contemporary Hypnosis and Integrative Therapy,20492146,20492154,Psychology; Health Professions
Contemporary Islam,18720218,18720226,Arts and Humanities; Social Sciences
Contemporary Issues in Early Childhood,14639491,,Psychology; Social Sciences
Contemporary Issues in Entrepreneurship Research,20407246,20407254,"Business, Management and Accounting"
Contemporary Issues in International Arbitration and Mediation: The Fordham Papers,22107053,,Social Sciences
Contemporary Italian Politics,23248823,23248831,Social Sciences
Contemporary Japan,18692729,18692737,Arts and Humanities; Social Sciences
Contemporary Jewry,01471694,,Arts and Humanities; Social Sciences
"Contemporary Justice Review: Issues in Criminal, Social, and Restorative Justice",10282580,,Social Sciences
Contemporary Levant,20581831,2058184X,Arts and Humanities; Social Sciences
Contemporary Literature,00107484,15489949,Arts and Humanities
Contemporary longterm care,87509652,,Medicine
Contemporary Management Research,18135498,,"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
Contemporary Mathematics,02714132,10983627,Mathematics
Contemporary Mathematics (Singapore),27051064,27051056,Mathematics
Contemporary Mathematics and its Applications,25917668,25917676,Mathematics
Contemporary Music Review,07494467,,Arts and Humanities
Contemporary Nurse,10376178,,Nursing
Contemporary Ob/Gyn,00903159,,Medicine; Nursing
Contemporary Organic Synthesis,13504894,,Chemistry
Contemporary Pacific,1043898X,15279464,Social Sciences
Contemporary Pediatrics,87500507,,Medicine; Nursing
Contemporary Perspectives in Family Research,15303535,,Psychology; Social Sciences
Contemporary Physics,00107514,13665812,Physics and Astronomy
Contemporary Policy Issues,07350007,,Medicine
Contemporary Political Theory,14708914,14769336,Social Sciences
Contemporary Politics,13569775,14693631,Social Sciences
Contemporary Pragmatism,15723429,18758185,Arts and Humanities
Contemporary Problems of Ecology,19954255,19954263,Environmental Science
Contemporary Psychoanalysis,00107530,23309091,Medicine; Psychology
Contemporary Psychoanalytic Studies,15714977,,Social Sciences
Contemporary Readings in Law and Social Justice,19489137,21622752,Social Sciences
Contemporary Rehab,10759298,,Medicine; Nursing; Health Professions
Contemporary Review of the Middle East,23477989,23490055,"Economics, Econometrics and Finance; Social Sciences"
Contemporary Reviews in Obstetrics and Gynaecology,09539182,,Medicine
Contemporary Security Policy,13523260,17438764,Social Sciences
Contemporary Social Science,21582041,2158205X,Arts and Humanities; Social Sciences
Contemporary Sociology,00943061,19398638,Social Sciences
Contemporary South Asia,09584935,1469364X,Social Sciences
Contemporary Southeast Asia,0129797X,,Arts and Humanities; Social Sciences
Contemporary Southeastern Europe,,23103612,Arts and Humanities; Social Sciences
Contemporary Studies in Economic and Financial Analysis,15693759,,"Business, Management and Accounting; Economics, Econometrics and Finance"
Contemporary Theatre Review,10486801,14772264,Arts and Humanities
Contemporary Topics in Laboratory Animal Science,10600558,,Agricultural and Biological Sciences; Veterinary
Contemporary Trends and Issues in Science Education,18780482,18780784,Social Sciences
Contemporary Urban Design Thinking,25228404,25228412,Engineering; Environmental Science; Social Sciences
Contemporary Urology,10422250,,Medicine; Nursing
Contemporary Voice of Dalit,2455328X,24560502,Social Sciences
Contemporary Women's Writing,17541476,17541484,Arts and Humanities; Social Sciences
Contention,25727184,23301392,Social Sciences
Context Magazine,07799969,,"Business, Management and Accounting; Energy; Environmental Science; Mathematics"
Contexto,20071639,,Arts and Humanities; Engineering; Social Sciences
Con-textos Kantianos,,23867655,Arts and Humanities
Continence,,27729737,Medicine
Continental Philosophy Review,13872842,,Arts and Humanities
Continental Shelf Research,02784343,18736955,Agricultural and Biological Sciences; Earth and Planetary Sciences
"Continuing Education in Anaesthesia, Critical Care and Pain",17431816,17431824,Medicine
Continuing Education in Radiologic Technology,15433544,,Medicine
Continuing Medical Education - Cardiology,14630486,,Medicine
Continuity and Change,02684160,1469218X,Arts and Humanities; Social Sciences
Continuity in Education,,26319179,Medicine; Psychology; Social Sciences
Continuum,10304312,14693666,Arts and Humanities; Social Sciences
Continuum (Society for Social Work Administrators in Health Care),10828419,,Medicine
CONTINUUM Lifelong Learning in Neurology,10802371,15386899,Medicine
Continuum Mechanics and Thermodynamics,09351175,14320959,Engineering; Materials Science; Physics and Astronomy
Contracepcion y Menopausia,11394773,,Medicine
Contraception,00107824,18790518,Medicine
Contraception Fertilite Sexualite,11651083,,Medicine
Contraception Report,,,Medicine
Contraception: X,25901516,25901516,Medicine
Contraceptive technology update,0274726X,,Medicine
"Contract (New York, N.Y. : 1960)",00107832,,Medicine
Contract design,10535632,,Medicine
Contract interiors,0148012X,,Medicine
Contract Pharma,15443469,23806559,"Business, Management and Accounting; Pharmacology, Toxicology and Pharmaceutics"
Contradictions,25707485,,Arts and Humanities; Social Sciences
Contrast Media and Molecular Imaging,15554309,15554317,Medicine
Contrastes,11364076,,Arts and Humanities
Contrastive Pragmatics,26660385,26660393,Arts and Humanities; Social Sciences
Contratexto,10259945,19934904,Social Sciences
Contributii Botanice,00699616,20673094,Agricultural and Biological Sciences; Environmental Science
"Contribution - University of California, Water Resources Center",05754941,,Environmental Science
Contributions from Science Education Research,22133623,22133631,Social Sciences
Contributions of the Astronomical Observatory Skalnate Pleso,13351842,13360337,Physics and Astronomy
"Contributions of the Geophysical Institute, Slovak Academy of Sciences",05864607,,Earth and Planetary Sciences; Environmental Science
"Contributions of the Geophysical Institute, Slovak Academy of Sciences, Series of Meteorology",02319004,,Earth and Planetary Sciences; Environmental Science
Contributions to Asian Studies,03042693,,Earth and Planetary Sciences; Environmental Science
Contributions to Atmospheric Physics,00058173,,Earth and Planetary Sciences; Physics and Astronomy
