WORDS,ABBREVIATIONS
CERTIFICAT-,CERTIF
CERTIFIED,CERTIF
CERVICAL,CERV
CERVICOFACIAL-,CERVICOFAC
CESSATION,CESSAT
CHÁCARA,CHÁC
CHAIRMAN,CHAIRM
CHALLENGE,CHALL
CHALLENGER,CHALL
CHAMBER,CHAMB
CHAMBERSBURG,CHAMBERSBG
CHANCELLER,CHANCELL
CHANCELLOR,CHANCELL
CHANDLER,CHANDL
CHAPBOOK-,CHAPB
CHAPEL HILL,CHAP HILL
CHAPELTOWN,CHAPELT
CHAPLAIN-,CHAPLAIN
CHARACTERISTIC-,CHARACT
CHARACTERIZ-,CHARACT
CHARLESTON,CHARLEST
CHARLOTTESVILLE,CHARLOTTESV
CHARLOTTETOWN,CHARLOTTET
CHARTER,CHART
CHARTERED,CHART
CHASING,CHAS
CHASTITY,CHAST
CHATTANOOGA,CHATT
CHAUNCEY,CHAUNC
CHECKLIST,CHECKL
CHECKPOINT,CHECKP
CHELMSFORD,CHELMSF
CHELTENHAM,CHELTEN
CHEMIC-,CHEM
CHEMIGRAPH-,CHEMIGR
CHEMILUMINESCEN-,CHEMILUMIN
CHEMISORPTION,CHEMISORPT
CHEMIST-,CHEM
CHEMIZ-,CHEM
CHEMOMETR-,CHEMOM
CHEMONOMIC,CHEMON
CHEMORECEPT-,CHEMORECEPT
CHEMORHEOLOG-,CHEMORHEOL
CHEMOSENSOR-,CHEMOSENS
CHEMOSYSTEM-,CHEMOSYST
CHEMOTAXONOM-,CHEMOTAXON
CHEMOTHERAP-,CHEMOTHER
CHEMURG-,CHEMURG
CHEROKEE,CHEROK
CHERUBI-,CHERUB
CHESAPEAKE-,CHESAP
CHESHIRE,CHES
CHESSPLAY-,CHESSPLAY
CHESTERVILLE,CHESTERV
CHICAGO,CHIC
CHICKEN,CHICK
CHILDBEAR-,CHILDBEAR
CHILDHOOD,CHILD
CHILDREAR-,CHILDREAR
CHILDREN-,CHILD
CHILEAN,CHIL
CHILL-,CHILL
CHINESE,CHIN
CHIROPOD-,CHIROP
CHIROPRACTIC,CHIROPR
CHIROPRACTOR,CHIROPR
CHIROPTERA,CHIROPT
CHIRURG-,CHIR
CHOCOLAT-,CHOC
CHOICELAND,CHOICEL
CHOOSING,CHOOS
CHOPPER-,CHOP
CHORISTER,CHORIST
CHOWDER,CHOWD
CHRISTADELPHIAN,CHRISTADELPH
CHRISTCHURCH,CHRISTCH
CHRISTOLOG-,CHRISTOL
CHRISTORIUM,CHRIST
CHROMATOGRAPH-,CHROMATOGR
CHROMOSPHERE,CHROMOSPH
CHRONICLE,CHRON
CHRONOBIOTECHNOLOG-,CHRONOBIOTECHNOL
CHRONOMETR-,CHRONOM
CHRONOPHARMACOLOG-,CHRONOPHARMACOL
CHRONOSTRATIGRAPHIC,CHRONOSTRATIGR
CHRONOTHERAP-,CHRONOTHER
CHRYSALIS,CHRYSAL
CHRYSANTH-,CHRYSANTH
CHURCHMAN,CHURCHM
CIBERNETIC-,CIBERN
CIDAD-,CID
CIÊNCIA,CIÊNC
CINEGÉTICA,CINEG
CINEMA,CINÉ
CINEMATOGRAPH-,CINEMATOGR
CINERADIOGRAPH-,CINERADIOGR
CIRCLE,CIRC
CIRCUMSTANCE,CIRCUMST
CIRURGI-,CIR
CITATION,CIT
CITATOR,CIT
CITIZEN,CITIZ
CITIZENSHIP,CITIZSH
CITOGRAPH-,CITOGR
CITOLOG-,CITOL
CITRICULT-,CITRIC
CITROGRAPH-,CITROGR
CITROLOG-,CITROL
CIVIC-,CIV
CIVIL,CIV
CIVILIAN,CIV
CIVILISED,CIVILIS
CIVILISING,CIVILIS
CIVILIZAÇÃO,CIVILIZ
CIVILIZATION,CIVILIZ
CIVILS,CIV
CLACKMANNANSHIRE,CLACKMANNANS
CLARION,CLAR
CLASS,CL
CLASSE,CL
CLASSIC-,CLASS
CLASSIFI-,CLASSIF
CLASSROOM,CLASSR
CLAYWORKER,CLAYWORK
CLEANER,CLEAN
CLEANING,CLEAN
CLEANSING,CLEAN
CLEAR-,CLEAR
CLEARANCE,CLEAR
CLEARINGHOUSE,CLGH
CLEETHORPES,CLEETH
CLERICAL,CLERIC
CLEVELAND,CLEVEL
CLIMAT-,CLIM
CLIMATOLOG-,CLIMATOL
CLIMBER,CLIMB
CLINIC-,CLIN
CLINTON,CLINT
CLIPPER,CLIPP
CLIPPING,CLIPP
CLOCKMAK-,CLOCKMAK
CLOCKWISE,CLOCKW
CLOSURE,CLOS
CLOTHIER,CLOTH
CLOTHING,CLOTH
CLOTHWORKER,CLOTHWORK
CLOTTING,CLOTT
CLUBHOUSE,CLUBH
CLUBLAND,CLUBL
CLUSTER-,CLUST
CO-OPERATIVE,CO-OP
CO-ORDINAT-,CO-ORD
COACH-,COACH
COALFIELD,COALF
COASTAL,COAST
COATED,COAT
COATING,COAT
COCARCINOGEN-,COCARCINOG
COERC-,COERC
COEVOLUTION,COEVOL
COGENERAT-,COGENER
COGNATE,COGN
COGNIZ-,COGNIZ
COHESION,COHES
COINAGE,COIN
COINHUNTER,COINHUNT
COKEMAKING,COKEMAK
COLCHESTER,COLCH
COLEÇÃO,COLEÇ
COLECÇÃO,COLECÇ
COLECT-,COLECT
COLEOPTER-,COLEOPT
COLEOPTEROLOG-,COLEOPTEROL
COLETÂNEA,COLET
COLETIVO,COLET
COLLABORAT-,COLLAB
COLLECT-,COLLECT
COLLEGE-,COLL
COLLEGI-,COLL
COLLIDER,COLLID
COLLISION,COLLIS
COLONI-,COLON
COLORADO,COLO
COLORADO SPRINGS,COLO SPRINGS
COLOTOMY,COLOTM
COLOURAGE,COLOUR
COLOURING,COLOUR
COLOURIST-,COLOUR
COLPOSCOP-,COLPOSC
COLUMBÓFILO,COLUMBÓF
COLUMBUS,COLUMB
COMBIN-,COMB
COMBONIAN-,COMBON
COMBUSTI-,COMBUST
COMERCI-,COMER
COMFORT-,COMF
COMISSÃO,COM
COMMEMORANT-,COMMEM
COMMEMORAT-,COMMEM
COMMENC-,COMMENC
COMMENTAR-,COMMENT
COMMERC-,COMMER
COMMISSAR-,COMMIS
COMMISSION-,COMM
COMMITMENT,COMMIT
COMMITTEE,COMM
COMMODIT-,COMMOD
COMMONER,COMMON
COMMONWEALTH,COMMONW
COMMUNICA-,COMMUN
COMMUT-,COMMUT
COMPACT-,COMPACT
COMPANHIA,CIA
COMPANIES,CO
COMPANY,CO
COMPARA-,COMP
COMPARE-,COMP
COMPARI-,COMP
COMPATIBIL-,COMPAT
COMPEND-,COMPEND
COMPENSAT-,COMPENS
COMPETING,COMPET
COMPÉTIT-,COMPET
COMPIL-,COMPIL
COMPLAIN-,COMPLAIN
COMPLET-,COMPLET
COMPLEXITY,COMPLEX
COMPLICAT-,COMPLICAT
COMPLIMENT,COMPLIM
COMPLIMENTARY,COMPLIMENT
COMPONENT,COMPON
COMPOS-,COMPOS
COMPOST-,COMPOST
COMPOUND-,COMPD
COMPREHENSIVE,COMPR
COMPRESSED,COMPRESS
COMPRESSION,COMPRESS
COMPRESSOR,COMPRESS
COMPTROL-,COMPTROL
COMPULSIVE,COMPULS
COMPULSORY,COMPULS
COMPUNETICS,NA
COMPUT-,COMPUT
COMPUTERLAND,COMPUTERL
COMPUTERVISION,COMPUTERV
COMUNICA-,COMUN
CONCEPTION,CONCEPT
CONCEPTUAL,CONCEPT
CONCERNING,CONCERN
CONCHOLOG-,CONCHOL
CONCHYLIOLOG-,CONCHYLIOL
CONCILIATION,CONCIL
CONCILIATOR,CONCIL
CONCLUSION,CONCLUS
CONCORDANCE,CONCORD
CONCORRÊNCIA,CONCORR
CONCRETE-,CONCR
CONDENS-,CONDENS
CONDIÇÃO,COND
CONDICIONADO,COND
CONDITION-,COND
CONDOMINIUM,CONDOM
CONDUCIVE,CONDUC
CONDUTOR-,CONDUT
CONFECTION-,CONFECT
CONFEDERA-,CONFED
CONFEREN-,CONF
CONFERR-,CONFERR
CONFESSIONAL,CONFESS
CONFIDENCE,CONFID
CONFIDENTIAL,CONFID
CONFISCATION,CONFISC
CONFLICT,CONFL
CONFLICTO,CONFL
CONFLUENCE,CONFLU
CONFRATERNITY,CONFRATERN
CONFRONTATION-,CONFRONT
CONGENITAL,CONGENIT
CONGLOMERATE,CONGLOM
CONGREGAT-,CONGREGAT
CONGRES-,CONGR
CONIFEROUS,CONIFER
CONJUNTUR-,CONJUNT
CONNECTICUT-,CONN
CONNECTION-,CONNECT
CONNECTIVE,CONNECT
CONNECTOR,CONNECT
CONNOISSEUR,CONNOISS
CONQUERING,CONQU
CONQUEST,CONQU
CONSCIOUSNESS,CONSCIOUS
CONSELH-,CONS
CONSIDERATION,CONSID
CONSIDERED,CONSID
CONSISTING,CONSIST
CONSOLIDAR,CONSOL
CONSOLIDAT-,CONSOL
CONSOMM-,CONSOMM
CONSPIR-,CONSPIR
CONSTABULARY,CONSTABUL
CONSTANTINIAN,CONSTANTIN
CONSTELLATION,CONSTELL
CONSTITUE-,CONST
CONSTITUT-,CONST
CONSTRUÇÃO,CONSTR
CONSTRUCT-,CONSTR
CONSTRUTIVO,CONSTR
CONSULAR,CONSUL
CONSULT-,CONSULT
CONSUMPTION,CONSUM
CONTAIN-,CONTAIN
CONTAMINA-,CONTAM
CONTEMPOR-,CONTEMP
CONTEND-,CONTEND
CONTINENCE,CONT
CONTINENT-,CONT
CONTINGENCY,CONTING
CONTINGENT,CONTING
CONTRACEPTION,CONTRACEPT
CONTRACEPTIVE,CONTRACEPT
CONTRACT-,CONTRACT
CONTRAR-,CONTRAR
CONTROL-,CONTROL
CONTROV-,CONTROV
CONURBATION,CONURBAT
CONVALESCENT,CONVAL
CONVECTI-,CONVECT
CONVENTIONLAND,CONVENTIONL
CONVERSATION,CONVERSAT
CONVERSION,CONVERS
CONVERT-,CONVERT
CONVEYANC-,CONVEY
CONVICTION,CONVICT
CONVOCATION,CONVOC
COOKBOOK,COOKB
COOKERY,COOK
COOKING,COOK
COOL-,COOL
COOPÉRA-,COOP
COORDEN-,COORD
COPENHAGEN,CPH
COPENHAGUE,CPH
COPOLYMER-,COPOLYM
COPPER,COPP
COPRODUCTION,COPROD
COPTIC,COPT
COPYRIGHT,COPYR
CORAÇÃO,CORAÇ
CORINTHIAN,CORINTH
CORMORANT,CORMOR
CORNELIAN,CORNEL
CORNISH,CORN
CORNWALL,CORN
CORONARY,CORON
CORPORAT-,CORP
CORPOREAL,CORPOR
CORPUSCULA-,CORPUSC
CORRECTION-,CORRECT
CORRECTIVE,CORRECT
CORREIO,CORR
CORRELAT-,CORREL
CORRESPOND-,CORRESP
CORROSÃO,CORROS
CORROSI-,CORROS
CORRUGATED,CORRUGAT
CORRUPÇÃO,CORRUPÇ
CORTICEIRA,CORTIC
COSMETI-,COSMET
COSMETOLOG-,COSMETOL
COSMOCHEMI-,COSMOCHEM
COSMOCHRONOLOG-,COSMOCHRONOL
COSMOLOG-,COSMOL
COSMOPHOBIA,COSMOPHOB
COSTURAR,COSTUR
COTTAG-,COTTAG
COULOMETR-,COULOM
COUNCELLING,COUNC
COUNCIL-,COUNC
COUNSEL-,COUNS
COUNTER,COUNT
COUNTERMEASUR-,COUNTERMEAS
COUNTERTRADE,COUNTERTR
COUNTIES,CTIES
COUNTING,COUNT
COUNTRIES,CTRIES
COUNTRY,CTRY
COUNTRYMAN,COUNTRYM
COUNTRYSIDE,COUNTRYS
COUNTRYWIDE,COUNTRYW
COUNTY,CTY
COURIER-,COUR
COURSEWARE,COURSEW
COURT-,COURT
COURTHOUSE,COURTH
COVENANT-,COVENANT
COVER-,COVER
CRACKED,CRACK
CRACKING,CRACK
CRAFTSMAN,CRAFTSM
CRAFTWORK-,CRAFTWORK
CRANIOMANDIBULAR,CRANIOMANDIB
CREAMERY,CREAM
CREDIBILITY,CREDIBIL
CRETACEOUS,CRETAC
CRETINISM-,CRETIN
CRIAÇÃO,CRIA
CRIADOR,CRIAD
CRIATIVO,CRIAT
CRICKETER,CRICKET
CRIMEAN,CRIME
CRIMINAL-,CRIM
CRIMINOLOG-,CRIMINOL
CRIPPL-,CRIPPL
CRIPTOGAMI-,CRIPTOGAM
CRITIC,CRIT
CRITICI-,CRIT
CROAKER,CROAK
CROATI-,CROAT
CROFTER,CROFT
CROP-,CROP
CROSSBREEDING,CROSSBREED
CROSSCURRENT,CROSSCURR
CROSSLINKING,CROSSLINK
CRUCIBLE,CRUCIB
CRUELTY,CRUEL
CRUISING,CRUIS
CRUSADER,CRUSAD
CRUSADING,CRUSAD
CRUSHER,CRUSH
CRUSHING,CRUSH
CRYOBIOLOG-,CRYOBIOL
CRYOENGINEER-,CRYOENG
CRYOGENI-,CRYOG
CRYOPHYSIC-,CRYOPHYS
CRYOPRESERV-,CRYOPRESERV
CRYPTANTHUS,CRYPTANTH
CRYPTOGAMI-,CRYPTOGAM
CRYPTOGRAPH-,CRYPTOGR
CRYPTOLOGY,CRYPTOL
CRYSTAL,CRYST
CRYSTALLI-,CRYST
CRYSTALLOCHEMI-,CRYSTALLOCHEM
CRYSTALLOGRAPH-,CRYSTALLOGR
CRYSTALS,CRYST
CUBA-,CUBA
CULINARY,CULIN
CULTIV-,CULTIV
CULTUR-,CULT
CUMBERLAND,CUMBERL
CUMULAT-,CUMUL
CUNEIFORM,CUNEIF
CURATORIAL,CURATOR
CURIOSIT-,CURIOSIT
CURLER,CURL
CURLING,CURL
CURMUDGEON,CURMUDG
CURRENCY,CURR
CURRENT-,CURR
CURRICULAR,CURRIC
CUSTODIAL,CUSTOD
CUSTOM-,CUST
CUTANEOUS,CUTAN
CUTTER,CUT
CUTTING,CUT
CYBERNETI-,CYBERN
CYBERSECURITY,CYBERSECUR
CYCLIC,CYCL
CYCLING,CYCL
CYCLIST,CYCL
CYCLOADDITI-,CYCLOADDIT
CYCLODEXTRIN,CYCLODEXT
CYCLOPAEDIA,CYCLOP
CYCLORAMA,CYCLOR
CYCLOSTYLED,CYCLOST
CYCLOTRON,CYCLOTR
CYLIND-,CYLIND
CYSTIC,CYST
CYTOBIOLOG-,CYTOBIOL
CYTOCHEM-,CYTOCHEM
CYTODIAGNOS-,CYTODIAGN
CYTOEMBRYOLOG-,CYTOEMBRYOL
CYTOGENET-,CYTOGENET
CYTOLOG-,CYTOL
CYTOMETR-,CYTOM
CYTOPATHOLOG-,CYTOPATHOL
CYTOPHARMACOLOG-,CYTOPHARMACOL
CYTOPHOTOMETR-,CYTOPHOTOM
CYTOPROTECT-,CYTOPROT
CYTOREDUCTION,CYTOREDUCT
CYTOSKELET-,CYTOSKELET
CYTOTOXICITY,CYTOTOX
CZECHOSLOV-,CZECHOSLOV
DAILY,DLY
DAIRYFARMING,DAIRYFARM
DAIRYING,DAIRY
DAIRYLAND,DAIRYL
DAIRYMAN,DAIRYM
DAKOTA,DAK
DALESMAN,DALESM
DALHOUSIE,DALHOUS
DANCER,DANC
DANCING,DANC
DANEMARK,DAN
DANGEROUS,DANGER
DANISH,DAN
DANSVILLE,DANSV
DAOISM,DAO
DARKNESS,DARKN
DARTMOUTH,DARTM
DATA-UPPER,DATA-UPP
DATABOOK,DATAB
DATAFILE,DATAF
DATAMAIL,DATAM
DATAMATIC,DATAMAT
DATAMATION,DATAMAT
DATAPOINT,DATAPT
DATAREVIEW,DATAREV
DATASYSTEM,DATASYST
DATEBOOK,DATEB
DAYTON,DAYT
DAYTONA BEACH,DAYT BEACH
DAYWORKS,DAYW
DEACTIVA-,DEACTIV
DEAF-,DEAF
DEAL-,DEAL
DEBENTURE,DEBENT
DEBTOR,DEBT
DÉCAD-,DÉCAD
DECANTER,DECANT
DECEMBER,DEC
DECENNIAL,DECENN
DECEPTION,DECEPT
DECERTIFICATION,DECERTIF
DECIMAL,DECIM
DECISÃO,DECIS
DECISION-,DECIS
DECLARA-,DECLAR
DECLASSIFI-,DECLASSIF
DECLINING,DECLIN
DECOMPOSITION,DECOMPOS
DECONTAMINAT-,DECONTAM
DECORATING,DECOR
DECORATION,DECOR
DECORATIVE,DECOR
DECORATOR-,DECOR
DECORPORAT-,DECORP
DEDICATED,DEDIC
DEDUCTION,DEDUC
DEEP-,DEEP
DEERBREEDER,DEERBREED
DEFENCE,DEF
DEFENDER,DEF
DEFENSE,DÉF
DEFESA,DEF
DEFICIENC-,DEFIC
DEFIN-,DEFIN
DEFRAY-,DEFRAY
DEGENERATI-,DEGENER
DEGRADATION,DEGRAD
DELAWARE-,DEL
DELICIA,DELIC
DELICIOUS,DELIC
DELIVER-,DELIV
DEMINERALI-,DEMINER
DEMOCRA-,DEMOCR
DENMARK-,DEN
DENOMINATOR,DENOMINAT
DENSIFICAT-,DENSIF
DENSITOMETR-,DENSITOM
DENTA-,DENT
DENTIST-,DENT
DENTOFACIAL,DENTOFAC
DENTURIST,DENT
DEPARTMENT-,DEP
DEPARTURE,DEPART
DEPENDENT,DEPEND
DEPLETION,DEPLET
DEPLOYMENT,DEPLOY
DEPOSIT,DEPOS
DEPOSITOR,DEPOS
DEPOSITORY,DEPOS
DEPRECIATION,DEPRECIAT
DEPRESS-,DÉPRESS
DERBYSHIRE,DERBYS
DEREGULATION,DEREGUL
DERELICT,DEREL
DERIVA-,DERIV
DERIVE-,DERIV
DERMATITIS,DERMAT
DERMATOPATHOLOG-,DERMATOPATHOL
DERMATOPHARMACOLOG-,DERMATOPHARMACOL
DERMATOTOXICOLOG-,DERMATOTOXIC
DERMATOTOXICOLOGY,DERMATOTOXICOL
DERMOSIFILOGRAF-,DERMOSIFILOGR
DESALT-,DESALT
DESBUROCRAT-,DESBUROCR
DESCRIB-,DESCR
DESCRIPTI-,DESCR
DESCRIPTOR,DESCR
DESEGREG-,DESEGREG
DESEMPLEO,DESEMPL
DESENVOLVIMENTO,DESENVOLV
DESIGN-,DES
DESIGNBOOK,DESIGNB
DESKBOOK,DESKB
DESKTOP,DESKT
DESPORTIVO,DESPORT
DESTRUCTI-,DESTR
DESTRUCTOR-,DESTR
DETAILED,DETAIL
DETALH-,DETALH
DETECT-,DETECT
DETENTION,DETEN
DETERGEN-,DETERG
DETERMINATION,DETERM
DETOXIFICAT-,DETOXIF
DEVELOP-,DEV
DEVIATION,DEVIAT
DEVONSHIRE,DEVON
DEVOTION,DEVOT
DEVOTIONAL,DEVOT
DIABETIC,DIABET
DIACYCLGLYCEROLS,DIACYCLGLYC
DIAETETI-,DIAET
DIAGRAM,DIAGR
DIALECTICAL,DIALECT
DIALECTRIC,DIALECTR
DIALÉTICA,DIALÉT
DIAMOND,DIAM
DIANETIC,DIANET
DIATHESIS,DIATH
DICIONÁRIO,DIC
DICTIONARY,DICT
DIDACTI-,DIDACT
DIDAKOMETRY,DIDAKOM
DIDATI-,DIDAT
DIELECTRIC-,DIELECTR
DIELECTROPHORE-,DIELECTROPHOR
DIETARY,DIET
DIETITIAN,DIETIT
DIFFEREN-,DIFFER
DIFFICULTY,DIFFIC
DIFFRACTION,DIFFR
DIFFRACTOMETER-,DIFFRACTOM
DIFUSÃO,DIFUS
DIGEST-,DIG
DIHYDROXYVITAMIN,DIHYDROXYVITAM
DILIGENCE,DILIG
DIMENS-,DIMENS
DIMENSION,DIMENS
DINNER,DINN
DINOFLAGELLAT-,DINOFLAG
DINOSAUR-,DINOSAUR
DIOCESAN,DIOC
DIPLOMACY,DIPL
DIPTERIST,DIPTER
DIRECÇ-,DIR
DIRECI-,DIR
DIRECTED,DIR
DIRECTI-,DIR
DIRECTOR-,DIR
DIRETOR-,DIR
DIRETRIZ,DIR
DISABILIT-,DISABIL
DISABLED,DISABL
DISACCHARIDE,DISACCH
DISADVANTAGE,DISADV
DISARM-,DISARM
DISBURSEMENT-,DISBURSE
DISCERN-,DISCERN
DISCHARGE,DISCH
DISCIPL-,DISCIPL
DISCIPLESHIP,DISCIPLESH
DISCIPLIN-,DISCIP
DISCLOSURE-,DISCL
DISCOGRAPHY,DISCOGR
DISCONTINUED,DISCONTIN
DISCOUNT-,DISCOUNT
DISCOVER-,DISCOV
DISCRET-,DISCRET
DISCUSSI-,DISCUSS
DISEASE-,DIS
DISEMIN-,DISEM
DISINFECT-,DISINFECT
DISMISSAL,DISMISS
DISORDER-,DISORD
DISPARITION,DISPAR
DISPENS-,DISPENS
DISPETCHERIZ-,DISPETCHER
DISPLAC-,DISPLAC
DISPLAY,DISP
DISPONIB-,DISPON
DISPONIVEL,DISPON
DISPOSAL,DISPOS
DISPOSIT-,DISPOS
DISRUPTION,DISRUPT
DISRUPTIVE,DISRUPT
DISSEMINATION,DISSEM
DISSENTING,DISSENT
DISSERTA-,DISS
DISTILL-,DISTILL
DISTINCTION,DISTINCT
DISTINGUISH-,DISTING
DISTRICT OF COLUMBIA,DC
DISTRICT-,DIST
DISTRITAL,DIST
DISTRITO,DIST
DISTURBANCE,DISTURB
DISTURBED,DISTURB
DISTÚRBIO,DISTÚRB
DIURETIC,DIURET
DIVERS-,DIVERS
DIVERSIFICATION,DIVERSIF
DIVEST-,DIVEST
DIVID-,DIVID
DIVINITY,DIVIN
DIVIS-,DIV
DOCKLANDS,DOCKL
DOCTOR-,DR
DOLLARWISE,DOLLARW
DOMESTI-,DOMEST
DOMINICAN-,DOMINIC
DOMINION,DOM
DOODL-,DOODL
DORKING,DORK
DOUBT-,DOUBT
DOUTORAMENTO,DOUTOR
DOWNLAND,DOWNL
DOWNSCAL-,DOWNSCAL
DOWNSTREAM,DOWNSTR
DOWNTOWN,DOWNT
DOZENAL,DOZEN
DRAFT-,DRAFT
DRAINER,DRAIN
DRAMATI-,DRAM
DRAMATURG-,DRAMATURG
DRAUGHT-,DRAUGHT
DRAUGHTING,DRAUGHT
DRAVIDIC,DRAVID
DRAW-,DRAW
DRAYTON,DRAYT
DREAMER,DREAM
DREAMWEAVER,DREAMWEAV
DREDGER,DREDG
DREDGING,DREDG
DRENAG-,DREN
DRESSING,DRESS
DRIFTING,DRIFT
DRILLED,DRILL
DRILLING,DRILL
DRINK-,DRINK
DRIVER,DRIV
DRIVING,DRIV
DROUGHT-STRICKEN,DROUGHT-STRICK
DRUGGIST-,DRUG
DRUGTHERAPY,DRUGTHER
DRUMHELLER,DRUMHELL
DRYCLEANER,DRYCLEAN
DRYER,DRY
DRYING,DRY
DUMBARTON,DUMBART
DUMFRIESSHIRE,DUMFRIES
DUMPING,DUMP
DUNEDIN,DUNED
DURABILITY,DURAB
DURAÇÃO,DURAÇ
DURATION,DURAT
DURBAN,DURB
DURHAM,DURH
DURING,DUR
DVERSIF-,DIVERSIF
DWELLING,DWELL
DYE-,DYE
DYESTUFF-,DYEST
DYNAMIC-,DYN
DYSENTERY,DYSENT
DYSFUNCTION,DYSFUNCT
DYSMORPHOLOG-,DYSMORPHOL
EARNER,EARN
EARNING-,EARN
EARTHQUAKE,EARTHQ
EASTERN,EAST
EASTLAND,EASTL
EATING,EAT
EBORENSES,EBORENS
ECCLÉSIAST-,ECCLES
ECHOCARDIOGRAPH-,ECHOCARDIOGR
ECLECTIC,ECLECT
ECLÊTIC-,ECLÊT
ECLIPSING,ECLIPS
ECOBIOLOGY,ECOBIOL
ECOGEOGRAPH-,ECOGEOGR
ECOHYDROLOG-,ECOHYDROL
ECOLOG-,ECOL
ECOMATERIA-,ECOMATER
ECONOM-,ECON
ECOPHYSIOLOG-,ECOPHYSIOL
ECOSYSTEM-,ECOSYST
ECOTEXTIL-,ECOTEXT
ECOTOXICOLOGY,ECOTOXICOL
ECOTURISM,ECOTUR
ECUATOR-,ECUAT
ECUMENICAL,ECUM
EDIÇÃO,ED
EDINBURGH,EDINB
EDIT-,ED
ÉDITORIAL,EDITOR
EDMONTON,EDMONT
EDUCA-,EDUC
EDUCOLOGY,EDUCOL
EDWARD,EDW
EFFECT-,EFF
EFFICIEN-,EFFIC
EFFLUENT,EFFL
EGANVILLE,EGANV
EGLINTON,EGLINT
EGREGIOUS,EGREG
EGYPTIAN,EGYPT
EGYPTOLOGY,EGYPTOL
EINDHOVEN,EINDH
EJECTOR,EJECT
ELASTICITY,ELAST
ELASTOHYDRODYNAMI-,ELASTOHYDRODYN
ELBOW,ELB
ELDERLY,ELDER
ELECTED,ELECT
ELECTIVE,ELECT
ELECTORAL,ELECT
ELECTRIC-,ELECTR
ELECTROACTIV-,ELECTROACT
ELECTROANALY-,ELECTROANAL
ELECTROANESTHES-,ELECTROANESTH
ELECTROCARDIOGRAPH-,ELECTROCARDIOGR
ELECTROCARDIOLOGY,ELECTROCARDIOL
ELECTROCHEM-,ELECTROCHEM
ELECTROCHEMOTHERAP-,ELECTROCHEMOTHER
ELECTROCHROMATOGRAPH-,ELECTROCHROMATOGR
ELECTROCOMPONENT,ELECTROCOMPON
ELECTRODEPOSITION,ELECTRODEPOS
ELECTRODEPOSITOR,ELECTRODEPOS
ELECTRODIAGNOSTIC,ELECTRODIAGN
ELECTRODYNAMI-,ELECTRODYN
ELECTROENCEPHALOGRAPH-,ELECTROENCEPHALOGR
ELECTROENERGET-,ELECTROENERG
ELECTROEXPLOSIVE-,ELECTROEXPLOS
ELECTROGENETHERAP-,ELECTROGENETHER
ELECTROKINETI-,ELECTROKINET
ELECTROLOG-,ELECTROL
ELECTROMAGNETI-,ELECTROMAGN
ELECTROMEDIC-,ÉLECTROMÉD
ELECTROMETALLURG-,ELECTROMETALL
ELECTROMIGRATI-,ELECTROMIGR
ELECTROMYOGRAPH-,ELECTROMYOGR
ELECTRONI-,ELECTRON
ELECTRONMICROSCOP-,ELECTRONMICROSC
ELECTROORGANI-,ELECTROORG
ELECTROPHORE-,ELECTROPHOR
ELECTROPHYSIOLOG-,ELECTROPHYSIOL
ELECTROPLAT-,ELECTROPLAT
ELECTROREFINING,ELECTROREFIN
ELECTROSTATIC-,ELECTROST
ELECTROTECHNI-,ELECTROTECH
ELECTROTECHNOLOG-,ELECTROTECHNOL
ELECTROTHERAP-,ELECTROTHER
ELECTROTHERMAL-,ELECTROTHERM
ELEITORAL,ELEIT
ÈLEMENT-,ELEM
ELETROANALIT-,ELETROANAL
ELIGIBLE,ELIG
ELIMIN-,ÉLIMIN
ELIZABETH-,ELIZAB
ELIZABETHAN,ELIZAB
ELMBRIDGE,ELMB
ELMWOOD,ELMW
ELUSIVE,ELUS
EMANCIP-,EMANCIP
EMBED-,EMBED
EMBLEM,EMBL
EMBRACING,EMBRAC
EMENTÁRIO,EMENTÁR
EMERGENCY,EMERG
EMERGING,EMERG
EMERYVILLE,EMERYV
EMIRAT-,EMIR
EMISSION-,EMISS
EMIT-,EMIT
EMOLUMENT,EMOL
EMOTION-,EMOT
EMPATHIC,EMPATH
EMPHASIS,EMPHAS
EMPIRE,EMP
EMPIRICAL,EMPIR
EMPLOYABILITY,EMPLOYAB
EMPLOYED,EMPLOY
EMPLOYEE,EMPL
EMPLOYER,EMPL
EMPLOYMENT,EMPLOY
EMPOWER-,EMPOWER
EMPOWERING,EMPOWER
EMPREENDIMENTO,EMPREENDIM
EMPREITEIRO-,EMPREIT
ENACTMENT,ENACTM
ENAMELIST,ENAMEL
ENAMELLING,ENAMEL
ENCAMP-,ENCAMP
ENCEPH-,ENCEPH
ENCLOSURE,ENCLOS
ENCOUNT-,ENCOUNT
ENCYCLOP-,ENCYCL
ENDANGERED,ENDANGER
ENDEAVOUR-,ENDEAV
ENDED,END
ENDING,END
ENDOCRINE,ENDOCR
ENDOCRINOLOG-,ENDOCRINOL
ENDOCRINOPATHY,ENDOCRINOPAT
ENDOCYTOBIOLOG-,ENDOCYTOBIOL
ENDODONTIC-,ENDOD
ENDOMETRIOSIS,ENDOMETR
ENDOSCOP-,ENDOSC
ENDOWMENT,ENDOW
ENERGISTIC,ENERG
ENERGOCHEMIC-,ENERGOCHEM
ENFERMAGEM,ENFERM
ENFERMEIRO,ENFERM
ENFORCEMENT,ENFORC
ENFORCER,ENFORC
ENFORCING,ENFORC
