Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Abbreviated Source Title,Document Type,Publication Stage,Source,EID
"Chanias S., Myers M.D., Hess T.","57193137274;7402143233;7101870441;","Digital transformation strategy making in pre-digital organizations: The case of a financial services provider",2019,"Journal of Strategic Information Systems","28","1",,"17","33",,310,"10.1016/j.jsis.2018.11.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057279298&doi=10.1016%2fj.jsis.2018.11.003&partnerID=40&md5=a7a2d7dd3167a1d5520a8f1f4c436f26","Institute for Information Systems and New Media, LMU Munich, Ludwigstr. 28, Munich, 80539, Germany; Department of Information Systems and Operations Management, University of Auckland Business School, Auckland, 1010, New Zealand","Chanias, S., Institute for Information Systems and New Media, LMU Munich, Ludwigstr. 28, Munich, 80539, Germany; Myers, M.D., Department of Information Systems and Operations Management, University of Auckland Business School, Auckland, 1010, New Zealand; Hess, T., Institute for Information Systems and New Media, LMU Munich, Ludwigstr. 28, Munich, 80539, Germany","Digital transformation strategy; Financial services; Interpretive case study; IS strategizing","Information systems; Management information systems; Digital transformation; Emergent strategies; Financial service; Financial services providers; Interpretive case studies; Strategic information systems; Strategy as practices; Traditional industry; Finance","J Strategic Inform Syst",Article,"Final",Scopus,2-s2.0-85057279298
"Whyte K.","36455230300;","Indigenous climate change studies: Indigenizing futures, decolonizing the anthropocene",2017,"English Language Notes","55","1-2",,"153","162",,308,"10.1215/00138282-55.1-2.153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052953199&doi=10.1215%2f00138282-55.1-2.153&partnerID=40&md5=443377c92465ef835267a24f920652c4","Michigan State University, United States","Whyte, K., Michigan State University, United States",,,"Engl. Lang. Notes",Article,"Final",Scopus,2-s2.0-85052953199
"Liébana-Cabanillas F., Marinković V., Kalinić Z.","55151541700;37115804500;54889020400;","A SEM-neural network approach for predicting antecedents of m-commerce acceptance",2017,"International Journal of Information Management","37","2",,"14","24",,307,"10.1016/j.ijinfomgt.2016.10.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006097250&doi=10.1016%2fj.ijinfomgt.2016.10.008&partnerID=40&md5=f69d3a5ed2f30e53dfef010665fc5e0f","Department of Marketing and Market Research, University of Granada, Campus Cartuja, Granada, Spain; Faculty of Economics, University of Kragujevac, Serbia","Liébana-Cabanillas, F., Department of Marketing and Market Research, University of Granada, Campus Cartuja, Granada, Spain; Marinković, V., Faculty of Economics, University of Kragujevac, Serbia; Kalinić, Z., Faculty of Economics, University of Kragujevac, Serbia","Behavioral intention; m-Commerce; m-Service; Neural network; Technology adoption","Marketing; Mobile telecommunication systems; Neural networks; Behavioral intention; M-commerce; M-services; Neural network model; Perceived ease of use; Perceived usefulness; Structural equation modeling; Technology adoption; Mobile commerce","Int J Inf Manage",Article,"Final",Scopus,2-s2.0-85006097250
"Haseeb M., Hussain H.I., Ślusarczyk B., Jermsittiparsert K.","56021476300;57189510265;36876928300;57214268798;","Industry 4.0: A solution towards technology challenges of sustainable business performance",2019,"Social Sciences","8","5","154","","",,306,"10.3390/socsci8050154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067287969&doi=10.3390%2fsocsci8050154&partnerID=40&md5=dbbf122b2c4e90fbabc833bc605a30b7","Taylor's Business School (TBS), Taylor's University Lakeside Campus, 1, Jalan Taylors, Subang Jaya, Selangor, 47500, Malaysia; Faculty of Economic and Management Sciences, North-West University, Vaal Triangle Campus, P.O. Box 1174, Vanderbijlpark, 1900, South Africa; The Management Faculty, Czestochowa University of Technology, Al. Armii Krajowej 19 B, Czestochowa, 42-201, Poland; Social Research Institute, Chulalongkorn University, Bangkok, 10330, Thailand","Haseeb, M., Taylor's Business School (TBS), Taylor's University Lakeside Campus, 1, Jalan Taylors, Subang Jaya, Selangor, 47500, Malaysia; Hussain, H.I., Taylor's Business School (TBS), Taylor's University Lakeside Campus, 1, Jalan Taylors, Subang Jaya, Selangor, 47500, Malaysia; Ślusarczyk, B., Faculty of Economic and Management Sciences, North-West University, Vaal Triangle Campus, P.O. Box 1174, Vanderbijlpark, 1900, South Africa, The Management Faculty, Czestochowa University of Technology, Al. Armii Krajowej 19 B, Czestochowa, 42-201, Poland; Jermsittiparsert, K., Social Research Institute, Chulalongkorn University, Bangkok, 10330, Thailand","Big data; Business performance; Industry 4.0; IoT; Smart factory; SMEs",,"Soc. Sci.",Article,"Final",Scopus,2-s2.0-85067287969
"Sharma S.K., Sharma M.","58263883500;57204049420;","Examining the role of trust and quality dimensions in the actual usage of mobile banking services: An empirical investigation",2019,"International Journal of Information Management","44",,,"65","75",,306,"10.1016/j.ijinfomgt.2018.09.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054227983&doi=10.1016%2fj.ijinfomgt.2018.09.013&partnerID=40&md5=c1f0667d037036d395b1b07ac6e68406","MIS Area, Indian Institute of Management, Tiruchirappalli, India; School of Management, Gautam Buddha University, Greater Noida, UP, India","Sharma, S.K., MIS Area, Indian Institute of Management, Tiruchirappalli, India; Sharma, M., School of Management, Gautam Buddha University, Greater Noida, UP, India","Actual usage; D&M IS model; M-banking; Mobile banking; Trust","Computer networks; Information management; Actual usage; Analytical approach; Empirical investigation; Information quality; M-banking; Mobile bankings; Structural equation modeling; Trust; Cellular telephone systems","Int J Inf Manage",Article,"Final",Scopus,2-s2.0-85054227983
"Podsakoff P.M., MacKenzie S.B., Podsakoff N.P.","6603818084;7102357879;8738236500;","Recommendations for Creating Better Concept Definitions in the Organizational, Behavioral, and Social Sciences",2016,"Organizational Research Methods","19","2",,"159","203",,308,"10.1177/1094428115624965","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960332337&doi=10.1177%2f1094428115624965&partnerID=40&md5=e987dd6d8279ab41dd25ab3627128a8d","Warrington College of Business Administration, University of Florida, Gainesville, FL, United States; Department of Marketing, Kelley School of Business, Indiana University, Bloomington, IN, United States; Department of Management and Organizations, Eller College of Management, University of Arizona, Tucson, AZ, United States","Podsakoff, P.M., Warrington College of Business Administration, University of Florida, Gainesville, FL, United States; MacKenzie, S.B., Department of Marketing, Kelley School of Business, Indiana University, Bloomington, IN, United States; Podsakoff, N.P., Department of Management and Organizations, Eller College of Management, University of Arizona, Tucson, AZ, United States","concept; construct; contamination; criteria for good conceptual definitions; deficiency; discriminant validity; family resemblance concept structure; necessary and sufficient concept structure",,"Org. Res. Methods",Article,"Final",Scopus,2-s2.0-84960332337
"Campiglio E.","55567676000;","Beyond carbon pricing: The role of banking and monetary policy in financing the transition to a low-carbon economy",2016,"Ecological Economics","121",,,"220","230",,305,"10.1016/j.ecolecon.2015.03.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952864525&doi=10.1016%2fj.ecolecon.2015.03.020&partnerID=40&md5=75927442eb37e662d0d954fee67a5c35","Grantham Research Institute, London School of Economics, Houghton Street, London, WC2A 2AE, United Kingdom","Campiglio, E., Grantham Research Institute, London School of Economics, Houghton Street, London, WC2A 2AE, United Kingdom","Banking; Credit creation; Green investment; Green macroprudential regulation; Low-carbon finance; Monetary policy","banking; carbon footprint; credit provision; environmental economics; financial system; market transition; monetary policy; pollution tax; sustainable development","Ecol. Econ.",Article,"Final",Scopus,2-s2.0-84952864525
"Beck R., Avital M., Rossi M., Thatcher J.B.","7403182380;6506180116;8865002300;7006547020;","Blockchain Technology in Business and Information Systems Research",2017,"Business and Information Systems Engineering","59","6",,"381","384",,303,"10.1007/s12599-017-0505-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042871307&doi=10.1007%2fs12599-017-0505-1&partnerID=40&md5=bac36af39c26c19326d66e07f52b0b7d","IT University of Copenhagen, Copenhagen, Denmark; Copenhagen Business School, Copenhagen, Denmark; Aalto University, Aalto, Finland; Clemson University, Clemson, United States","Beck, R., IT University of Copenhagen, Copenhagen, Denmark; Avital, M., Copenhagen Business School, Copenhagen, Denmark; Rossi, M., Aalto University, Aalto, Finland; Thatcher, J.B., Clemson University, Clemson, United States",,,"Busin. Info. Sys. Eng.",Editorial,"Final",Scopus,2-s2.0-85042871307
"Kwak S.G., Kim J.H.","56645812600;57865562800;","Central limit theorem: The cornerstone of modern statistics",2017,"Korean Journal of Anesthesiology","70","2",,"144","156",,303,"10.4097/kjae.2017.70.2.144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016440414&doi=10.4097%2fkjae.2017.70.2.144&partnerID=40&md5=ec37edc16e659c36e27841dbeee748fb","Department of Medical Statistics, School of Medicine, Catholic University of Daegu, Daegu, South Korea; Department of Anesthesiology and Pain Medicine, School of Medicine, Catholic University of Daegu, Daegu, South Korea","Kwak, S.G., Department of Medical Statistics, School of Medicine, Catholic University of Daegu, Daegu, South Korea; Kim, J.H., Department of Anesthesiology and Pain Medicine, School of Medicine, Catholic University of Daegu, Daegu, South Korea","Normal distribution; Probability; Statistical distributions; Statistics","binomial distribution; human; nonparametric test; normal distribution; population model; probability; random sample; sampling; scientist; Student t test; nonparametric test; review","Korean J. Anesth.",Article,"Final",Scopus,2-s2.0-85016440414
"Tapscott D., Tapscott A.","6603615683;57192644193;","How blockchain will change organizations",2017,"MIT Sloan Management Review","58","2",,"10","13",,302,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007009368&partnerID=40&md5=678c8a01b027e1cc58744398606e8797","Trent University, Peterborough, ON, Canada; Tapscott Group Inc., Toronto, Canada; Northwest Passage Ventures, Canada","Tapscott, D., Trent University, Peterborough, ON, Canada, Tapscott Group Inc., Toronto, Canada; Tapscott, A., Northwest Passage Ventures, Canada",,,"MIT Sloan Manage. Rev.",Article,"Final",Scopus,2-s2.0-85007009368
"Treleaven P., Brown R.G., Yang D.","7003613959;57195973039;57195971200;","Blockchain Technology in Finance",2017,"Computer","50","9","8048631","14","17",,300,"10.1109/MC.2017.3571047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030627247&doi=10.1109%2fMC.2017.3571047&partnerID=40&md5=08d72b26e9abd2a8d71bc150568bf106","University College London, United Kingdom; R3, United Kingdom; Blockseer, United Kingdom","Treleaven, P., University College London, United Kingdom; Brown, R.G., R3, United Kingdom; Yang, D., Blockseer, United Kingdom","Bitcoin; blockchain; cryptocurrency; cryptography; distributed-ledger technology; DLT; financial technology; smart contract","Bitcoin; Cryptography; Deep level transient spectroscopy; Electronic money; Finance; HTTP; Financial services industries; Blockchain","Computer",Article,"Final",Scopus,2-s2.0-85030627247
"Fanning K., Centers D.P.","57238560900;57237866000;","Blockchain and Its Coming Impact on Financial Services",2016,"Journal of Corporate Accounting and Finance","27","5",,"53","57",,300,"10.1002/jcaf.22179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019737145&doi=10.1002%2fjcaf.22179&partnerID=40&md5=4913d62399bc0dfc5319c43893501a13","Grand Valley State University, United States","Fanning, K., Grand Valley State University, United States; Centers, D.P., Grand Valley State University, United States",,,"J. corp. account. finance",Article,"Final",Scopus,2-s2.0-85019737145
"Gozgor G., Lau C.K.M., Lu Z.","36894574000;34978738900;57196475608;","Energy consumption and economic growth: New evidence from the OECD countries",2018,"Energy","153",,,"27","34",,296,"10.1016/j.energy.2018.03.158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045285055&doi=10.1016%2fj.energy.2018.03.158&partnerID=40&md5=d739897cc2f23b1bc56840088038ec61","Istanbul Medeniyet University, Istanbul, Turkey; Department of Accountancy, Finance, and Economics, University of Huddersfield, Huddersfield, United Kingdom; School of Economics, Tianjin University of Commerce, China","Gozgor, G., Istanbul Medeniyet University, Istanbul, Turkey; Lau, C.K.M., Department of Accountancy, Finance, and Economics, University of Huddersfield, Huddersfield, United Kingdom; Lu, Z., School of Economics, Tianjin University of Commerce, China","Economic complexity; Economic growth; Energy consumption; Energy-growth nexus; Panel ARDL model; Panel quantile regression","Economic and social effects; Energy utilization; International cooperation; Auto-regressive; Economic growths; Energy-growth nexus; Non-renewable energy; Organization for economic co-operation and development; Panel ARDL; Quantile regression; Renewable energy consumption; Economics; complexity; economic conditions; economic growth; energy use; nonrenewable resource; OECD; regression analysis; renewable resource","Energy",Article,"Final",Scopus,2-s2.0-85045285055
"Liu Y., Liu J., Zhou Y.","8395328700;57246277900;56716903800;","Spatio-temporal patterns of rural poverty in China and targeted poverty alleviation strategies",2017,"Journal of Rural Studies","52",,,"66","75",,292,"10.1016/j.jrurstud.2017.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017205702&doi=10.1016%2fj.jrurstud.2017.04.002&partnerID=40&md5=d6a2ed3aee1e706f5ecab6f3c976d9f5","Institute of Geographic Sciences and Natural Resources Research, Center for Assessment and Research on Targeted Poverty Alleviation, Chinese Academy of Sciences, Beijing, 100101, China; Key Laboratory of Regional Sustainable Development Modeling, Chinese Academy of Sciences, Beijing, 100101, China; College of Resources Science and Technology, Beijing Normal University, Beijing, 100875, China","Liu, Y., Institute of Geographic Sciences and Natural Resources Research, Center for Assessment and Research on Targeted Poverty Alleviation, Chinese Academy of Sciences, Beijing, 100101, China, Key Laboratory of Regional Sustainable Development Modeling, Chinese Academy of Sciences, Beijing, 100101, China, College of Resources Science and Technology, Beijing Normal University, Beijing, 100875, China; Liu, J., College of Resources Science and Technology, Beijing Normal University, Beijing, 100875, China; Zhou, Y., Institute of Geographic Sciences and Natural Resources Research, Center for Assessment and Research on Targeted Poverty Alleviation, Chinese Academy of Sciences, Beijing, 100101, China, Key Laboratory of Regional Sustainable Development Modeling, Chinese Academy of Sciences, Beijing, 100101, China, College of Resources Science and Technology, Beijing Normal University, Beijing, 100875, China","China; Exploratory spatial data analysis; Rural transformation development; Spatio-temporal pattern of rural poverty; Targeted poverty alleviation","poverty alleviation; poverty determinant; rural area; rural development; spatial data; spatiotemporal analysis; China","J. Rural Stud.",Article,"Final",Scopus,2-s2.0-85017205702
"Destek M.A., Aslan A.","56728572800;26654080500;","Renewable and non-renewable energy consumption and economic growth in emerging economies: Evidence from bootstrap panel causality",2017,"Renewable Energy","111",,,"757","763",,292,"10.1016/j.renene.2017.05.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018403947&doi=10.1016%2fj.renene.2017.05.008&partnerID=40&md5=003c760f016585e73e0f2d1e0cbf88cd","Department of Economics, Gaziantep University, Gaziantep, Turkey; Department of Economics, Nevsehir Haci Bektas Veli University, Nevsehir, Turkey","Destek, M.A., Department of Economics, Gaziantep University, Gaziantep, Turkey; Aslan, A., Department of Economics, Nevsehir Haci Bektas Veli University, Nevsehir, Turkey","Bootstrap panel causality; Economic growth; Emerging economies; Non-renewable energy consumption; Renewable energy consumption","Economic and social effects; Energy utilization; Economic growths; Emerging economies; Non-renewable energy; Panel causality; Renewable energy consumption; Economics; alternative energy; dependency; economic growth; energy planning; energy use; heterogeneity; panel data; performance assessment; Colombia; Egypt; Greece; Mexico [North America]; Peru; Philippines; Portugal; South Korea; Thailand","Renew. Energy",Article,"Final",Scopus,2-s2.0-85018403947
"Bartoletti M., Pompianu L.","9536042900;56875378900;","An Empirical analysis of smart contracts: Platforms, applications, and design patterns",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10323 LNCS",,,"494","509",,289,"10.1007/978-3-319-70278-0_31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035146170&doi=10.1007%2f978-3-319-70278-0_31&partnerID=40&md5=3c8fb1af0ae5965ad4416689d6939e43","Università degli Studi di Cagliari, Cagliari, Italy","Bartoletti, M., Università degli Studi di Cagliari, Cagliari, Italy; Pompianu, L., Università degli Studi di Cagliari, Cagliari, Italy",,"Cryptography; Electronic money; Finance; Thallium compounds; Design Patterns; Empirical analysis; Financial service; Programming patterns; Source codes; Trusted authorities; Chromium compounds","Lect. Notes Comput. Sci.",Conference Paper,"Final",Scopus,2-s2.0-85035146170
"Adhami S., Giudici G., Martinazzi S.","57202071527;22984678100;57202071977;","Why do businesses go crypto? An empirical analysis of initial coin offerings",2018,"Journal of Economics and Business","100",,,"64","75",,288,"10.1016/j.jeconbus.2018.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047101504&doi=10.1016%2fj.jeconbus.2018.04.001&partnerID=40&md5=3e8d5abc0a0e9412edf356d8e629419a","Bocconi University, Milan, Italy; Politecnico di Milano, School of Management, Milan, Italy","Adhami, S., Bocconi University, Milan, Italy; Giudici, G., Politecnico di Milano, School of Management, Milan, Italy; Martinazzi, S., Politecnico di Milano, School of Management, Milan, Italy","Blockchain; Cryptocurrencies; Fintech; Initial coin offerings",,"J. Econ. Bus.",Article,"Final",Scopus,2-s2.0-85047101504
"Reboredo J.C.","6507119948;","Green bond and financial markets: Co-movement, diversification and price spillover effects",2018,"Energy Economics","74",,,"38","50",,282,"10.1016/j.eneco.2018.05.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048487500&doi=10.1016%2fj.eneco.2018.05.030&partnerID=40&md5=bf6b94a655b943ff283bd6759d684a4e","Universidade de Santiago de Compostela, Departamento de Fundamentos del Análisis Económico, Avda, Xoán XXIII, s/n, Santiago de Compostela, 15782, Spain","Reboredo, J.C., Universidade de Santiago de Compostela, Departamento de Fundamentos del Análisis Económico, Avda, Xoán XXIII, s/n, Santiago de Compostela, 15782, Spain","Co-movements; Dependence; Financial markets; Green bonds; Price spillovers","Commerce; Costs; Financial markets; Power markets; Co movements; Dependence; Energy commodity markets; Energy markets; Fixed-income market; Price spillovers; Spillover effects; Treasury bonds; Investments; commodity market; energy market; financial market; spillover effect; stock market","Energy Econ.",Article,"Final",Scopus,2-s2.0-85048487500
"Kim Y., Peterson R.A.","56438114600;7403617001;","A Meta-analysis of Online Trust Relationships in E-commerce",2017,"Journal of Interactive Marketing","38",,,"44","54",,284,"10.1016/j.intmar.2017.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017408091&doi=10.1016%2fj.intmar.2017.01.001&partnerID=40&md5=ef3ca552e72cd13820cf2397fa9ea489","School of Business Administration, Ulsan National Institute of Science and Technology, 50 UNIST-gil, Eonyang-eup, Ulju-gun, Ulsan, 44919, South Korea; Department of Marketing, The University of Texas at Austin, Austin, TX  78712, United States","Kim, Y., School of Business Administration, Ulsan National Institute of Science and Technology, 50 UNIST-gil, Eonyang-eup, Ulju-gun, Ulsan, 44919, South Korea; Peterson, R.A., Department of Marketing, The University of Texas at Austin, Austin, TX  78712, United States","Consumer behavior; E-commerce; Meta-analysis; Moderator analysis; Online trust",,"J. Interact. Mark.",Article,"Final",Scopus,2-s2.0-85017408091
"Tang B., Chen Z., Hefferman G., Pei S., Wei T., He H., Yang Q.","55812679800;57109515700;56422245400;57196063817;35340198300;24802077000;24825880300;","Incorporating Intelligence in Fog Computing for Big Data Analysis in Smart Cities",2017,"IEEE Transactions on Industrial Informatics","13","5","7874167","2140","2150",,280,"10.1109/TII.2017.2679740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031673855&doi=10.1109%2fTII.2017.2679740&partnerID=40&md5=b97e7c3105613ae7d492bcac2d0e6913","Department of Computer Science, Hofstra University, Hempstead, NY  11549, United States; Department of Electrical, Computer and Biomedical Engineering, University of Rhode Island, Kingston, RI  02881, United States; Warren Alpert Medical School, Brown University, Providence, RI  02903, United States","Tang, B., Department of Computer Science, Hofstra University, Hempstead, NY  11549, United States; Chen, Z., Department of Electrical, Computer and Biomedical Engineering, University of Rhode Island, Kingston, RI  02881, United States; Hefferman, G., Warren Alpert Medical School, Brown University, Providence, RI  02903, United States; Pei, S., Department of Electrical, Computer and Biomedical Engineering, University of Rhode Island, Kingston, RI  02881, United States; Wei, T., Department of Electrical, Computer and Biomedical Engineering, University of Rhode Island, Kingston, RI  02881, United States; He, H., Department of Electrical, Computer and Biomedical Engineering, University of Rhode Island, Kingston, RI  02881, United States; Yang, Q., Department of Electrical, Computer and Biomedical Engineering, University of Rhode Island, Kingston, RI  02881, United States","Distributed computing; fiber optic sensor; fog computing; Internet of Things (IoT); smart cities; smart pipeline","Big data; Distributed computer systems; Fiber optic sensors; Fiber optics; Fog; Internet of things; Network architecture; Pipelines; Smart city; Computing architecture; Computing paradigm; Data representations; Data-intensive analysis; Internet of Things (IOT); Location awareness; Pipeline monitoring; Sequential learning algorithm; Computer architecture","IEEE Trans. Ind. Inf.",Article,"Final",Scopus,2-s2.0-85031673855
"Thanki S., Govindan K., Thakkar J.","56217876500;54986334000;12752722100;","An investigation on lean-green implementation practices in Indian SMEs using analytical hierarchy process (AHP) approach",2016,"Journal of Cleaner Production","135",,,"284","298",,281,"10.1016/j.jclepro.2016.06.105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990978820&doi=10.1016%2fj.jclepro.2016.06.105&partnerID=40&md5=afb8b560cf5c939151f6a322add7c3aa","Department of Mechanical Engineering, S.V.M. Institute of Technology, Bharuch, India; Center for Engineering Operations Management, Department of Technology and Innovation, University of Southern Denmark, Odense M, 5230, Denmark; Department of Industrial and Systems Engineering, Indian Institute of Technology KharagpurWest Bengal, India","Thanki, S., Department of Mechanical Engineering, S.V.M. Institute of Technology, Bharuch, India; Govindan, K., Center for Engineering Operations Management, Department of Technology and Innovation, University of Southern Denmark, Odense M, 5230, Denmark; Thakkar, J., Department of Industrial and Systems Engineering, Indian Institute of Technology KharagpurWest Bengal, India","AHP; Dynamic sensitivity analysis; Green manufacturing; Lean manufacturing; SMEs","Hierarchical systems; Lean production; Manufacture; Sustainable development; Analytical Hierarchy Process; Dynamic sensitivity analysis; Green manufacturing; Implementation practices; Industrial practitioners; Small and medium-size enterprise (SMEs); SMEs; Total productive maintenance; Sensitivity analysis","J. Clean. Prod.",Article,"Final",Scopus,2-s2.0-84990978820
"Qu T., Lei S.P., Wang Z.Z., Nie D.X., Chen X., Huang G.Q.","35590322600;56406888900;15754455600;56490063300;57225125252;7403425048;","IoT-based real-time production logistics synchronization system under smart cloud manufacturing",2016,"International Journal of Advanced Manufacturing Technology","84","1-4",,"147","164",,280,"10.1007/s00170-015-7220-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929120986&doi=10.1007%2fs00170-015-7220-1&partnerID=40&md5=ae0c1a45ee25157b084556c8ab8e0a0d","Guangdong CIMS Provincial Key Lab, Guangdong University of Technology, Guangzhou, 510006, China; The College of Science, South China Agricultural University, Guangzhou, 510642, China; Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Pokfulam Road, Hong Kong, Hong Kong","Qu, T., Guangdong CIMS Provincial Key Lab, Guangdong University of Technology, Guangzhou, 510006, China; Lei, S.P., Guangdong CIMS Provincial Key Lab, Guangdong University of Technology, Guangzhou, 510006, China; Wang, Z.Z., Guangdong CIMS Provincial Key Lab, Guangdong University of Technology, Guangzhou, 510006, China; Nie, D.X., Guangdong CIMS Provincial Key Lab, Guangdong University of Technology, Guangzhou, 510006, China, The College of Science, South China Agricultural University, Guangzhou, 510642, China; Chen, X., Guangdong CIMS Provincial Key Lab, Guangdong University of Technology, Guangzhou, 510006, China; Huang, G.Q., Department of Industrial and Manufacturing Systems Engineering, The University of Hong Kong, Pokfulam Road, Hong Kong, Hong Kong","Cloud manufacturing; Dynamic synchronization; Internet of things; Production logistic","Computer aided manufacturing; Manufacture; Synchronization; Cloud Manufacturing; Dynamic adaptability; Internet of Things (IOT); Manufacturing Execution System; Production logistics; Real-time dynamics; Real-time production; Synchronization systems; Internet of things","Int J Adv Manuf Technol",Article,"Final",Scopus,2-s2.0-84929120986
"Christensen C.M., McDonald R., Altman E.J., Palmer J.E.","7201582837;36653050200;57195716286;57203752056;","Disruptive Innovation: An Intellectual History and Directions for Future Research",2018,"Journal of Management Studies","55","7",,"1043","1078",,278,"10.1111/joms.12349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052788747&doi=10.1111%2fjoms.12349&partnerID=40&md5=3e98969670bdb7f71b7bb295a3a62a4b","Harvard Business School, United States; Manning School of Business, University of Massachusetts Lowell, United States","Christensen, C.M., Harvard Business School, United States; McDonald, R., Harvard Business School, United States; Altman, E.J., Manning School of Business, University of Massachusetts Lowell, United States; Palmer, J.E., Harvard Business School, United States","competitive strategy; disruptive innovation; innovation metrics; systemic industries; technology trajectories",,"J. Manage. Stud.",Article,"Final",Scopus,2-s2.0-85052788747
"Iyer R., Khwaja A.I., Luttmer E.F.P., Shue K.","7202042976;8976700000;57203746458;6603487394;","Screening peers softly: Inferring the quality of small borrowers",2016,"Management Science","62","6",,"1554","1577",,270,"10.1287/mnsc.2015.2181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975144623&doi=10.1287%2fmnsc.2015.2181&partnerID=40&md5=8c75f47a1ac3531c4775f42a7b759288","MIT Sloan School of Management, Massachusetts Institute of Technology, Cambridge, MA  02142, United States; Harvard Kennedy School, Harvard University, Cambridge, MA  02138, United States; National Bureau of Economic Research, Cambridge, MA  02138, United States; Dartmouth College, Hanover, NH  03755, United States; Booth School of Business, University of Chicago, Chicago, IL  60601, United States","Iyer, R., MIT Sloan School of Management, Massachusetts Institute of Technology, Cambridge, MA  02142, United States; Khwaja, A.I., Harvard Kennedy School, Harvard University, Cambridge, MA  02138, United States, National Bureau of Economic Research, Cambridge, MA  02138, United States; Luttmer, E.F.P., National Bureau of Economic Research, Cambridge, MA  02138, United States, Dartmouth College, Hanover, NH  03755, United States; Shue, K., National Bureau of Economic Research, Cambridge, MA  02138, United States, Booth School of Business, University of Chicago, Chicago, IL  60601, United States","Crowd sourcing; Market inference; Market-based lending; Peer-to-peer credit markets; Screening","Commerce; Screening; Credit markets; Credit scores; Financial information; Predictive power; Finance","Manage Sci",Article,"Final",Scopus,2-s2.0-84975144623
"Taylor L.","56453814600;","What is data justice? The case for connecting digital rights and freedoms globally",2017,"Big Data and Society","4","2",,"","",,269,"10.1177/2053951717736335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074202454&doi=10.1177%2f2053951717736335&partnerID=40&md5=9cc4401ea21cf60fecd62f5ef539ca9d","Tilburg Institute for Law, Technology and Society (TILT), Netherlands","Taylor, L., Tilburg Institute for Law, Technology and Society (TILT), Netherlands","development; discrimination; ethics; Privacy; representation; surveillance",,"Big Data Soc.",Article,"Final",Scopus,2-s2.0-85074202454
"Mi X., Tang M., Liao H., Shen W., Lev B.","57200183917;57200242963;55580964700;55599360800;24547227000;","The state-of-the-art survey on integrations and applications of the best worst method in decision making: Why, what, what for and what's next?",2019,"Omega (United Kingdom)","87",,,"205","225",,268,"10.1016/j.omega.2019.01.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061718369&doi=10.1016%2fj.omega.2019.01.009&partnerID=40&md5=bc900ac1354de1bc461725fe40b0cfd9","Business School, Sichuan University, Chengdu, Sichuan  610064, China; Decision Sciences Department, LeBow College of Business, Drexel University, Philadelphia, PA  19104, United States","Mi, X., Business School, Sichuan University, Chengdu, Sichuan  610064, China; Tang, M., Business School, Sichuan University, Chengdu, Sichuan  610064, China; Liao, H., Business School, Sichuan University, Chengdu, Sichuan  610064, China; Shen, W., Decision Sciences Department, LeBow College of Business, Drexel University, Philadelphia, PA  19104, United States; Lev, B., Decision Sciences Department, LeBow College of Business, Drexel University, Philadelphia, PA  19104, United States","Best worst method; Bibliometric analysis; Consistency; Multiple criteria decision making; Pairwise comparisons; Survey","article; decision making; infancy; international cooperation; publication; software; theoretical study","Omega",Article,"Final",Scopus,2-s2.0-85061718369
