authors,document_title,pub_year,publication_name,doi,issn,isbn,pubmed_id,eissn
Jiang H;Zhang J,Discovering systemic risks of China's Listed Banks by CoVaR approach in the digital economy era,2020,MATHEMATICS,10.3390/MATH8020180,22277390,,,
Wulandari D;Utomo SH;Narmaditya BS;Priambodo MP;Prayitno PH,"Digital farming and local economy: A study on nudira, greenhouse bandung",2020,INTERNATIONAL JOURNAL OF SCIENTIFIC AND TECHNOLOGY RESEARCH,,22778616,,,
Aminah;Soewito;Erisna N;Tarmizi R;Redaputri AP,The role of fintech and sharia banking industries in increasing economics inclusion in Indonesia,2020,INTERNATIONAL JOURNAL OF SCIENTIFIC AND TECHNOLOGY RESEARCH,,22778616,,,
Abdeldayem MM;Aldulaimi SH,Cryptocurrency in the gcc economy,2020,INTERNATIONAL JOURNAL OF SCIENTIFIC AND TECHNOLOGY RESEARCH,,22778616,,,
Mosteanu NR;Faccia A,"Digital systems and new challenges of financial management – fintech, XBRL, blockchain and cryptocurrencies",2020,QUALITY  ACCESS TO SUCCESS,,15822559,,,
Palmié M;Wincent J;Parida V;Caglar U,The evolution of the financial technology ecosystem: An introduction and agenda for future research on disruptive innovations in ecosystems,2020,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/J.TECHFORE.2019.119779,00401625,,,
Hernández-Nieves E;Hernández G;Gil-González A-B;Rodríguez-González S;Corchado JM,Fog computing architecture for personalized recommendation of banking products,2020,EXPERT SYSTEMS WITH APPLICATIONS,10.1016/J.ESWA.2019.112900,09574174,,,
Singh H;Jain G;Munjal A;Rakesh S,Blockchain technology in corporate governance: disrupting chain reaction or not?,2020,CORPORATE GOVERNANCE BINGLEY,10.1108/CG-07-2018-0261,14720701,,,
Baber H,Financial inclusion and FinTech: A comparative study of countries following Islamic finance and conventional finance,2020,QUALITATIVE RESEARCH IN FINANCIAL MARKETS,10.1108/QRFM-12-2018-0131,17554179,,,
Kohardinata C;Soewarno N;Tjahjadi B,Indonesian peer to peer lending (P2P) at entrant’s disruptive trajectory,2020,BUSINESS THEORY AND PRACTICE,10.3846/BTP.2020.11171,16480627,,,
Tjahjanto;Lestari IR;Meidiyustiani R;Imelda,"Implementation of technology, efficiency, knowledge, risk on trust level of fintech used in MSMEs in Tangerang City",2020,PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON IT COMMUNICATION AND TECHNOLOGY FOR BETTER LIFE ICT4BL 2019,10.5220/0008930401220125,,9789897584299,,
Mashkina NA;Agarkova VE,Application Of Innovative Technologies In The Activities Of Banks [Применение Инновационных Технологий В Деятельности Банков],2020,JOURNAL OF COMPUTING AND INFORMATION TECHNOLOGY,10.15350/24097616.2020.1.20,13301136,,,
Wang S;Tu X;Chai H;Sun Q;Wu J;Cai H;Wang F-Y,Blockchain-Powered Parallel FinTech Regulatory Sandbox Based on the ACP Approach,2020,IFACPAPERSONLINE,10.1016/J.IFACOL.2021.04.183,24058963,,,
Verstichel S;Blommaert T;Coppens S;Van Maele T;Haerick W;Ongenae F,Harmoney: Semantics for fintech,2020,IC3K 2020  PROCEEDINGS OF THE 12TH INTERNATIONAL JOINT CONFERENCE ON KNOWLEDGE DISCOVERY KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT,,,9789897584749,,
Odularu G,Strengthening the Future of US—Africa Trade and Business Relations,2020,ADVANCES IN AFRICAN ECONOMIC SOCIAL AND POLITICAL DEVELOPMENT,10.1007/978-3-030-36632-2_8,21987262,,,
Senyo PK;Karanasios S,How do fintech firms address financial inclusion?,2020,INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS ICIS 2020  MAKING DIGITAL INCLUSIVE BLENDING THE LOCAL AND THE GLOBAL,,,9781733632553,,
Wong MH;Lee LH;Hui P,GANStick: US stock forecasting with GAN-generated candlesticks,2020,INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS ICIS 2020  MAKING DIGITAL INCLUSIVE BLENDING THE LOCAL AND THE GLOBAL,,,9781733632553,,
Liu Z;Huang D;Huang K,Pretraining Financial Text Encoder Enhanced by Lifelong Learning,2020,IEEE ACCESS,10.1109/ACCESS.2020.3027622,21693536,,,
Ogege S;Boloupremo T,The influence of the evolvement of financial technology (Fintech) firms on the delivery of financial services,2020,FORUM SCIENTIAE OECONOMIA,10.23762/FSO_VOL8_NO4_5,23005947,,,
Halasik-Kozajda M;Olbrys M,Analiza ewolucji i struktury sektora fintech,2020,BANK I KREDYT,,01375520,,,
Mavlutova I;Volkova T;Natrins A;Spilbergs A;Arefjevs I;Miahkykh I,Financial sector transformation in the era of digitalization,2020,ESTUDIOS DE ECONOMIA APLICADA,10.25115/EEA.V38I4.4055,11333197,,,
Friedline T,Banking on a revolution: Why financial technology won’t save a broken system,2020,BANKING ON A REVOLUTION WHY FINANCIAL TECHNOLOGY WONT SAVE A BROKEN SYSTEM,10.1093/OSO/9780190944131.001.0001,,9780190944131,,
Welsch G;Dürr A;Thiesse F,A consolidated business model canvas of blockchain- based fintech startups: Evidence from initial coin offerings,2020,PROCEEDINGS OF THE 15TH INTERNATIONAL CONFERENCE ON BUSINESS INFORMATION SYSTEMS 2020 DEVELOPMENTS OPPORTUNITIES AND CHALLENGES OF DIGITIZATION WIRTSCHAFTSINFORMATIK 2020,10.30844/WI_2020_B5,,9783955453350,,
Santoso W;Sitorus PM;Batunanggar S;Krisanti FT;Anggadwita G;Alamsyah A,Talent mapping: a strategic approach toward digitalization initiatives in the banking and financial technology (FinTech) industry in Indonesia,2020,JOURNAL OF SCIENCE AND TECHNOLOGY POLICY MANAGEMENT,10.1108/JSTPM-04-2020-0075,20534620,,,
Hassan MK;Rabbani MR;Mohd Ali MA,Challenges for the islamic finance and banking in post COVID era and the role of Fintech,2020,JOURNAL OF ECONOMIC COOPERATION AND DEVELOPMENT,,13087800,,,
Alshater MM;Othman AHA,Financial Technology Developments and their Effect on Islamic Finance Education,2020,JOURNAL OF KING ABDULAZIZ UNIVERSITY ISLAMIC ECONOMICS,10.4197/ISLEC.33-3.9,73831018,,,
Wexler MN;Oberlander J,Robo-advisors (RAs): the programmed self-service market for professional advice,2020,JOURNAL OF SERVICE THEORY AND PRACTICE,10.1108/JSTP-07-2020-0153,20556225,,,
Utami AF;Ekaputra IA,A paradigm shift in financial landscape: encouraging collaboration and innovation among Indonesian FinTech lending players,2020,JOURNAL OF SCIENCE AND TECHNOLOGY POLICY MANAGEMENT,10.1108/JSTPM-03-2020-0064,20534620,,,
Machkour B;Abriane A,Industry 4.0 and its implications for the financial sector,2020,PROCEDIA COMPUTER SCIENCE,10.1016/J.PROCS.2020.10.068,18770509,,,
Arefjevs I;Spilbergs A;Natrins A;Verdenhofs A;Mavlutova I;Volkova T,Financial sector evolution and competencies development in the context of information and communication technologies,2020,RESEARCH FOR RURAL DEVELOPMENT,10.22616/RRD.26.2020.038,16914031,,,
Petrov P;Ivanov S;Aleksandrova Y;Dimitrov GP;Ovacıklı AK,Opportunities to use virtual tools in start-up fintech companies,2020,INTERNATIONAL MULTIDISCIPLINARY SCIENTIFIC GEOCONFERENCE SURVEYING GEOLOGY AND MINING ECOLOGY MANAGEMENT SGEM,10.5593/SGEM2020/2.1/S07.032,13142704,9786197603040; 9786197603057; 9786197603064; 9786197603071; 9786197603088; 9786197603095; 9786197603101; 9786197603118; 9786197603125,,
Lakhe P;kulkarni M,"FinTech Regulations: Need, Superpowers and Bibliometric Analysis",2020,LIBRARY PHILOSOPHY AND PRACTICE,,15220222,,,
Li Y;Li Z;Su F;Wang Q;Wang Q,"Fintech Penetration, Financial Literacy, and Financial Decision-Making: Empirical Analysis Based on Tar",2020,COMPLEXITY,10.1155/2020/6696312,10762787,,,
Buchanan M,Compliance in a hyper-growth fintech payments business: A brief guide to support success,2020,JOURNAL OF PAYMENTS STRATEGY AND SYSTEMS,,17501806,,,
Bär F;Mortimer-Schutts I,Innovation in open banking: Lessons from the recent wave of payment institutions that have been authorised to provide payment initiation and account information services,2020,JOURNAL OF PAYMENTS STRATEGY AND SYSTEMS,,17501806,,,
Krishna B;Krishnan S,Explaining Variation in Adoption of FinTech Products and Services Among Citizens: A Multilevel Model,2020,IFIP ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY,10.1007/978-3-030-64849-7_48,18684238,9783030648480,,
Suryanto S;Rusdin R;Dai RM,"FINTECH AS A CATALYST FOR GROWTH OF MICRO, SMALL AND MEDIUM ENTERPRISES IN INDONESIA",2020,ACADEMY OF STRATEGIC MANAGEMENT JOURNAL,,15441458,,,
He Z;Liu Z;Wu H;Gu X;Zhao Y;Yue X,Research on the Impact of Green Finance and Fintech in Smart City,2020,COMPLEXITY,10.1155/2020/6673386,10762787,,,
Venkatachalam P,Influence of FinTech Companies on Banking Landscape an Exploratory Study in Indian Context,2020,IFIP ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY,10.1007/978-3-030-64849-7_46,18684238,9783030648480,,
Puvvala A;McLoughlin S;McLafferty B;Yehorova Y;Donnellan B,The Evolution of Causal Mechanisms that Drive the Diffusion of Platforms: Investigating Corrective Mechanisms,2020,IFIP ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY,10.1007/978-3-030-64849-7_51,18684238,9783030648480,,
Ozili PK,Banking sector earnings management using loan loss provisions in the Fintech era,2020,INTERNATIONAL JOURNAL OF MANAGERIAL FINANCE,10.1108/IJMF-07-2020-0369,17439132,,,
Najaf K;Schinckus C;Chee Yoong L,VaR and market value of Fintech companies: an analysis and evidence from global data,2020,MANAGERIAL FINANCE,10.1108/MF-04-2020-0169,03074358,,,
Harris WL;Wonglimpiyarat J,Dynamics of crowdfunding and FinTech challenges,2020,INTERNATIONAL JOURNAL OF BUSINESS INNOVATION AND RESEARCH,10.1504/IJBIR.2020.111762,17510252,,,
Xia H;Liu J;Zhang ZJ,Identifying Fintech risk through machine learning: analyzing the Q&A text of an online loan investment platform,2020,ANNALS OF OPERATIONS RESEARCH,10.1007/S10479-020-03842-Y,02545330,,,
Zou W;Vance A;Yan J,The differential role of alternative data in SME-Focused fintech lending,2020,26TH AMERICAS CONFERENCE ON INFORMATION SYSTEMS AMCIS 2020,,,9781733632546,,
Zheng X,Trading the cloud: A game-theoretic approach,2020,26TH AMERICAS CONFERENCE ON INFORMATION SYSTEMS AMCIS 2020,,,9781733632546,,
Torno A;Schildmann S,"What Do Robo-Advisors Recommend? - An Analysis of Portfolio Structure, Performance and Risk",2020,LECTURE NOTES IN BUSINESS INFORMATION PROCESSING,10.1007/978-3-030-64466-6_6,18651348,9783030644659,,
Bankamp S;Muntermann J,Portfolio Rankings on Social Trading Platforms in Uncertain Times,2020,LECTURE NOTES IN BUSINESS INFORMATION PROCESSING,10.1007/978-3-030-64466-6_5,18651348,9783030644659,,
Selim M,The effects of eliminating Riba in foreign currency transactions by introducing global FinTech network,2020,INTERNATIONAL JOURNAL OF ISLAMIC AND MIDDLE EASTERN FINANCE AND MANAGEMENT,10.1108/IMEFM-01-2020-0035,17538394,,,
Fadhul S;Hamdan A,"The role of ""fintech"" on banking performance",2020,PROCEEDINGS OF THE EUROPEAN CONFERENCE ON INNOVATION AND ENTREPRENEURSHIP ECIE,10.34190/EIE.20.230,20491050,9781912764679,,
Battanta L;Giorgino M;Grassi L;Lanfranchi D,Regtech: Case studies of cooperation with banks in italy,2020,PROCEEDINGS OF THE EUROPEAN CONFERENCE ON INNOVATION AND ENTREPRENEURSHIP ECIE,10.34190/EIE.20.143,20491050,9781912764679,,
Ji Y;Gu W;Chen F;Xiao X;Sun J;Liu S;He J;Li Y;Zhang K;Mei F;Wu F,SEBF: A single-chain based extension model of blockchain for fintech,2020,IJCAI INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE,,10450823,9780999241165,,
Goel S;Mittal H,"Economic, legal and financial perspectives on cryptocurrencies: A review on cryptocurrency growth, opportunities and future prospects",2020,WORLD REVIEW OF ENTREPRENEURSHIP MANAGEMENT AND SUSTAINABLE DEVELOPMENT,10.1504/WREMSD.2020.111391,17460573,,,
PURNAMASARI P;PRAMONO IP;HARYATININGSIH R;ISMAIL SA;SHAFIE R,"Technology Acceptance Model of Financial Technology in Micro, Small, and Medium Enterprises (MSME) in Indonesia",2020,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,10.13106/JAFEB.2020.VOL7.NO10.981,22884637,,,
Xie P;Chen H;Hu YJ,Signal or Noise in Social Media Discussions: The Role of Network Cohesion in Predicting the Bitcoin Market,2020,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,10.1080/07421222.2020.1831762,07421222,,,
Prieto-Torres DR;Galpin I,A Virtual Wallet Product Recommender System Based on Collaborative Filtering,2020,COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,10.1007/978-3-030-61702-8_16,18650929,9783030617011,,
Belozyorov S;Sokolovska O;Kim YS,Fintech as a precondition for transformations on global financial markets,2020,FORESIGHT AND STI GOVERNANCE,10.17323/2500-2597.2020.2.23.35,25002597,,,
Senyo PK;Osabutey ELC;Seny Kan KA,Pathways to improving financial inclusion through mobile money: a fuzzy set qualitative comparative analysis,2020,INFORMATION TECHNOLOGY AND PEOPLE,10.1108/ITP-06-2020-0418,09593845,,,
Candra S;Nuruttarwiyah F;Hapsari IH,Revisited the Technology Acceptance Model with E-Trust for Peer-to-Peer Lending in Indonesia (Perspective from Fintech Users),2020,INTERNATIONAL JOURNAL OF TECHNOLOGY,10.14716/IJTECH.V11I4.4032,20869614,,,
Kolokas D;Vanacker T;Veredas D;Zahra SA,"Venture Capital, Credit, and FinTech Start-Up Formation: A Cross-Country Study",2020,ENTREPRENEURSHIP THEORY AND PRACTICE,10.1177/1042258720972652,10422587,,,
Haupert T,The Racial Landscape of Fintech Mortgage Lending,2020,HOUSING POLICY DEBATE,10.1080/10511482.2020.1825010,10511482,,,
Szalay Z;Vértesy L;Novák Z,Strengthening the Small and Medium Enterprise Sector by Switching to Bills and Notes,2020,PUBLIC FINANCE QUARTERLY,10.35551/PFQ_2020_3_6,0031496X,,,
Leong C;Tan FTC;Tan B;Faisal F,The emancipatory potential of digital entrepreneurship: A study of financial technology-driven inclusive growth,2020,INFORMATION AND MANAGEMENT,10.1016/J.IM.2020.103384,03787206,,,
Gąsiorkiewicz L;Monkiewicz J;Monkiewicz M,Technology-Driven Innovations in Financial Services: The Rise of Alternative Finance,2020,FOUNDATIONS OF MANAGEMENT,10.2478/FMAN-2020-0011,20807279,,,
Jinasena DN;Spanaki K;Papadopoulos T;Balta ME,Success and Failure Retrospectives of FinTech Projects: A Case Study Approach,2020,INFORMATION SYSTEMS FRONTIERS,10.1007/S10796-020-10079-4,13873326,,,
Kouvelis P;Dong L;Turcic D,Advances in supply chain finance and fintech innovations book overview,2020,FOUNDATIONS AND TRENDS IN TECHNOLOGY INFORMATION AND OPERATIONS MANAGEMENT,10.1561/0200000096,15719545,,,
Li L;Zhao T;Xie Y;Feng Y,Interpretable Machine Learning Based on Integration of NLP and Psychology in Peer-to-Peer Lending Risk Evaluation,2020,LECTURE NOTES IN COMPUTER SCIENCE INCLUDING SUBSERIES LECTURE NOTES IN ARTIFICIAL INTELLIGENCE AND LECTURE NOTES IN BIOINFORMATICS,10.1007/978-3-030-60457-8_35,03029743,9783030604561,,
Kraus NM;Kraus KM;Andrusiak NO,Digital cubic space as a new economic augmented reality,2020,SCIENCE AND INNOVATION,10.15407/SCINE16.03.092,24099066,,,
Yoon J;Joung S,Reuse intention of internet primary bank with it convergence: An extended technology acceptance model study,2020,JOURNAL OF SYSTEM AND MANAGEMENT SCIENCES,10.33168/JSMS.2020.0311,18166075,,,
Kouame E;Kedir AM,Disruptive financial technology (fintech) and entrepreneurship in burkina faso,2020,INTERNATIONAL POLITICAL ECONOMY SERIES,10.1007/978-3-030-40647-9_8,26622483,,,
Saiedi E;Mohammadi A;Broström A;Shafi K,Distrust in Banks and Fintech Participation: The Case of Peer-to-Peer Lending,2020,ENTREPRENEURSHIP THEORY AND PRACTICE,10.1177/1042258720958020,10422587,,,
Bellomarini L;Laurenza E;Sallinger E,Rule-based Anti-Money Laundering in Financial Intelligence Units: Experience and Vision∗,2020,CEUR WORKSHOP PROCEEDINGS,,16130073,,,
Al-Dmour H;Asfour F;Al-Dmour R;Al-Dmour A,The effect of marketing knowledge management on bank performance through fintech innovations: A survey study of jordanian commercial banks,2020,INTERDISCIPLINARY JOURNAL OF INFORMATION KNOWLEDGE AND MANAGEMENT,10.28945/4619,15551229,,,
Bogdanov A;Degtyarev A;Uteshev A;Shchegoleva N;Khvatov V;Zvyagintsev M,A dlt based innovative investment platform,2020,LECTURE NOTES IN COMPUTER SCIENCE INCLUDING SUBSERIES LECTURE NOTES IN ARTIFICIAL INTELLIGENCE AND LECTURE NOTES IN BIOINFORMATICS,10.1007/978-3-030-58808-3_7,03029743,9783030588076,,
Salameh A;Bass JM,Spotify tailoring for architectural governance,2020,LECTURE NOTES IN BUSINESS INFORMATION PROCESSING,10.1007/978-3-030-58858-8_24,18651348,9783030588571,,
Zhang A;Wang S;Liu B;Liu P,How fintech impacts pre- and post-loan risk in Chinese commercial banks,2020,INTERNATIONAL JOURNAL OF FINANCE AND ECONOMICS,10.1002/IJFE.2284,10769307,,,
Borgogno O;Colangelo G,The data sharing paradox: BigTechs in finance,2020,EUROPEAN COMPETITION JOURNAL,10.1080/17441056.2020.1812285,17441056,,,
Kim Lien NT;Doan TT;Bui TN,Fintech and banking: Evidence from Vietnam,2020,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,10.13106/JAFEB.2020.VOL7.NO9.419,22884637,,,
Ionescu L,"Digital data aggregation, analysis, and infrastructures in fintech operations",2020,REVIEW OF CONTEMPORARY PHILOSOPHY,10.22381/RCP19202010,18415261,,,
Graham A,A fintech founder’s perspective on the future of financial services,2020,THE TECHNOLOGICAL REVOLUTION IN FINANCIAL SERVICES HOW BANKS FINTECHS AND CUSTOMERS WIN TOGETHER,,,9781487533137; 9781487506000,,
Frost J,The economic forces driving fintech adoption across countries,2020,THE TECHNOLOGICAL REVOLUTION IN FINANCIAL SERVICES HOW BANKS FINTECHS AND CUSTOMERS WIN TOGETHER,,,9781487533137; 9781487506000,,
Babajide AA;Oluwaseye EO;Lawal AI;Isibor AA,"Financial technology, financial inclusion and msmes financing in the south-west of Nigeria",2020,ACADEMY OF ENTREPRENEURSHIP JOURNAL,,10879595,,,
Sharifi S;McLaughlin P;Amyot D;Mylopoulos J,Goal modeling for FinTech certification,2020,CEUR WORKSHOP PROCEEDINGS,,16130073,,,
Kshetri N,China's emergence as the global fintech capital and implications for Southeast Asia,2020,ASIA POLICY,10.1353/ASP.2020.0004,15590968,,,
Asmarani SC;Wijaya C,Effects of fintech on stock return: Evidence from retail banks listed in Indonesia stock exchange,2020,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,10.13106/JAFEB.2020.VOL7.NO7.095,22884637,,,
Ilinitchi CP,Fintech revolution in transition countries – remittances and mobile money,2020,TRANSITION STUDIES REVIEW,10.14665/1614-4007-26-007,16144007,,,
Yuhelson;Karya W;Jaya E,Legal protection regulations for lenders in the implementation of fintech based on peer to peer (P2P) loans,2020,JOURNAL OF CRITICAL REVIEWS,10.31838/JCR.07.08.310,23945125,,,
Liu Z;Ma Q,Portfolio-Based Ranking of Traders for Social Trading,2020,IEEE ACCESS,10.1109/ACCESS.2020.3011713,21693536,,,
Jenweeranon P,Thai regulatory approaches to technology-driven innovation in financial services,2020,PERSPECTIVES IN LAW BUSINESS AND INNOVATION,10.1007/978-981-15-5819-1_6,25201875,,,
Fenwick M;Vermeulen EPM,"Fintech, overcoming friction and new models of financial regulation",2020,PERSPECTIVES IN LAW BUSINESS AND INNOVATION,10.1007/978-981-15-5819-1_11,25201875,,,
Liao F,Does china need the regulatory sandbox? A preliminary analysis of its desirability as an appropriate mechanism for regulating fintech in China,2020,PERSPECTIVES IN LAW BUSINESS AND INNOVATION,10.1007/978-981-15-5819-1_5,25201875,,,
Van Uytsel S,Horizontal shareholding among fintech firms in Asia: A preliminary competition law assessment,2020,PERSPECTIVES IN LAW BUSINESS AND INNOVATION,10.1007/978-981-15-5819-1_10,25201875,,,
Tokutsu A,The ‘independence day’ of payments law? Fintech’s impact on financial regulation in Japan,2020,PERSPECTIVES IN LAW BUSINESS AND INNOVATION,10.1007/978-981-15-5819-1_8,25201875,,,
Chen C,Rethinking the regulatory sandbox for financial innovation: An assessment of the UK and Singapore,2020,PERSPECTIVES IN LAW BUSINESS AND INNOVATION,10.1007/978-981-15-5819-1_2,25201875,,,
Jung S,Fintech law and practice: A Korean perspective,2020,PERSPECTIVES IN LAW BUSINESS AND INNOVATION,10.1007/978-981-15-5819-1_4,25201875,,,
Fenwick M;Van Uytsel S;Ying B,Regulating fintech in asia: An introduction,2020,PERSPECTIVES IN LAW BUSINESS AND INNOVATION,10.1007/978-981-15-5819-1_1,25201875,,,
Nguyen HY,Fintech in vietnam and its regulatory approach,2020,PERSPECTIVES IN LAW BUSINESS AND INNOVATION,10.1007/978-981-15-5819-1_7,25201875,,,
Donald DC,Hong Kong’s fintech automation: Economic benefits and social risks,2020,PERSPECTIVES IN LAW BUSINESS AND INNOVATION,10.1007/978-981-15-5819-1_3,25201875,,,
Davydova ML;Makarov VO,Experimental legal regimes (Regulatory Sandboxes): Theoretical problems and implementation prospects in modern Russia,2020,LECTURE NOTES IN NETWORKS AND SYSTEMS,10.1007/978-3-030-45913-0_68,23673370,,,
Horn M;Oehler A;Wendt S,FinTech for Consumers and Retail Investors: Opportunities and Risks of Digital Payment and Investment Services,2020,PALGRAVE STUDIES IN SUSTAINABLE BUSINESS IN ASSOCIATION WITH FUTURE EARTH,10.1007/978-3-030-38858-4_14,26621320,,,
Iqbal M;Matulevičius R,Managing security risks in post-trade matching and confirmation using cordapp,2020,COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,10.1007/978-3-030-57672-1_24,18650929,9783030576714,,
Gächter I;Gächter M,Success factors in ICOs: Individual firm characteristics or lucky timing?,2020,FINANCE RESEARCH LETTERS,10.1016/J.FRL.2020.101715,15446123,,,
Nguyen DD;Dinh HC;Van Nguyen D,Promotion of fintech application for the modernization of banking-finance system in Vietnam,2020,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,10.13106/JAFEB.2020.VOL7.NO6.127,22884637,,,
Rivas AG;Heng C-S,Financial awareness: Developing an extension of financial literacy for low-income populations utilizing FinTech,2020,PROCEEDINGS OF THE 24TH PACIFIC ASIA CONFERENCE ON INFORMATION SYSTEMS INFORMATION SYSTEMS IS FOR THE FUTURE PACIS 2020,,,,,
Fan W;Lin Y;Fan W,"Betting on the horse, the jockey or the tips? Evidence from blockchain-based fundraising via initial coin offerings",2020,PROCEEDINGS OF THE 24TH PACIFIC ASIA CONFERENCE ON INFORMATION SYSTEMS INFORMATION SYSTEMS IS FOR THE FUTURE PACIS 2020,,,,,
Awaworyi Churchill S,Moving from the millennium to the sustainable development goals: Lessons and recommendations,2020,MOVING FROM THE MILLENNIUM TO THE SUSTAINABLE DEVELOPMENT GOALS LESSONS AND RECOMMENDATIONS,10.1007/978-981-15-1556-9,,9789811515569; 9789811515552,,
Stezhko N;Belinska Y;Ratushna Y,Globalization trends for financial innovations development,2020,PERIODICALS OF ENGINEERING AND NATURAL SCIENCES,10.21533/PEN.V8I3.1469.G628,23034521,,,
Ferrari V,Privacy in financial information networks: Directions for the development of legal privacy-enhancing financial technologies,2020,ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING,10.1007/978-3-030-52535-4_17,21945357,9783030525347,,
Veilleux M;Sénécal S;Demolin B;Bouvier F;Di Fabio M-L;Coursaris C;Léger P-M,Visualizing a user’s cognitive and emotional journeys: A fintech case,2020,LECTURE NOTES IN COMPUTER SCIENCE INCLUDING SUBSERIES LECTURE NOTES IN ARTIFICIAL INTELLIGENCE AND LECTURE NOTES IN BIOINFORMATICS,10.1007/978-3-030-49713-2_38,03029743,9783030497125,,
Ponza A;Scannapieco S;Simone A;Tomazzoli C,Envisioning the digital transformation of financial documents: A blockchain-based bill of exchange,2020,ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING,10.1007/978-3-030-52535-4_9,21945357,9783030525347,,
Saraswati BD;Maski G;Kaluge D;Sakti RK,The effect of financial inclusion and financial technology on effectiveness of the Indonesian monetary policy,2020,BUSINESS THEORY AND PRACTICE,10.3846/BTP.2020.10396,16480627,,,
Van Biljon P;Lajoux AR,Making money: The history and future of society’s most important technology,2020,MAKING MONEY THE HISTORY AND FUTURE OF SOCIETYS MOST IMPORTANT TECHNOLOGY,10.1515/9781547401116,,9781547401116; 9781547417230,,
Caglayan M;Talavera O;Xiong L;Zhang J,What does not kill us makes us stronger: the story of repetitive consumer loan applications,2020,EUROPEAN JOURNAL OF FINANCE,10.1080/1351847X.2020.1793792,1351847X,,,
Cassidy J;Cheng MHA;Le T;Huang E,A toss of a (bit)coin: The uncertain nature of the legal status of cryptocurrencies,2020,EJOURNAL OF TAX RESEARCH,,14482398,,,
Tharp DT,Potential Consumer Harm Due to Regulation on Financial Advisory Communication in the FinTech Age,2020,JOURNAL OF FINANCIAL COUNSELING AND PLANNING,10.1891/JFCP-18-00041,10523073,,,
Li B;Hanna SD;Kim KT,Who Uses Mobile Payments: Fintech Potential in Users and Non-Users,2020,JOURNAL OF FINANCIAL COUNSELING AND PLANNING,10.1891/JFCP-18-00083,10523073,,,
Yoon C;Lim D,An empirical study on factors affecting customers’ acceptance of internet-only banks in Korea,2020,COGENT BUSINESS AND MANAGEMENT,10.1080/23311975.2020.1792259,23311975,,,
Fan L;Chatterjee S,The Utilization of Robo-Advisors by Individual Investors: An Analysis Using Diffusion of Innovation and Information Search Frameworks,2020,JOURNAL OF FINANCIAL COUNSELING AND PLANNING,10.1891/JFCP-18-00078,10523073,,,
Yeh J-Y;Chen C-H,A machine learning approach to predict the success of crowdfunding fintech project,2020,JOURNAL OF ENTERPRISE INFORMATION MANAGEMENT,10.1108/JEIM-01-2019-0017,17410398,,,
Sopacua IO;Yandra FP,Changes in risk-taking behavior of financial system subjects (household) in the digital era,2020,JOURNAL OF CRITICAL REVIEWS,10.31838/JCR.07.16.26,23945125,,,
Fenwick M;Vermeulen EPM,Banking and regulatory responses to fintech revisited— Building the sustainable financial service ‘ecosystems’ of tomorrow,2020,SINGAPORE JOURNAL OF LEGAL STUDIES,,02182173,,,
Wu HW;Wang S-Y,Exploring the impact variables of mobile device users’ continuous use of mobile payment with a commitment to trust,2020,COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,10.1007/978-981-15-6113-9_68,18650929,9789811561122,,
Demir A;Pesqué-Cela V;Altunbas Y;Murinde V,"Fintech, financial inclusion and income inequality: a quantile regression approach",2020,EUROPEAN JOURNAL OF FINANCE,10.1080/1351847X.2020.1772335,1351847X,,,
Knaack P;Gruin J,From shadow banking to digital financial inclusion: China’s rise and the politics of epistemic contestation within the financial stability board,2020,REVIEW OF INTERNATIONAL POLITICAL ECONOMY,10.1080/09692290.2020.1772849,09692290,,,
Cojoianu TF;Clark GL;Hoepner AGF;Pažitka V;Wójcik D,Fin vs. tech: are trust and knowledge creation key ingredients in fintech start-up emergence and financing?,2020,SMALL BUSINESS ECONOMICS,10.1007/S11187-020-00367-3,0921898X,,,
Kim K-H,The role of mobile money in improving the financial inclusion of Nairobi’s urban poor,2020,AFRICAN JOURNAL OF SCIENCE TECHNOLOGY INNOVATION AND DEVELOPMENT,10.1080/20421338.2020.1733281,20421338,,,
