Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Hickey D., Brennan R.","57393643900;36447456700;","A GDPR International Transfer Compliance Framework Based on an Extended Data Privacy Vocabulary (DPV)",2021,"Frontiers in Artificial Intelligence and Applications","346",,,"161","170",,1,"10.3233/FAIA210332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122070982&doi=10.3233%2fFAIA210332&partnerID=40&md5=97787970dc60f0c87a1c1e47e91a029b","ADAPT Centre, School of Computing, Dublin City University, Dublin, Ireland; Dublin City University, Dublin, Ireland","Hickey, D., ADAPT Centre, School of Computing, Dublin City University, Dublin, Ireland, Dublin City University, Dublin, Ireland; Brennan, R., ADAPT Centre, School of Computing, Dublin City University, Dublin, Ireland","This paper describes a tool using an extended Data Privacy Vocabulary (the DPV) to audit and monitor GDPR compliance of international transfers of personal data. New terms were identified which have been proposed as extensions to the DPV W3C Working Group. A prototype software tool was built based on the model plus a set of validation rules, and synthetic use-cases created to test the capabilities of the model and tool (together a compliance framework). This framework was created because the rules around international transfer compliance are complex and changing, there is an absence of a common approach to ensuring compliance, few tools exist to assist, and those that do lack interoperability. Evaluation results demonstrate that the proposed model improves compliance identification and standardisation. The tool received positive feedback from the data protection practitioners who participated in the evaluation, and an initial version of is now in use in one financial services organisation. While currently the tool only addresses international transfers, in theory the framework can be extended through further work to the broader area of compliance of other aspects of the GPDR. © 2021 The authors and IOS Press.","Compliance; Data Protection; DPV; GDPR; International Transfer; Privacy","Software prototyping; Software testing; Compliance; Data privacy vocabulary; Evaluation results; GDPR; International transfer; New terms; Privacy; Prototype software; Software-tools; Working groups; Data privacy",,09226389,9781643682525,,"Front. Artif. Intell. Appl.",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus
"Yeung K.","26656422100;","The Health Care Sector's Experience of Blockchain: A Cross-disciplinary Investigation of Its Real Transformative Potential",2021,"Journal of Medical Internet Research","23","12","e24109","","",,,"10.2196/24109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121972109&doi=10.2196%2f24109&partnerID=40&md5=6ea4b4dfb694913ab490a74c86ba09d4","Birmingham Law School, School of Computer Science, University of Birmingham, Edgbaston, Birmingham, B15 2TT, United Kingdom","Yeung, K., Birmingham Law School, School of Computer Science, University of Birmingham, Edgbaston, Birmingham, B15 2TT, United Kingdom","Background: Academic literature highlights blockchain's potential to transform health care, particularly by seamlessly and securely integrating existing data silos while enabling patients to exercise automated, fine-grained control over access to their electronic health records. However, no serious scholarly attempt has been made to assess how these technologies have in fact been applied to real-world health care contexts. Objective: The primary aim of this paper is to assess whether blockchain's theoretical potential to deliver transformative benefits to health care is likely to become a reality by undertaking a critical investigation of the health care sector's actual experience of blockchain technologies to date. Methods: This mixed methods study entailed a series of iterative, in-depth, theoretically oriented, desk-based investigations and 2 focus group investigations. It builds on the findings of a companion research study documenting real-world engagement with blockchain technologies in health care. Data were sourced from academic and gray literature from multiple disciplinary perspectives concerned with the configuration, design, and functionality of blockchain technologies. The analysis proceeded in 3 stages. First, it undertook a qualitative investigation of observed patterns of blockchain for health care engagement to identify the application domains, data-sharing problems, and the challenges encountered to date. Second, it critically compared these experiences with claims about blockchain's potential benefits in health care. Third, it developed a theoretical account of challenges that arise in implementing blockchain in health care contexts, thus providing a firmer foundation for appraising its future prospects in health care. Results: Health care organizations have actively experimented with blockchain technologies since 2016 and have demonstrated proof of concept for several applications (use cases) primarily concerned with administrative data and to facilitate medical research by enabling algorithmic models to be trained on multiple disparately located sets of patient data in a secure, privacy-preserving manner. However, blockchain technology is yet to be implemented at scale in health care, remaining largely in its infancy. These early experiences have demonstrated blockchain's potential to generate meaningful value to health care by facilitating data sharing between organizations in circumstances where computational trust can overcome a lack of social trust that might otherwise prevent valuable cooperation. Although there are genuine prospects of using blockchain to bring about positive transformations in health care, the successful development of blockchain for health care applications faces a number of very significant, multidimensional, and highly complex challenges. Early experience suggests that blockchain is unlikely to rapidly and radically revolutionize health care. Conclusions: The successful development of blockchain for health care applications faces numerous significant, multidimensional, and complex challenges that will not be easily overcome, suggesting that blockchain technologies are unlikely to revolutionize health care in the near future. © Karen Yeung. Originally published in the Journal of Medical Internet Research (https://www.jmir.org), 20.12.2021. This is an open-access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in the Journal of Medical Internet Research, is properly cited. The complete bibliographic information, a link to the original publication on https://www.jmir.org/, as well as this copyright and license information must be included.","Blockchain; Computer security; Data sharing; Electronic health record; Health information management; Health information systems; Health services administration; Mobile phone; Privacy of patient data","algorithm; Article; blockchain; data integrity; data interoperability; electronic health record; health care organization; health care system; information security; interdisciplinary research; medical information system; medical research; patient coding; privacy; proof of concept; standardization; theoretical study; trust; United Kingdom; United States; health care cost; health care delivery; human; Blockchain; Delivery of Health Care; Electronic Health Records; Health Care Sector; Humans; Privacy","Yeung, K.; Birmingham Law School, Edgbaston, United Kingdom; email: k.yeung@bham.ac.uk",14388871,,,"J. Med. Internet Res.",Article,"Final","All Open Access, Gold, Green",Scopus
"McDonald N., McKenna L., Vining R., Doyle B., Liang J., Ward M.E., Ulfvengren P., Geary U., Guilfoyle J., Shuhaiber A., Hernandez J., Fogarty M., Healy U., Tallon C., Brennan R.","7102833144;57194278266;57355534400;57355393700;57222038541;23092562600;6505964527;7801661350;57555920700;57202425124;57202338316;57355811400;57355955600;57355677400;36447456700;","Evaluation of an access-risk-knowledge (Ark) platform for governance of risk and change in complex socio-technical systems",2021,"International Journal of Environmental Research and Public Health","18","23","12572","","",,4,"10.3390/ijerph182312572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120038150&doi=10.3390%2fijerph182312572&partnerID=40&md5=b5c5b96adff0c83d2855a667694c970c","Centre for Innovative Human Systems, School of Psychology, Trinity College, The University of Dublin, Dublin, D02 PN40, Ireland; ADAPT Centre, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland; Health and Safety Unit, Dublin Fire Brigade, Dublin, D02 RY99, Ireland; Quality and Safety Improvement Directorate, St. James’s Hospital Dublin, Dublin, D08 NHY1, Ireland; KTH Royal Institute of Technology, Industrial Economics and Management, 100 44 Stockholm, Sweden; Beacon Renal, Sandyford Business Park, Dublin, D18 TH56, Ireland","McDonald, N., Centre for Innovative Human Systems, School of Psychology, Trinity College, The University of Dublin, Dublin, D02 PN40, Ireland; McKenna, L., ADAPT Centre, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland; Vining, R., Centre for Innovative Human Systems, School of Psychology, Trinity College, The University of Dublin, Dublin, D02 PN40, Ireland; Doyle, B., Centre for Innovative Human Systems, School of Psychology, Trinity College, The University of Dublin, Dublin, D02 PN40, Ireland, Health and Safety Unit, Dublin Fire Brigade, Dublin, D02 RY99, Ireland; Liang, J., ADAPT Centre, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland; Ward, M.E., Centre for Innovative Human Systems, School of Psychology, Trinity College, The University of Dublin, Dublin, D02 PN40, Ireland, Quality and Safety Improvement Directorate, St. James’s Hospital Dublin, Dublin, D08 NHY1, Ireland; Ulfvengren, P., KTH Royal Institute of Technology, Industrial Economics and Management, 100 44 Stockholm, Sweden; Geary, U., Quality and Safety Improvement Directorate, St. James’s Hospital Dublin, Dublin, D08 NHY1, Ireland; Guilfoyle, J., Health and Safety Unit, Dublin Fire Brigade, Dublin, D02 RY99, Ireland; Shuhaiber, A., Beacon Renal, Sandyford Business Park, Dublin, D18 TH56, Ireland; Hernandez, J., ADAPT Centre, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland; Fogarty, M., Quality and Safety Improvement Directorate, St. James’s Hospital Dublin, Dublin, D08 NHY1, Ireland; Healy, U., Quality and Safety Improvement Directorate, St. James’s Hospital Dublin, Dublin, D08 NHY1, Ireland; Tallon, C., Health and Safety Unit, Dublin Fire Brigade, Dublin, D02 RY99, Ireland; Brennan, R., ADAPT Centre, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland","Three key challenges to a whole-system approach to process improvement in health systems are the complexity of socio-technical activity, the capacity to change purposefully, and the consequent capacity to proactively manage and govern the system. The literature on healthcare improvement demonstrates the persistence of these problems. In this project, the Access-Risk-Knowledge (ARK) Platform, which supports the implementation of improvement projects, was deployed across three healthcare organisations to address risk management for the prevention and control of healthcare-associated infections (HCAIs). In each organisation, quality and safety experts initiated an ARK project and participated in a follow-up survey and focus group. The platform was then evaluated against a set of fifteen needs related to complex system transformation. While the results highlighted concerns about the platform’s usability, feedback was generally positive regarding its effectiveness and potential value in supporting HCAI risk management. The ARK Platform addresses the majority of identified needs for system transformation; other needs were validated in the trial or are undergoing development. This trial provided a starting point for a knowledge-based solution to enhance organisational governance and develop shared knowledge through a Community of Practice that will contribute to sustaining and generalising that change. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Access Risk Knowledge (ARK); COVID-19; Infection prevention control; Knowledge engineering platform; Mindful governance; Risk in change; Socio-technical systems; System change; Systems engineering","COVID-19; disease control; governance approach; health care; infectious disease; knowledge; access risk knowledge; Article; follow up; health care organization; health care quality; healthcare associated infection; infection control; infection prevention; information processing; knowledge management; risk management; society; socio technical system; technology; total quality management; government; health care delivery; health care facility; knowledge; organization; Delivery of Health Care; Government Programs; Health Facilities; Knowledge; Organizations","Vining, R.; Centre for Innovative Human Systems, Ireland; email: rvining@tcd.ie",16617827,,,"Int. J. Environ. Res. Public Health",Article,"Final","All Open Access, Gold, Green",Scopus
"Li B., Xu Z.","57212091389;55502698400;","Insights into financial technology (FinTech): a bibliometric and visual study",2021,"Financial Innovation","7","1","69","","",,19,"10.1186/s40854-021-00285-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116492141&doi=10.1186%2fs40854-021-00285-7&partnerID=40&md5=97af78eea4469a6766edb4d389898df6","College of Statistics and Mathematics, Zhejiang Gongshang University, Hangzhou, 610064, China; Business School, Sichuan University, Chengdu, 610064, China","Li, B., College of Statistics and Mathematics, Zhejiang Gongshang University, Hangzhou, 610064, China; Xu, Z., Business School, Sichuan University, Chengdu, 610064, China","This paper conducted a comprehensive analysis based on bibliometrics and science mapping analysis. First, 848 publications were obtained from Web of Science. Their fundamental characteristics were analyzed, including the types, annual publications, hot research directions, and foci (by theme analysis, co-occurrence analysis, and timeline analysis of author keywords). Next, the prolific objects (at the level of countries/regions, institutions, journals, and authors) and corresponding pivotal cooperative relationship networks were used to highlight who pays attention to FinTech. Furthermore, the citation structures of authors and journals were investigated, including citation and co-citation. Additionally, this paper presents the burst detection analysis of cited authors, journals, and references. Finally, combining the analysis results with the current financial environment, the challenges and future development opportunities are discussed further. Accordingly, a comprehensive study of the FinTech documents not only reviews the current research characteristics and trajectories but also helps scholars find the appropriate research entry point and conduct in-depth research. © 2021, The Author(s).","Bibliometric analysis; Citation structure; Development trends; FinTech; Visualization networks",,"Xu, Z.; Business School, China; email: xuzeshui@263.net",21994730,,,"Financial Innov.",Review,"Final","All Open Access, Gold, Green",Scopus
"Mogaji E., Balakrishnan J., Nwoba A.C., Nguyen N.P.","56823605700;56533531000;57219536239;57204146803;","Emerging-market consumers’ interactions with banking chatbots",2021,"Telematics and Informatics","65",,"101711","","",,21,"10.1016/j.tele.2021.101711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115422099&doi=10.1016%2fj.tele.2021.101711&partnerID=40&md5=d7552add115bd92cff2ecb0c56107943","Department of Marketing, Events and Tourism, University of Greenwich, London, United Kingdom; Department of Management Studies, National Institute of Technology, Tiruchirappalli, India; University of Economics Ho Chi Minh City, Viet Nam","Mogaji, E., Department of Marketing, Events and Tourism, University of Greenwich, London, United Kingdom, University of Economics Ho Chi Minh City, Viet Nam; Balakrishnan, J., Department of Management Studies, National Institute of Technology, Tiruchirappalli, India; Nwoba, A.C., Department of Marketing, Events and Tourism, University of Greenwich, London, United Kingdom; Nguyen, N.P., University of Economics Ho Chi Minh City, Viet Nam","Chatbot development and adoption is a growing challenge in emerging markets, which are characterised by a young population structure, low-level internet penetration and a high degree of institutional adversity. The purpose of this study is to explore how consumers in emerging markets interact and engage with banking chatbots when conducting bank transactions. Based on qualitative research using semi-structured interviews with 36 Nigerian residents, this study demonstrates that the four factors of the unified theory of acceptance and use of technology (UTAUT) can explain how emerging-market consumers interact and engage with banking chatbots. While age and technological experience are significant components in facilitating the use of chatbots, perceived expertise, responsiveness and security were found to be particularly important to users. This study delves into user experiences with conversational interfaces, specifically focusing on emerging markets. © 2021 Elsevier Ltd","Chatbot; Conversational interfaces; Customer service; Emerging markets; FinTech","Bank transactions; Chatbots; Consumer interaction; Conversational interface; Customer-service; Emerging markets; Nigerians; Population structures; Qualitative research; Semi structured interviews; Commerce","Mogaji, E.; Department of Marketing, United Kingdom; email: e.o.mogaji@greenwich.ac.uk",07365853,,TEINE,"Telematics Inf",Article,"Final","",Scopus
"Muthukannan P., Tan B., Chiang F.T., Leong C.","57211041075;21834632200;57226709638;55865009500;","Novel mechanisms of scalability of financial services in an emerging market context: Insights from Indonesian Fintech Ecosystem",2021,"International Journal of Information Management","61",,"102403","","",,6,"10.1016/j.ijinfomgt.2021.102403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112404225&doi=10.1016%2fj.ijinfomgt.2021.102403&partnerID=40&md5=c1f8d8eb159c77fc68b8f36f5917ec26","Business Information Systems, The University of Sydney, Sydney, Australia; The University of New South Wales, Sydney, Australia","Muthukannan, P., Business Information Systems, The University of Sydney, Sydney, Australia; Tan, B., Business Information Systems, The University of Sydney, Sydney, Australia; Chiang, F.T., The University of New South Wales, Sydney, Australia; Leong, C., The University of New South Wales, Sydney, Australia","Global Fintech phenomenon is driven by new technological innovations that attempt to unbundle and deconstruct conventional business models in the financial services sector. Existing research on platforms focus on platform leadership, governance, generativity and modularity, as well as their impact on agility and innovation. However, there are limited empirical studies, to explore the role of platform operators in providing scalable financial service delivery to a broader population. This study aims to enhance the understanding of an emerging Fintech landscape in Indonesia which is characterized by heterogeneous, dynamic and evolving network of organizations and the innovative mechanisms by which the scalability of financial services could be enhanced. Our study suggests that the mechanisms of platformization, decentralization, localization and democratization by Fintech platform operators positively impact the scalability of financial service delivery. This study has significant implications for policy makers especially in emerging markets who are seeking to scale, facilitate and govern the Fintech revolution, and for Fintech practitioners in the design of technology-enabled delivery of financial services. © 2021 Elsevier Ltd","Case study; FinTech; Indonesia; Scalability; Start-up","Commerce; Fintech; Reactor startup; Business models; Case-studies; Emerging markets; Financial service; Financial services sector; Generativity; Indonesia; Service delivery; Start-up; Technological innovation; Scalability","Muthukannan, P.; Business Information Systems, Rm 4074 H70 Abercrombie Building, Australia; email: priya.muthukannan@sydney.edu.au",02684012,,IJMAE,"Int J Inf Manage",Article,"Final","",Scopus
"Broby D.","55178495400;","Financial technology and the future of banking",2021,"Financial Innovation","7","1","47","","",,19,"10.1186/s40854-021-00264-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108378714&doi=10.1186%2fs40854-021-00264-y&partnerID=40&md5=6e8ee6fbea19af9857ed8b340610dd90","Centre for Financial Regulation and Innovation, Strathclyde Business School, Glasgow, United Kingdom","Broby, D., Centre for Financial Regulation and Innovation, Strathclyde Business School, Glasgow, United Kingdom","This paper presents an analytical framework that describes the business model of banks. It draws on the classical theory of banking and the literature on digital transformation. It provides an explanation for existing trends and, by extending the theory of the banking firm, it illustrates how financial intermediation will be impacted by innovative financial technology applications. It further reviews the options that established banks will have to consider in order to mitigate the threat to their profitability. Deposit taking and lending are considered in the context of the challenge made from shadow banking and the all-digital banks. The paper contributes to an understanding of the future of banking, providing a framework for scholarly empirical investigation. In the discussion, four possible strategies are proposed for market participants, (1) customer retention, (2) customer acquisition, (3) banking as a service and (4) social media payment platforms. It is concluded that, in an increasingly digital world, trust will remain at the core of banking. That said, liquidity transformation will still have an important role to play. The nature of banking and financial services, however, will change dramatically. © 2021, The Author(s).","Banking; Cryptocurrencies; Digital Payments; Fintech; Intermediation; P2P Lending",,"Broby, D.; Centre for Financial Regulation and Innovation, United Kingdom; email: daniel.broby@strath.ac.uk",21994730,,,"Financial Innov.",Article,"Final","All Open Access, Gold, Green",Scopus
"Wang J.S.","51061673200;","Exploring biometric identification in FinTech applications based on the modified TAM",2021,"Financial Innovation","7","1","42","","",,12,"10.1186/s40854-021-00260-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107534503&doi=10.1186%2fs40854-021-00260-2&partnerID=40&md5=de81cc41b1234dc9c55aa0ff186f2a0a","Institute of Technology Management, National Yang Ming Chiao Tung University, 1001 Ta-Hsueh Road, Hsinchu, 300, Taiwan","Wang, J.S., Institute of Technology Management, National Yang Ming Chiao Tung University, 1001 Ta-Hsueh Road, Hsinchu, 300, Taiwan","In recent years, biometric technologies have been widely embedded in mobile devices; these technologies were originally employed to enhance the security of mobile devices. With the rise of financial technology (FinTech), which uses mobile devices and applications as promotional platforms, biometrics has the important role of strengthening the identification of such applications for security. However, users still have privacy and trust concerns about biometrics. Previous studies have demonstrated that the technology acceptance model (TAM) can rigorously explain and predict user acceptance of new technologies. This study therefore modifies the TAM as a basic research architecture. Based on a literature review, we add two new variables, namely, “perceived privacy” and “perceived trust,” to extend the traditional TAM to examine user acceptance of biometric identification in FinTech applications. First, we apply the analytic hierarchy process (AHP) to evaluate the defined objects and relevant criteria of the research framework. Second, we use the AHP results in the scenario analysis to explore biometric identification methods that correspond to objects and criteria. The results indicate that face and voice recognition are the two most preferred identification methods in FinTech applications. In addition, there are significant changes in the results of the perceived trust and perceived privacy dominant scenarios. © 2021, The Author(s).","AHP; Biometric identification; FinTech applications; Perceived privacy; Perceived trust",,"Wang, J.S.; Institute of Technology Management, 1001 Ta-Hsueh Road, Taiwan; email: vincent.mt98g@nctu.edu.tw",21994730,,,"Financial Innov.",Article,"Final","All Open Access, Gold, Green",Scopus
"Kou G., Olgu Akdeniz Ö., Dinçer H., Yüksel S.","57068290300;24725148100;55567227600;57190620397;","Fintech investments in European banks: a hybrid IT2 fuzzy multidimensional decision-making approach",2021,"Financial Innovation","7","1","39","","",,107,"10.1186/s40854-021-00256-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106921439&doi=10.1186%2fs40854-021-00256-y&partnerID=40&md5=c588bcbf8dc309fe1a3cefd2db5cbec0","School of Business Administration, Southwestern University of Finance and Economics, Chengdu, 611130, China; College of Administrative Sciences and Economics, Koç University, Rumeli Feneri Yolu, Sarıyer, Istanbul, 34450, Turkey; School of Business, Istanbul Medipol University, Kavacık Campus, Beykoz, Istanbul, 34810, Turkey","Kou, G., School of Business Administration, Southwestern University of Finance and Economics, Chengdu, 611130, China; Olgu Akdeniz, Ö., College of Administrative Sciences and Economics, Koç University, Rumeli Feneri Yolu, Sarıyer, Istanbul, 34450, Turkey; Dinçer, H., School of Business, Istanbul Medipol University, Kavacık Campus, Beykoz, Istanbul, 34810, Turkey; Yüksel, S., School of Business, Istanbul Medipol University, Kavacık Campus, Beykoz, Istanbul, 34810, Turkey","Financial technology (Fintech) makes a significant contribution to the financial system by reducing costs, providing higher quality services and increasing customer satisfaction. Hence, new studies play an essential role to improve Fintech investments. This study evaluates Fintech-based investments of European banking services with an application of an original methodology that considers interval type-2 (IT2) fuzzy decision-making trial and evaluation laboratory and IT2 fuzzy TOPSIS models. Empirical findings are controlled for consistency by applying the VIKOR method. Moreover, we conduct a sensitivity analysis by considering six distinct cases. This study contributes to the existing literature by identifying the most important Fintech-based investment alternatives to improve the financial performance of European banks. Our empirical findings illustrate that results are coherent, reliable, and identify “competitive advantage” as the most important factor among Fintech-based determinants. Moreover, “payment and money transferring systems” are the most important Fintech-based investment alternatives. It is recommended that, among Fintech-based investments, European banks should mainly focus on payment and money transferring alternatives to attract the attention of customers and satisfy their expectations. This is also believed to have a positive impact on the ease of bank’ receivable collection. Another important point is that Fintech-based investments in money transferring systems could help to decrease costs. © 2021, The Author(s).","DEMATEL; European banking industry; Financial technology; Interval type-2 fuzzy TOPSIS",,"Olgu Akdeniz, Ö.; College of Administrative Sciences and Economics, Rumeli Feneri Yolu, Sarıyer, Turkey; email: oolgu@ku.edu.tr",21994730,,,"Financial Innov.",Article,"Final","All Open Access, Gold, Green",Scopus
"Shaikh A.K., Al-Shamli M., Nazir A.","54785101500;57230878500;24723004500;","Designing a relational model to identify relationships between suspicious customers in anti-money laundering (AML) using social network analysis (SNA)",2021,"Journal of Big Data","8","1","20","","",,,"10.1186/s40537-021-00411-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104755105&doi=10.1186%2fs40537-021-00411-3&partnerID=40&md5=f0e34f363724bfac06d7006187cde150","Department of Information Systems, College of Economics & Political Science, Sultan Qaboos University, Muscat, Oman; Department of Information Studies, College of Arts and Social Sciences, Sultan Qaboos University, Muscat, Oman; College of Technological Innovation, Zayed University, Abu Dhabi, United Arab Emirates","Shaikh, A.K., Department of Information Systems, College of Economics & Political Science, Sultan Qaboos University, Muscat, Oman; Al-Shamli, M., Department of Information Studies, College of Arts and Social Sciences, Sultan Qaboos University, Muscat, Oman; Nazir, A., College of Technological Innovation, Zayed University, Abu Dhabi, United Arab Emirates","The stability of the economy and political system of any country highly depends on the policy of anti-money laundering (AML). If government policies are incapable of handling money laundering activities in an appropriate way, the control of the economy can be transferred to criminals. The current literature provides various technical solutions, such as clustering-based anomaly detection techniques, rule-based systems, and a decision tree algorithm, to control such activities that can aid in identifying suspicious customers or transactions. However, the literature provides no effective and appropriate solutions that could aid in identifying relationships between suspicious customers or transactions. The current challenge in the field is to identify associated links between suspicious customers who are involved in money laundering. To consider this challenge, this paper discusses the challenges associated with identifying relationships such as business and family relationships and proposes a model to identify links between suspicious customers using social network analysis (SNA). The proposed model aims to identify various mafias and groups involved in money laundering activities, thereby aiding in preventing money laundering activities and potential terrorist financing. The proposed model is based on relational data of customer profiles and social networking functions metrics to identify suspicious customers and transactions. A series of experiments are conducted with financial data, and the results of these experiments show promising results for financial institutions who can gain real benefits from the proposed model. © 2021, The Author(s).","Anti-money laundering; Customer profile; Relational analysis; Relationships; Social network analysis",,"Shaikh, A.K.; Department of Information Systems, Oman; email: shaikh@squ.edu.om",21961115,,,"J. Big Data",Article,"Final","All Open Access, Gold",Scopus
"Lyytinen K., Nickerson J.V., King J.L.","7004068826;7007157887;55574229141;","Metahuman systems = humans + machines that learn",2021,"Journal of Information Technology","36","4",,"427","445",,25,"10.1177/0268396220915917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085339316&doi=10.1177%2f0268396220915917&partnerID=40&md5=3e8f5389563756722730b1d8ef99e3b2","Case Western Reserve University, United States; Stevens Institute of Technology, United States; University of Michigan, United States","Lyytinen, K., Case Western Reserve University, United States; Nickerson, J.V., Stevens Institute of Technology, United States; King, J.L., University of Michigan, United States","Metahuman systems are new, emergent, sociotechnical systems where machines that learn join human learning and create original systemic capabilities. Metahuman systems will change many facets of the way we think about organizations and work. They will push information systems research in new directions that may involve a revision of the field’s research goals, methods and theorizing. Information systems researchers can look beyond the capabilities and constraints of human learning toward hybrid human/machine learning systems that exhibit major differences in scale, scope and speed. We review how these changes influence organization design and goals. We identify four organizational level generic functions critical to organize metahuman systems properly: delegating, monitoring, cultivating, and reflecting. We show how each function raises new research questions for the field. We conclude by noting that improved understanding of metahuman systems will primarily come from learning-by-doing as information systems scholars try out new forms of hybrid learning in multiple settings to generate novel, generalizable, impactful designs. Such trials will result in improved understanding of metahuman systems. This need for large-scale experimentation will push many scholars out from their comfort zone, because it calls for the revitalization of action research programs that informed the first wave of socio-technical research at the dawn of automating work systems. © Association for Information Technology Trust 2020.","autonomy; embodiment; job design; learning theory; Machine learning; monitoring; organizational forms; technology; work groups","Information systems; Information use; Generic functions; Hybrid learning; Large-scale experimentations; Learning by doing; Organization design; Organizational levels; Research questions; Sociotechnical systems; Learning systems","Nickerson, J.V.; Stevens Institute of TechnologyUnited States; email: jnickerson@stevens.edu",02683962,,,"J. Inf. Technol.",Article,"Final","",Scopus
"Walker-Munro B.","57194018074;","A case for the use of cyber-systemics to combat financial crime in Australia",2021,"Kybernetes","50","11",,"3082","3105",,,"10.1108/K-09-2020-0581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106827146&doi=10.1108%2fK-09-2020-0581&partnerID=40&md5=f14a0c9d2ad66a1133f07cece44206f1","Department of Law, Faculty of Business and Law, Swinburne University of Technology, Melbourne, Australia","Walker-Munro, B., Department of Law, Faculty of Business and Law, Swinburne University of Technology, Melbourne, Australia","Purpose: Financial crime costs the world economy more than $1tn. Yet policing responses continue to apply traditional law enforcement methods to detect, identify and disrupt criminal actors in financial systems. The purpose of this paper is to challenge existing thinking around law enforcement practices in financial crime within an Australian context, by presenting an alternative model grounded in management cybernetics and systemic design (SD), which the author terms “cyber-systemics”. Design/methodology/approach: This study reflects on prior research work across cybernetics and SD to suggest an integrated approach as a conceptually useful basis for considering regulation of financial crime, and to demonstrate utility using a case study. Findings: The Fintel Alliance between financial crime regulators and financial institutions in Australia demonstrates a strong connection with, and example of, this study’s cyber-systemic regulatory framework. It will be demonstrated that the form of co-design framework offered under cyber-systemics is both consistent with cybernetic and SD literature, but also a means of avoiding regulatory disconnection in times of change and disruption. This study also invites consideration of how future forms of governance might be structured using cyber-systemics as a conceptual backbone. Research limitations/implications: This work proposes a novel methodology at odds with traditional law enforcement ways of doing, inevitably requiring a change of regulatory mindset. In addition, this paper is purely conceptual and therefore more research on an empirical basis is required to prove the potential benefits in a real-world regulatory environment. Originality/value: This is (to the author’s knowledge) the first conceptual exploration of blending SD and management cybernetics in the field of criminal law regulation. © 2020, Emerald Publishing Limited.","Cyber-systemics; Cybernetics; Regulation; Technology","Blending; Cybernetics; Finance; Design/methodology/approach; Enforcement practices; Financial institution; Integrated approach; Novel methodology; Potential benefits; Regulatory environment; Regulatory frameworks; Crime","Walker-Munro, B.; Department of Law, Australia; email: 102150745@student.swin.edu.au",0368492X,,,"Kybernetes",Article,"Final","",Scopus
