"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Davies, R.; Tracey, B.","Davies, Richard (55821944500); Tracey, Belinda (56017830600)","55821944500; 56017830600","Too big to be efficient? The impact of implicit subsidies on estimates of scale economies for banks","2014","Journal of Money, Credit and Banking","46","SUPPL.1","","219","253","64","10.1111/jmcb.12088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893123735&doi=10.1111%2Fjmcb.12088&partnerID=40&md5=70bcd20af9b924146fbaffa843a6026a","J. Money Credit Bank.","Article","Final","","Scopus","2-s2.0-84893123735"
"Boot, A.W.A.","Boot, Arnoud W. A. (56218676800)","56218676800","Financial sector in flux","2014","Journal of Money, Credit and Banking","46","SUPPL.1","","129","135","20","10.1111/jmcb.12082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893032756&doi=10.1111%2Fjmcb.12082&partnerID=40&md5=2dfec4462335255a58047309e2f25b62","J. Money Credit Bank.","Article","Final","","Scopus","2-s2.0-84893032756"
"Song, L.","Song, Ligang (24578045100)","24578045100","State and non-state enterprises in China’s economic transition","2014","","","","","182","207","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921361167&partnerID=40&md5=2863a3de3d986f2eff454f51f2742447","Routledge Handb. of the Chin. Economy","Book chapter","Final","","Scopus","2-s2.0-84921361167"
"Dunphy, P.; Monk, A.; Vines, J.; Blythe, M.; Olivier, P.","Dunphy, Paul (23033699700); Monk, Andrew F. (7005771749); Vines, John (55247269700); Blythe, Mark A. (9242985700); Olivier, Patrick L. (57209133100)","23033699700; 7005771749; 55247269700; 9242985700; 57209133100","Designing for spontaneous and secure delegation in digital payments","2014","Interacting with Computers","26","5","","417","432","18","10.1093/iwc/iwt038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906813934&doi=10.1093%2Fiwc%2Fiwt038&partnerID=40&md5=994905fd33a4becebed5157ead482ddf","Interact Comput.","Article","Final","","Scopus","2-s2.0-84906813934"
"Watson, R.T.","Watson, Richard Thomas (7403653300)","7403653300","A personal perspective on a conceptual foundation for information systems","2014","Journal of the Association for Information Systems","15","8","","514","535","12","10.17705/1jais.00368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906778084&doi=10.17705%2F1jais.00368&partnerID=40&md5=27c21e44af9c0e9d4a645fd7a4107153","J. Assoc. Inf. Syst.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84906778084"
"Mesfin, W.F.; Ghinea, G.; Atnafu, S.","Mesfin, Woldmariam F. (55646894700); Ghinea, Gheorghita (35616295700); Atnafu, Solomon (6507393366)","55646894700; 35616295700; 6507393366","Towards a digital money structure for illiterate users","2014","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905842362&partnerID=40&md5=e1556e06ba9c08592d9bad29387bb53b","ECIS Proc. - Eur. Conf. Inf. Syst.","Conference paper","Final","","Scopus","2-s2.0-84905842362"
"Liu, T.X.; Yang, J.; Adamic, L.A.; Chen, Y.","Liu, Tracy Xiao (42961833500); Yang, Jiang (34882350900); Adamic, Lada A. (6506967497); Chen, Yan (8889740400)","42961833500; 34882350900; 6506967497; 8889740400","Crowdsourcing with all-pay auctions: A field experiment on Taskcn","2014","Management Science","60","8","","220","237","193","10.1287/mnsc.2013.1845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905743437&doi=10.1287%2Fmnsc.2013.1845&partnerID=40&md5=a49a57433d9595ac0833f5962c7675c5","Manage Sci","Article","Final","","Scopus","2-s2.0-84905743437"
"Oehler, A.","Oehler, Andreas (59058428500)","59058428500","Testing the testers? Generally accepted testing principles!; Testen der Tester? Grundsätze ordnungsgemäßen Testens!","2014","Wirtschaftsdienst","94","6","","444","447","4","10.1007/s10273-014-1694-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904322903&doi=10.1007%2Fs10273-014-1694-6&partnerID=40&md5=2b92dc7a312ab29f60bfca0547cf501d","Wirtschaftsdienst","Article","Final","","Scopus","2-s2.0-84904322903"
"Vines, J.; Dunphy, P.; Monk, A.","Vines, John (55247269700); Dunphy, Paul (23033699700); Monk, Andrew F. (7005771749)","55247269700; 23033699700; 7005771749","Pay or delay: The role of technology when managing a low income","2014","Conference on Human Factors in Computing Systems - Proceedings","","","","501","510","53","10.1145/2556288.2556961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900407200&doi=10.1145%2F2556288.2556961&partnerID=40&md5=2c1a260b993fc88750f57982eeb63adb","Conf Hum Fact Comput Syst Proc","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84900407200"
"Kaye, J.J.; McCuistion, M.; Gulotta, R.; Shamma, D.A.","Kaye, Joseph Jofish (8454333500); McCuistion, Mary Honodel (55752539300); Gulotta, Rebecca (36018319000); Shamma, David A. (7801387993)","8454333500; 55752539300; 36018319000; 7801387993","Money talks: Tracking personal finances","2014","Conference on Human Factors in Computing Systems - Proceedings","","","","521","530","97","10.1145/2556288.2556975","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900388182&doi=10.1145%2F2556288.2556975&partnerID=40&md5=23e6a7ac96f3e7b5a1cc003ab0a76f83","Conf Hum Fact Comput Syst Proc","Conference paper","Final","","Scopus","2-s2.0-84900388182"
"Zhang, L.; Fung, A.Y.H.","Zhang, Lin (59814861400); Fung, Anthony Y.H. (7101926794)","59814861400; 7101926794","Working as playing? Consumer labor, guild and the secondary industry of online gaming in China","2014","New Media and Society","16","1","","38","54","50","10.1177/1461444813477077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893123702&doi=10.1177%2F1461444813477077&partnerID=40&md5=a8e4db9df007926fa9b5008495e3923e","New Media and Society","Article","Final","","Scopus","2-s2.0-84893123702"
"Liu, Q.; Serfes, K.","Liu, Qihong (56050826200); Serfes, Konstantinos (6602295117)","56050826200; 6602295117","Price discrimination in two-sided markets","2013","Journal of Economics and Management Strategy","22","4","","768","786","48","10.1111/jems.12038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882775278&doi=10.1111%2Fjems.12038&partnerID=40&md5=7446867d63763466768894905d5c2cc1","J. Econ. Manage. Strateg.","Article","Final","","Scopus","2-s2.0-84882775278"
"Koetter, M.; Noth, F.","Koetter, Michael (15750808500); Noth, Felix (55279544900)","15750808500; 55279544900","IT use, productivity, and market power in banking","2013","Journal of Financial Stability","9","4","","695","704","39","10.1016/j.jfs.2012.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863302684&doi=10.1016%2Fj.jfs.2012.06.001&partnerID=40&md5=ff56bca436e41d899f1ef773bb8ebaa5","J. Financ. Stab.","Article","Final","All Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-84863302684"
"Kennedy, A.B.","Kennedy, Andrew Bingham (36840161000)","36840161000","China's search for renewable energy: Pragmatic techno-nationalism","2013","Asian Survey","53","5","","909","930","30","10.1525/AS.2013.53.5.909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887535371&doi=10.1525%2FAS.2013.53.5.909&partnerID=40&md5=5fefb70355268ef9d685ded4f81cbde7","Asian Surv.","Review","Final","","Scopus","2-s2.0-84887535371"
"DAVIS, M.; Kumiega, A.; van Vliet, B.","DAVIS, MICHAEL (56495999300); Kumiega, Andrew (36685825700); van Vliet, Ben Edward (25929735500)","56495999300; 36685825700; 25929735500","Ethics, Finance, and Automation: A Preliminary Survey of Problems in High Frequency Trading","2013","Science and Engineering Ethics","19","3","","851","874","39","10.1007/s11948-012-9412-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883812278&doi=10.1007%2Fs11948-012-9412-5&partnerID=40&md5=15ca687d8721758fde49b488a8c7aefb","Sci. Eng. Ethics","Article","Final","","Scopus","2-s2.0-84883812278"
"Einav, L.; Jenkins, M.; Levin, J.","Einav, Liran (57203240683); Jenkins, Mark (19635641800); Levin, Jonathan D. (7403284465)","57203240683; 19635641800; 7403284465","The impact of credit scoring on consumer lending","2013","RAND Journal of Economics","44","2","","249","274","95","10.1111/1756-2171.12019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879356628&doi=10.1111%2F1756-2171.12019&partnerID=40&md5=a42bb2acbc297f1b3ce69ae501c4f5a2","RAND J. Econ.","Article","Final","","Scopus","2-s2.0-84879356628"
"Sassen, S.","Sassen, Saskia (7003438269)","7003438269","The global city: New York, London, Tokyo","2013","","","","","1","397","5075","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890760536&partnerID=40&md5=0665af8aedf074ee9037597ae272fca1","The Global City: New York, London, Tokyo","Book","Final","","Scopus","2-s2.0-84890760536"
"Muniesa, F.; Lenglet, M.","Muniesa, Fabian (57204371904); Lenglet, Marc (54414487000)","57204371904; 54414487000","Responsible Innovation in Finance: Directions and Implications","2013","","","","","185","198","20","10.1002/9781118551424.ch10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885600484&doi=10.1002%2F9781118551424.ch10&partnerID=40&md5=8350d83c2a0ec57708a3bae3e3f17cb3","Responsible Innovation: Managing the Responsible Emergence of Sci. and Innovation in Soc.","Book chapter","Final","","Scopus","2-s2.0-84885600484"
"Von Schomberg, R.","Von Schomberg, René (7801620829)","7801620829","A Vision of Responsible Research and Innovation","2013","","","","","51","74","1045","10.1002/9781118551424.ch3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881543332&doi=10.1002%2F9781118551424.ch3&partnerID=40&md5=634b1070da264d1e7e4147aa6cd01317","Responsible Innovation: Managing the Responsible Emergence of Sci. and Innovation in Soc.","Book chapter","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84881543332"
"Maurer, B.; Nelms, T.C.; Swartz, L.","Maurer, Bill (7102328519); Nelms, Taylor C. (26430039300); Swartz, Lana (55552862800)","7102328519; 26430039300; 55552862800","""When perhaps the real problem is money itself!"": The practical materiality of Bitcoin","2013","Social Semiotics","23","2","","261","277","303","10.1080/10350330.2013.777594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878118835&doi=10.1080%2F10350330.2013.777594&partnerID=40&md5=b0125010e86c778685b0f4b932e0a431","Soc. Semiot","Article","Final","","Scopus","2-s2.0-84878118835"
"Terada, M.; Noaki, K.; Sekino, K.","Terada, Masayuki (8729786900); Noaki, Kozo (55043997600); Sekino, Kimihiko (57220345203)","8729786900; 55043997600; 57220345203","Sound marketization of user-generated content based on a fair micro-billing scheme","2013","Journal of Software","8","3","","507","519","2","10.4304/jsw.8.3.507-519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875012113&doi=10.4304%2Fjsw.8.3.507-519&partnerID=40&md5=0ff06697d628c35e6e11b1539c991c6c","J. Softw.","Article","Final","","Scopus","2-s2.0-84875012113"
"Steil, B.","Steil, Benn (6603788814)","6603788814","The battle of Bretton Woods: John Maynard Keynes, Harry Dexter White, and the making of a new world order","2013","","","","","","","314","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880955212&partnerID=40&md5=2bbcc135b9fcd38de16360bf1a1257df","The Battle of Bretton Woods: John Maynard Keynes, Harry Dexter White, and the Making of a New World Order","Book","Final","","Scopus","2-s2.0-84880955212"
"Brewer, E.; Jagtiani, J.","Brewer, Elijah (7103276709); Jagtiani, Julapa A. (6603449987)","7103276709; 6603449987","How Much Did Banks Pay to Become Too-Big-To-Fail and to Become Systemically Important?","2013","Journal of Financial Services Research","43","1","","1","35","97","10.1007/s10693-011-0119-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873750128&doi=10.1007%2Fs10693-011-0119-6&partnerID=40&md5=69ff1617fbf52653d2d37f5032ffb42f","J. Financ. Serv. Res.","Article","Final","","Scopus","2-s2.0-84873750128"
"Douglas, M.","Douglas, Mary (59812979600)","59812979600","Primitive rationing: A study in controlled exchange","2013","","","","","119","148","64","10.4324/9781315017556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920784904&doi=10.4324%2F9781315017556&partnerID=40&md5=28ea630d510f1d3666b8b240ed8b0ce6","Themes in Economic Anthropology","Book chapter","Final","","Scopus","2-s2.0-84920784904"
"Dai, X.","Dai, Xiudian (7201696642)","7201696642","Politics of digital development: Informatization and governance in China","2013","","","","","34","51","7","10.4324/9780203767061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918936395&doi=10.4324%2F9780203767061&partnerID=40&md5=0764ad175608b4c9d7720214f36425a4","Digital World: Connectivity, Creativity and Rights","Book chapter","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84918936395"
"Goh, K.-Y.; Heng, C.-S.; Lin, Z.","Goh, Khim Yong (23396611500); Heng, Cheng Suang (55354341000); Lin, Zhijie (54894812400)","23396611500; 55354341000; 54894812400","Social media brand community and consumer behavior: Quantifying the relative impact of user- and marketer-generated content","2013","Information Systems Research","24","1","","88","107","1213","10.1287/isre.1120.0469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877663273&doi=10.1287%2Fisre.1120.0469&partnerID=40&md5=b8056396f6045c75751639d643c9ef6c","Inf. Syst. Res.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84877663273"
"Wheelock, D.C.; Wilson, P.W.","Wheelock, David C. (6602874404); Wilson, Paul W. (55586996000)","6602874404; 55586996000","The evolution of cost-productivity and efficiency among US credit unions","2013","Journal of Banking and Finance","37","1","","75","88","43","10.1016/j.jbankfin.2012.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868203338&doi=10.1016%2Fj.jbankfin.2012.08.003&partnerID=40&md5=6b7d9251bbf6ff396446ae01db390b79","J. Bank. Financ.","Article","Final","","Scopus","2-s2.0-84868203338"
"Martin, M.F.","Martin, Michael F. (56956074900)","56956074900","China's banking system: Issues for congress","2012","","","","","1","62","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891975215&partnerID=40&md5=f8c2b536277077d37c71c9c870e94a4a","China's Banking Syst., Currency Policy and Econ. Cond.","Book chapter","Final","","Scopus","2-s2.0-84891975215"
"Coeckelbergh, M.","Coeckelbergh, Mark (22233758600)","22233758600","Technology as skill and activity: Revisiting the problem of alienation","2012","Techne: Research in Philosophy and Technology","16","3","","208","230","18","10.5840/techne201216315","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875306897&doi=10.5840%2Ftechne201216315&partnerID=40&md5=5717883a540fb698046b0dd29abf8d50","Techne Res. Philos. Technol.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84875306897"
"Alt, R.; Puschmann, T.","Alt, Rainer (56267296300); Puschmann, Thomas (6506557303)","56267296300; 6506557303","The rise of customer-oriented banking - Electronic markets are paving the way for change in the financial industry","2012","Electronic Markets","22","4","","203","215","88","10.1007/s12525-012-0106-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870062661&doi=10.1007%2Fs12525-012-0106-2&partnerID=40&md5=b0cb00dced8c5baf300fff5194e68285","Electron. Mark.","Article","Final","","Scopus","2-s2.0-84870062661"
"Wang, Y.; Zhang, K.","Wang, Ying (55487533400); Zhang, Kuanhai (36136382800)","55487533400; 36136382800","Ontologies for C2C online payment services","2012","Advances in Information Sciences and Service Sciences","4","20","","386","394","1","10.4156/AISS.vol4.issue20.46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869232044&doi=10.4156%2FAISS.vol4.issue20.46&partnerID=40&md5=d57cb84fc48cb88fa3b31b3ec6f7adc0","Adv. Inf. Sci. Serv. Sci.","Article","Final","","Scopus","2-s2.0-84869232044"
"Mäkinen, S.J.; Dedehayir, O.","Mäkinen, Saku J. (16402349000); Dedehayir, Ozgur (24922826700)","16402349000; 24922826700","Business ecosystem evolution and strategic considerations: A literature review","2012","","","","6297653","","","64","10.1109/ICE.2012.6297653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867903876&doi=10.1109%2FICE.2012.6297653&partnerID=40&md5=ee76cf7fc0d9779525894ae7eb01611e","Int. Conf. Eng., Technol. Innov., ICE - Conf. Proc.","Conference paper","Final","","Scopus","2-s2.0-84867903876"
"Dzieliński, M.","Dzieliński, Michał (54408353700)","54408353700","Measuring economic uncertainty and its impact on the stock market","2012","Finance Research Letters","9","3","","167","175","168","10.1016/j.frl.2011.10.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865399756&doi=10.1016%2Fj.frl.2011.10.003&partnerID=40&md5=7756a36faaf0194792aa3466e9a01bd0","Finan. Res. Lett.","Article","Final","All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84865399756"
"Xia, J.","Xia, Jun (35739368200)","35739368200","Competition and regulation in Chinas 3G/4G mobile communications industry - Institutions, governance, and telecom SOEs","2012","Telecommunications Policy","36","7","","503","521","40","10.1016/j.telpol.2011.11.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863189674&doi=10.1016%2Fj.telpol.2011.11.026&partnerID=40&md5=131b3b25546d8743f5e68a07e08fff0c","Telecommun Policy","Article","Final","","Scopus","2-s2.0-84863189674"
"Coeckelbergh, M.","Coeckelbergh, Mark (22233758600)","22233758600","Growing moral relations: Critique of moral status ascription","2012","","","","","1","239","162","10.1057/9781137025968","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872714754&doi=10.1057%2F9781137025968&partnerID=40&md5=93083a1a5faa845b36073a359168a68b","Grow. Moral Relat.: Crit. of Moral Status Ascription","Book","Final","","Scopus","2-s2.0-84872714754"
"Hasan, I.; Schmiedel, H.; Song, L.","Hasan, Iftekhar (7003267147); Schmiedel, Heiko (7003859210); Song, Liang (37039974700)","7003267147; 7003859210; 37039974700","Returns to Retail Banking and Payments","2012","Journal of Financial Services Research","41","3","","163","195","42","10.1007/s10693-011-0114-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860147867&doi=10.1007%2Fs10693-011-0114-y&partnerID=40&md5=51b632480e8ef976b2cbeb8148cfaac6","J. Financ. Serv. Res.","Article","Final","","Scopus","2-s2.0-84860147867"
"Vlastakis, N.; Markellos, R.N.","Vlastakis, Nikolaos (23101345500); Markellos, Raphael N. Nicholas (6602787639)","23101345500; 6602787639","Information demand and stock market volatility","2012","Journal of Banking and Finance","36","6","","1808","1821","358","10.1016/j.jbankfin.2012.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859650045&doi=10.1016%2Fj.jbankfin.2012.02.007&partnerID=40&md5=c88ba4a9e79f3288b0e206c9599d2632","J. Bank. Financ.","Article","Final","","Scopus","2-s2.0-84859650045"
"Ruth Ruth E. Page, R.","Ruth Ruth E. Page, Ruth E. (7402110005)","7402110005","The linguistics of self-branding and micro-celebrity in Twitter: The role of hashtags","2012","Discourse and Communication","6","2","","181","201","384","10.1177/1750481312437441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861867899&doi=10.1177%2F1750481312437441&partnerID=40&md5=07c1b290a8038ab512ce6cef20bc95b5","Discourse Commun.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84861867899"
"Bronk, C.; Monk, C.; Villasenor, J.","Bronk, Chris (25654712200); Monk, Cody (55157201200); Villasenor, John D. (57027316300)","25654712200; 55157201200; 57027316300","The dark side of cyber finance","2012","Survival","54","2","","129","142","7","10.1080/00396338.2012.672794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859194235&doi=10.1080%2F00396338.2012.672794&partnerID=40&md5=6e47b6aef5d776fd45e874eeaad35d86","Survival","Article","Final","","Scopus","2-s2.0-84859194235"
"Davies, W.; McGoey, L.","Davies, William (35730977400); McGoey, Linsey (26028404300)","35730977400; 26028404300","Rationalities of ignorance: On financial crisis and the ambivalence of neo-liberal epistemology","2012","Economy and Society","41","1","","64","83","138","10.1080/03085147.2011.637331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857319625&doi=10.1080%2F03085147.2011.637331&partnerID=40&md5=f4d66098ac5cf75f704d17a39a5fa40d","Econ. Soc.","Article","Final","","Scopus","2-s2.0-84857319625"
"Avgouleas, E.","Avgouleas, Emilios E. (36815745500)","36815745500","Governance of global financial markets: The law, the economics, the politics","2012","","","","","1","477","98","10.1017/CBO9781139019446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925219644&doi=10.1017%2FCBO9781139019446&partnerID=40&md5=5aa7aaed345b1c04e63ddde3dc3c09a9","Gov. of Global Financial Markets: The Law, the Economics, the Politics","Book","Final","","Scopus","2-s2.0-84925219644"
"Dodd, N.","Dodd, Nigel (8967661800)","8967661800","Simmel's Perfect Money: Fiction, Socialism and Utopia in The Philosophy of Money","2012","Theory, Culture and Society","29","8","","146","176","34","10.1177/0263276411435570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872008496&doi=10.1177%2F0263276411435570&partnerID=40&md5=920278b0baf7ade071d9fc4c2f65ab5e","Theory Cult. Soc.","Article","Final","","Scopus","2-s2.0-84872008496"
"Wu, Z.-Y.; Chung, Y.; Lai, F.; Chen, T.-S.","Wu, Zhenyu (36070239700); Chung, Yufang (7404387548); Lai, Fei-Pei (7202559775); Chen, Tzer Shyong (57154894300)","36070239700; 7404387548; 7202559775; 57154894300","A password-based user authentication scheme for the integrated EPR information system","2012","Journal of Medical Systems","36","2","","631","638","40","10.1007/s10916-010-9527-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863200393&doi=10.1007%2Fs10916-010-9527-7&partnerID=40&md5=226828eaeff74b1a1a1731700d44780c","J. Med. Syst.","Article","Final","","Scopus","2-s2.0-84863200393"
"Ghosh, A.; McAfee, P.","Ghosh, Arpita (57196105262); McAfee, Randolph Preston (7006842300)","57196105262; 7006842300","Incentivizing high-quality user-generated content","2011","","","","","137","146","84","10.1145/1963405.1963428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960249300&doi=10.1145%2F1963405.1963428&partnerID=40&md5=eb8ab16741530152e0c53afbe626c3f9","Proc. Int. Conf. World Wide Web, WWW","Conference paper","Final","","Scopus","2-s2.0-79960249300"
"Richardson, M.; Smith, R.C.; Walter, I.","Richardson, Matthew P. (7401976575); Smith, Roy C. (55897547200); Walter, Ingo (7005460714)","7401976575; 55897547200; 7005460714","Large Banks and the Volcker Rule","2011","","","","","181","212","16","10.1002/9781118258231.ch7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055033362&doi=10.1002%2F9781118258231.ch7&partnerID=40&md5=d62abfccc771c6efef0e7a96805da9bd","Regulating Wall Street: The Dodd-Frank Act and the New Archit. of Global Finance","Book chapter","Final","","Scopus","2-s2.0-80055033362"
"Lerner, J.; Tufano, P.","Lerner, Josh (7101861907); Tufano, Peter (6602088559)","7101861907; 6602088559","The consequences of financial innovation: A counterfactual research agenda","2011","Annual Review of Financial Economics","3","","","41","85","97","10.1146/annurev.financial.050808.114326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955145071&doi=10.1146%2Fannurev.financial.050808.114326&partnerID=40&md5=873a09a01d8e7e38fe2ee0174ebb284b","Annu. Rev. Financ. Econ.","Article","Final","","Scopus","2-s2.0-80955145071"
"Ben-David, Y.; Hasan, S.; Pal, J.; Vallentin, M.; Panjwani, S.; Gutheim, P.; Chen, J.; Brewer, E.A.","Ben-David, Yahel (36447481300); Hasan, Shaddi (35777838800); Pal, Joyojeet (26436360800); Vallentin, Matthias (23399151800); Panjwani, Saurabh (8678468500); Gutheim, Philipp (36767553200); Chen, Jay (34881403800); Brewer, Eric A. (7103276708)","36447481300; 35777838800; 26436360800; 23399151800; 8678468500; 36767553200; 34881403800; 7103276708","Computing security in the developing world: A case for multidisciplinary research","2011","","","","","39","44","33","10.1145/1999927.1999939","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961063912&doi=10.1145%2F1999927.1999939&partnerID=40&md5=47254818fb63cd9232278ddb615dc7f7","MobiSys - Compil. Proc. Int. Conf. Mob. Syst., Appl., Serv. Co-located Workshops - NSDR Workshop NSDR'11","Conference paper","Final","","Scopus","2-s2.0-79961063912"
"Zappavigna, M.","Zappavigna, Michele Suzanne (35757167600)","35757167600","Ambient affiliation: A linguistic perspective on Twitter","2011","New Media and Society","13","5","","788","806","504","10.1177/1461444810385097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960911709&doi=10.1177%2F1461444810385097&partnerID=40&md5=83754602d96ae602505d68db9486545e","New Media and Society","Article","Final","","Scopus","2-s2.0-79960911709"
"Gao, J.; Zhang, Z.","Gao, Jie (55702649900); Zhang, Zhenghua (55803934800)","55702649900; 55803934800","User satisfaction of Ali Wangwang, an instant messenger tool","2011","Lecture Notes in Computer Science","6770 LNCS","PART 2","","414","420","4","10.1007/978-3-642-21708-1_47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960518136&doi=10.1007%2F978-3-642-21708-1_47&partnerID=40&md5=99bf991b4530228360d1d2bdafa12fd2","Lect. Notes Comput. Sci.","Conference paper","Final","","Scopus","2-s2.0-79960518136"
"Boot, A.W.A.","Boot, Arnoud W. A. (56218676800)","56218676800","Banking at the crossroads: How to deal with marketability and complexity?","2011","Review of Development Finance","1","3-4","","167","183","24","10.1016/j.rdf.2011.09.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055047690&doi=10.1016%2Fj.rdf.2011.09.003&partnerID=40&md5=0ad38d4bc84b000799dc42bedb7b4b5e","Rev. Dev. Financ.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-80055047690"
"Reinartz, W.; Dellaert, B.; Krafft, M.; Kumar, V.; Varadarajan, R.","Reinartz, Werner J. (6602305567); Dellaert, Benedict G. C. (6603360672); Krafft, Manfred (7006041194); Kumar, Vadapally Praveen (7404634666); Varadarajan, Rajan (6701784452)","6602305567; 6603360672; 7006041194; 7404634666; 6701784452","Retailing innovations in a globalizing retail market environment","2011","Journal of Retailing","87","SUPPL. 1","","S53","S66","170","10.1016/j.jretai.2011.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960137293&doi=10.1016%2Fj.jretai.2011.04.009&partnerID=40&md5=16214ba44bca6dd41a6068ae49f781ba","J. Retail.","Article","Final","","Scopus","2-s2.0-79960137293"
"Martin, R.","Martin, Ron L. (7501383172)","7501383172","The local geographies of the financial crisis: From the housing bubble to economic recession and beyond","2011","Journal of Economic Geography","11","4","lbq024","587","618","300","10.1093/jeg/lbq024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952324548&doi=10.1093%2Fjeg%2Flbq024&partnerID=40&md5=d595d2b9e0c067bd1d41a6a0cbde5992","J. Econ. Geogr.","Article","Final","","Scopus","2-s2.0-79952324548"
"Rochet, J.-C.; Tirole, J.","Rochet, Jean Charles (7003964548); Tirole, Jean (13805189500)","7003964548; 13805189500","Must-take cards: Merchant discounts and avoided costs","2011","Journal of the European Economic Association","9","3","","462","495","67","10.1111/j.1542-4774.2011.01020.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955813180&doi=10.1111%2Fj.1542-4774.2011.01020.x&partnerID=40&md5=517ff7802485913ff12dd3e5dda1b2c1","J. Eur. Econ. Assoc.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-79955813180"
"Kshetri, N.; Palvia, P.; Dai, H.","Kshetri, Nir (9633912200); Palvia, Prashant C. (7004085979); Dai, Hua (37077023700)","9633912200; 7004085979; 37077023700","Chinese institutions and standardization: The case of government support to domestic third generation cellular standard","2011","Telecommunications Policy","35","5","","399","412","68","10.1016/j.telpol.2011.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953702830&doi=10.1016%2Fj.telpol.2011.03.005&partnerID=40&md5=75aa085a12f7991af6d3f15f47072f23","Telecommun Policy","Article","Final","","Scopus","2-s2.0-79953702830"
