issn,eissn,subj_areas
07217250,,Engineering; Materials Science; Physics and Astronomy
09462171,,Physics and Astronomy
07217269,14320649,Engineering
18820778,18820786,Engineering; Physics and Astronomy
00036951,10773118,Physics and Astronomy
,19319401,Physics and Astronomy
17155312,,"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
2589109X,25891103,Social Sciences
18748635,,Chemical Engineering
01427164,14691817,Arts and Humanities; Psychology; Social Sciences
01466216,15523497,Psychology; Social Sciences
0269994X,14640597,Arts and Humanities; Psychology
17580846,17580854,Psychology
10900586,15733270,Psychology
09698043,18729800,Physics and Astronomy
01609963,,Medicine
,27024288,General
02703092,,Medicine
18712584,18712576,Social Sciences
22520198,23225343,Arts and Humanities; Social Sciences
14306395,16178106,Materials Science; Physics and Astronomy
26729156,26730421,Chemical Engineering; Computer Science; Engineering; Materials Science
14545101,14545101,Mathematics
,20763417,Chemical Engineering; Computer Science; Engineering; Materials Science; Physics and Astronomy
00036994,,Engineering
03657140,,Mathematics; Physics and Astronomy
25627775,25627783,Mathematics
09410635,,Computer Science
15684946,,Computer Science
09291393,,Agricultural and Biological Sciences; Environmental Science
0003701X,19349424,Energy
1874463X,18744621,Social Sciences
00037028,19433530,Chemistry; Physics and Astronomy
05704928,1520569X,Chemistry; Physics and Astronomy
87550024,,"Business, Management and Accounting; Mathematics"
15241904,15264025,"Business, Management and Accounting; Decision Sciences; Mathematics"
09641807,,Engineering; Physics and Astronomy
01694332,,Materials Science; Physics and Astronomy
,26665239,Materials Science; Physics and Astronomy
,25715577,Computer Science; Engineering; Mathematics
20493010,20493029,Arts and Humanities; Social Sciences
13594311,,Chemical Engineering; Energy; Engineering
14022001,1654109X,Environmental Science
21905487,21905495,Environmental Science
25208772,25208780,"Economics, Econometrics and Finance"
01690523,,Arts and Humanities
,17993121,Arts and Humanities
03050920,17516900,Engineering; Social Sciences
10009221,,Mathematics
10589139,,Medicine; Neuroscience
,20487703,Computer Science
04300947,,Medicine
26558807,26568888,"Business, Management and Accounting; Computer Science; Social Sciences"
02521865,22231757,"Economics, Econometrics and Finance; Social Sciences"
01203053,22565779,"Economics, Econometrics and Finance"
02133717,18866581,Medicine; Health Professions
,26665069,Medicine; Health Professions
15774015,20140983,Social Sciences
00924873,,Engineering
14433605,,Social Sciences
00037214,13652087,Engineering; Environmental Science
03567133,,Environmental Science
27098028,27098036,Engineering; Environmental Science
01448609,,Agricultural and Biological Sciences
00448486,,Agricultural and Biological Sciences
0266996X,,Agricultural and Biological Sciences; Earth and Planetary Sciences; Engineering; Environmental Science
20961758,2468550X,Agricultural and Biological Sciences; Environmental Science
1869215X,18697534,Agricultural and Biological Sciences; Environmental Science
09676120,1573143X,Agricultural and Biological Sciences
13535773,13652095,Agricultural and Biological Sciences
,23525134,Agricultural and Biological Sciences
1355557X,13652109,Agricultural and Biological Sciences
03714217,21850194,Agricultural and Biological Sciences
26186381,26513668,Agricultural and Biological Sciences
13657305,13657313,Agricultural and Biological Sciences; Environmental Science; Social Sciences
13575325,15731448,Environmental Science
18647782,18647790,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science
20469063,,Agricultural and Biological Sciences; Environmental Science
03043770,,Agricultural and Biological Sciences
10527613,10990755,Agricultural and Biological Sciences; Environmental Science
13862588,15735125,Agricultural and Biological Sciences
14634988,15394077,Agricultural and Biological Sciences; Environmental Science
13806165,15731421,Earth and Planetary Sciences
01650424,17444152,Agricultural and Biological Sciences
17986540,18185487,Agricultural and Biological Sciences; Environmental Science
09907440,17652952,Agricultural and Biological Sciences
01675427,19967292,Agricultural and Biological Sciences; Environmental Science
09483055,16161564,Agricultural and Biological Sciences
10151621,14209055,Agricultural and Biological Sciences; Environmental Science
,2602473X,Agricultural and Biological Sciences; Engineering; Environmental Science
0166445X,18791514,Agricultural and Biological Sciences; Environmental Science
16575997,20275374,Nursing
05705169,,Agricultural and Biological Sciences
19859899,25360051,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Business, Management and Accounting; Computer Science; Environmental Science; Social Sciences"
,25765299,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Energy; Environmental Science; Materials Science; Mathematics"
16586786,16586794,"Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
16871979,20902387,Medicine
13195166,25889214,Mathematics
1858554X,,Medicine
0255982X,24125407,Agricultural and Biological Sciences; Environmental Science
2090598X,20905998,Medicine
02680556,15730255,Social Sciences
,16877721,Arts and Humanities; Social Sciences
02713519,,Social Sciences
14806800,,Earth and Planetary Sciences; Social Sciences
09057196,16000471,Arts and Humanities; Social Sciences
2193567X,21914281,General
18785352,,Chemical Engineering; Chemistry
18667511,18667538,Earth and Planetary Sciences; Environmental Science
21935343,21935351,Mathematics
,24585920,"Agricultural and Biological Sciences; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
09574239,14740524,Arts and Humanities
05705398,15700585,Arts and Humanities; Social Sciences
10184171,21997233,Agricultural and Biological Sciences
20509928,20509936,Agricultural and Biological Sciences
14778351,17455227,Arts and Humanities; Social Sciences
10441891,,Earth and Planetary Sciences; Environmental Science
01464132,,Earth and Planetary Sciences; Environmental Science
15756823,,Arts and Humanities; Social Sciences
08017778,,Arts and Humanities; Social Sciences
09368671,,Medicine
00665665,,Immunology and Microbiology
03737187,,Earth and Planetary Sciences; Environmental Science
09446052,,Medicine
09446419,,Medicine
0300581X,,Medicine
03650863,,"Biochemistry, Genetics and Molecular Biology; Medicine; Health Professions"
09570411,18758398,"Business, Management and Accounting; Social Sciences"
02101963,1988303X,Arts and Humanities; Social Sciences
00037931,,Agricultural and Biological Sciences
03071375,21681074,Agricultural and Biological Sciences
19355297,,Agricultural and Biological Sciences; Environmental Science
00037982,16130642,Arts and Humanities
14723646,14723654,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
11326891,,Agricultural and Biological Sciences; Arts and Humanities; Social Sciences
13925520,23516534,Arts and Humanities; Social Sciences
13109537,,Arts and Humanities; Social Sciences
02315823,23364386,Arts and Humanities; Social Sciences
13926748,25388738,Arts and Humanities; Social Sciences
17246091,18253881,Arts and Humanities; Social Sciences
00665924,27196542,Arts and Humanities; Social Sciences
17235804,17242274,Arts and Humanities; Social Sciences
00038032,1589486X,Arts and Humanities; Social Sciences
00038008,18162959,Arts and Humanities; Social Sciences
18669557,18669565,Arts and Humanities; Social Sciences
13802038,14782294,Arts and Humanities; Social Sciences
00665983,23732288,Arts and Humanities; Social Sciences
10752196,10990763,Arts and Humanities; Social Sciences
05706084,,Arts and Humanities; Social Sciences
,23522267,Arts and Humanities; Social Sciences
01697331,,Arts and Humanities
22457135,,Arts and Humanities; Materials Science
15558622,19353987,Arts and Humanities
00038113,19435746,Arts and Humanities; Social Sciences
07284896,,Arts and Humanities; Social Sciences
15630110,,Arts and Humanities; Social Sciences
0003813X,14754754,Arts and Humanities; Social Sciences
02559005,,Arts and Humanities; Social Sciences
10181857,,Arts and Humanities; Social Sciences
14342758,,Arts and Humanities; Social Sciences
00038105,,Arts and Humanities; Social Sciences
0342734X,23644729,Arts and Humanities; Social Sciences
09488359,,Arts and Humanities; Social Sciences
03918165,,Arts and Humanities; Social Sciences
11266236,20386567,Arts and Humanities; Social Sciences
11206861,23851953,Arts and Humanities; Computer Science; Social Sciences
03900592,,Arts and Humanities; Social Sciences
00038180,,Arts and Humanities; Social Sciences
1551823X,15518248,Arts and Humanities; Social Sciences
03231267,25709151,Arts and Humanities; Social Sciences
01539337,,Arts and Humanities
1786271X,,Arts and Humanities
11610492,,Arts and Humanities; Social Sciences
19601360,21043728,Arts and Humanities; Social Sciences
,23090103,Arts and Humanities; Engineering; Environmental Science; Social Sciences
13850180,22150064,Arts and Humanities
00448613,,Arts and Humanities; Social Sciences
,23848898,Arts and Humanities; Engineering
19357001,,Arts and Humanities; Engineering
0044863X,,Arts and Humanities; Engineering
00038504,,Arts and Humanities; Engineering
00038520,,Arts and Humanities; Engineering
17452007,17527589,"Business, Management and Accounting; Engineering"
,20505833,Arts and Humanities; Engineering
0066622X,,Arts and Humanities; Engineering
0003858X,,Arts and Humanities; Engineering
13591355,14740516,Arts and Humanities; Engineering
0003861X,,Arts and Humanities; Engineering
00038628,17589622,Engineering
2411801X,27867374,Engineering
1361326X,,Computer Science; Engineering
13264826,17550475,Arts and Humanities
07460554,,Medicine
20507828,20507836,Arts and Humanities; Engineering; Social Sciences
,25000055,Engineering
16914333,22558764,Arts and Humanities; Engineering; Environmental Science; Social Sciences
00038695,,Arts and Humanities; Engineering
15805573,15816974,Arts and Humanities; Engineering; Social Sciences
18877052,18864805,Engineering; Social Sciences
00448680,,Arts and Humanities; Engineering; Social Sciences
03742393,,Engineering
0003889X,14208938,Mathematics
03656233,15214184,"Pharmacology, Toxicology and Pharmaceutics"
03760367,,Medicine
00038970,,Arts and Humanities; Social Sciences
00039187,,Medicine
07247842,,Medicine
00039012,,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
00666297,21945020,Arts and Humanities
00039039,,Engineering
03745155,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
00039063,,Medicine
00039098,,Agricultural and Biological Sciences; Veterinary
00039101,16130650,Arts and Humanities
03652564,,Environmental Science; Medicine
00039128,,Medicine
00039136,,Agricultural and Biological Sciences
00039152,,Medicine
00039179,,Medicine
03653773,,Medicine
00039195,,Medicine
00039217,,Medicine
00039225,,Medicine
00039233,21943958,Arts and Humanities; Social Sciences
0003925X,,Agricultural and Biological Sciences; Environmental Science; Immunology and Microbiology
00666386,,Arts and Humanities
00039268,,Mathematics
00039276,,Medicine
03654125,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
00039284,,Agricultural and Biological Sciences
00039292,23662794,Arts and Humanities
00039330,,Medicine
00666459,18671551,Arts and Humanities; Social Sciences
03761630,,Medicine
00039365,,Agricultural and Biological Sciences; Immunology and Microbiology
00039373,,Medicine; Psychology
00666475,,Medicine
00012343,23635606,Arts and Humanities; Social Sciences
00039381,21980489,Arts and Humanities
14363038,18688888,Arts and Humanities
00666505,,Arts and Humanities; Social Sciences
0003942X,,Agricultural and Biological Sciences
00039446,,"Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
00666513,,Social Sciences
00448699,,Arts and Humanities; Social Sciences
08922179,,Arts and Humanities; Social Sciences
13890166,,Arts and Humanities; Social Sciences
03186954,,Social Sciences
00039519,14320657,Arts and Humanities; Mathematics
09335846,14320665,Arts and Humanities; Mathematics
00039527,14320673,Engineering; Mathematics
00846724,15736121,Arts and Humanities; Psychology
09391533,14320681,Engineering
09441921,,Agricultural and Biological Sciences
00040738,23001895,Engineering
03547310,14509520,Medicine
00039535,,Arts and Humanities; Social Sciences
01576895,21646058,Social Sciences
10421467,,Computer Science; Engineering
23257962,23257989,Arts and Humanities
00039438,23639822,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
03018636,,Medicine
0003956X,,Medicine
0395501X,,Medicine
00039594,,Medicine
00039608,,Medicine
00202460,,Medicine
00202509,,Medicine
00202495,,Medicine
0929693X,1769664X,Medicine
00039632,,Arts and Humanities
03355985,17775825,Arts and Humanities; Social Sciences
03654117,,Medicine
00039683,,Medicine
1261694X,,Medicine
00039691,,Medicine
17758785,,Medicine
12503274,,Medicine
1661464X,26246848,General
02529289,,General
03735478,21099529,Arts and Humanities
03994236,,Medicine
0003973X,,Medicine; Neuroscience
00039756,14740583,Social Sciences
00666416,,Earth and Planetary Sciences; Environmental Science
00039764,,Medicine
00039772,,Medicine
00039780,,"Pharmacology, Toxicology and Pharmaceutics"
03014541,,Medicine
00039799,,"Biochemistry, Genetics and Molecular Biology"
07783124,,Medicine
00039810,,Medicine
00039829,,"Biochemistry, Genetics and Molecular Biology"
00039837,19650531,Arts and Humanities; Social Sciences
05706955,,Medicine
03654958,,Medicine
03655164,18753019,
,26454904,Medicine; Nursing; Health Professions
01375075,2300262X,Physics and Astronomy
03650340,14763567,Agricultural and Biological Sciences
08994811,,Medicine
00039853,23270667,Arts and Humanities
01485016,15210375,"Biochemistry, Genetics and Molecular Biology"
,24235849,Medicine; Nursing
1745039X,14772817,Agricultural and Biological Sciences; Veterinary
00666637,19446497,Arts and Humanities
1234754X,2084476X,Energy
00039861,10960384,"Biochemistry, Genetics and Molecular Biology"
03544664,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
23454644,2345461X,Medicine
,23830433,"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
16438698,16438698,Health Professions
18752136,18752128,Medicine
18786480,18786502,Medicine
16449665,,Engineering
12302945,,Engineering
,23452641,"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
19898436,,Medicine
08876177,18735843,Medicine; Psychology
11343060,18861784,Computer Science; Mathematics
12302384,,Engineering; Mathematics
22871152,22875603,Medicine
03403696,1432069X,Medicine
09441948,,Medicine
0003987X,15383652,Medicine
00966029,23763760,Medicine
12268046,22882987,Arts and Humanities; Computer Science; Engineering
00039888,14682044,Medicine
17430585,17430593,Medicine
13592998,14682052,Medicine
17535174,,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
14274221,23002506,Engineering
02644924,,Medicine
23593997,23594292,Medicine
19338244,21544700,"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
00904341,14320703,"Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
00039896,,Environmental Science; Medicine
20834772,20834810,Environmental Science
,27920550,Medicine; Neuroscience
15212491,15383660,Medicine
10633987,,Medicine
18973310,22992944,Engineering; Materials Science
03542440,,Medicine
0003990X,15383636,Arts and Humanities; Medicine
01674943,18726976,"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing; Social Sciences"
01709925,,Medicine
09320067,14320711,Medicine
,26874644,Earth and Planetary Sciences; Medicine; Social Sciences; Health Professions
11053992,,Medicine
09149465,13491717,Medicine
12313726,,Engineering; Environmental Science
02731045,,Medicine
15426149,15426181,Mathematics
07394462,15206327,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
00039926,15383679,Medicine
0730188X,,Medicine
10292977,17353947,Medicine
18972764,,Materials Science
03732029,,Engineering; Physics and Astronomy
01884409,18735487,Medicine
17341922,,Medicine
25899171,2589918X,Medicine; Psychology
08607052,,Materials Science
17333490,,Materials Science
03028933,1432072X,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
08607001,16890469,Earth and Planetary Sciences
02609541,17556260,Agricultural and Biological Sciences; Arts and Humanities; Social Sciences
00039306,,Environmental Science
00039942,15383687,Arts and Humanities; Medicine
00966754,,Arts and Humanities; Medicine
23223944,23225769,Medicine; Neuroscience
00039950,15383601,Medicine
00039969,18791506,"Biochemistry, Genetics and Molecular Biology; Medicine; Dentistry"
18238602,22317163,Dentistry
09368051,14343916,Medicine
03448444,,Medicine
18623522,18623514,Medicine
08864470,1538361X,Medicine
00039977,23763817,Medicine
03029530,,Medicine
07247907,,Medicine
03630153,,Medicine
00039985,15432165,Medicine; Health Professions
23221828,23221836,Medicine
,26753626,Medicine; Neuroscience
00966630,,Medicine
10724710,15383628,Medicine
15050580,15084868,Medicine
02536269,19763786,"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
00966622,,Medicine
00039993,1532821X,Medicine; Health Professions
13813455,17444160,"Biochemistry, Genetics and Molecular Biology; Medicine"
,20570082,Medicine; Health Professions
03235408,14772906,Agricultural and Biological Sciences
22346163,22346171,Medicine
12306428,20836139,Agricultural and Biological Sciences
08839417,15328228,Nursing
15092046,2083828X,Medicine; Psychology
26711079,26712008,Medicine; Psychology; Social Sciences
07787367,20493258,Medicine
03653439,20089872,"Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics; Veterinary"
,25901095,Medicine; Health Professions
21485046,,Medicine
00040002,15732800,Arts and Humanities; Psychology
10710906,,Medicine
13811118,15436136,Medicine; Psychology
00040010,15383644,Medicine
02725533,,Medicine
15849244,,Medicine
12310956,20836023,Physics and Astronomy
03405761,14320738,"Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
01719750,,Medicine
08669546,,Engineering; Social Sciences
18209955,26834138,Veterinary
1517784X,,Veterinary
03048608,14328798,Immunology and Microbiology
09391983,,Immunology and Microbiology
14341816,14351102,Medicine
00040037,,Medicine
,20383215,Social Sciences
0390573X,,Medicine
03651487,,Medicine
03917029,,Medicine
00040088,19700792,Arts and Humanities
0004010X,,Medicine
00040126,,Medicine
11240059,2037688X,Arts and Humanities; Social Sciences
00040177,19718519,Social Sciences
03657426,,Medicine
03915646,22822828,Social Sciences
00040207,,Arts and Humanities; Social Sciences
00040223,,Medicine
03653129,,Medicine
03008991,,Medicine
00040258,,Medicine
03013685,,Medicine
0365351X,,Medicine
11243562,22824197,Medicine
00040290,,Medicine
11208538,,Medicine
11286768,18243789,Arts and Humanities
00040185,,Medicine
11200391,,Medicine
00040304,23849479,Social Sciences
00040312,,Medicine
03917770,,Arts and Humanities
00448745,,Arts and Humanities
,02115808,Arts and Humanities
19890508,02103230,Arts and Humanities; Social Sciences
00666742,19883110,Arts and Humanities; Social Sciences
00040428,19888511,Arts and Humanities
00040436,,Medicine
02101629,26954397,Arts and Humanities
03250075,16683501,Medicine
15159825,,Medicine
00040533,,"Biochemistry, Genetics and Molecular Biology"
03002896,15792129,Medicine
14059940,,Medicine
03048616,,"Pharmacology, Toxicology and Pharmaceutics"
23139749,26839601,Arts and Humanities; Social Sciences
00666769,,Medicine
07163371,,Medicine
03656691,19897286,Medicine
03657051,,Medicine
16989465,,Medicine
02128799,,Medicine; Health Professions
,,Medicine
0301732X,07176201,Veterinary
00040576,,Psychology
10285938,,Medicine; Neuroscience
11389672,15782549,Engineering; Medicine; Social Sciences
15760367,,Medicine
00040592,18854494,Agricultural and Biological Sciences
00203785,,Medicine
00249629,,Medicine
00040606,,Medicine
00040614,15768260,Medicine
00040622,,Medicine; Nursing
,27087212,Medicine
07980264,,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
05707218,23411120,Arts and Humanities; Social Sciences
00040657,,Medicine
00040665,,Arts and Humanities
00040681,,Medicine
00666785,,Arts and Humanities
0004069X,16614917,Immunology and Microbiology; Medicine
00448753,12125059,Mathematics
12305359,,Medicine
00040746,,Engineering
20823304,,Social Sciences
08601844,,Medicine
00040762,,Medicine
00040770,,Engineering
00040797,,Engineering
00666890,27194280,Social Sciences
00040800,,Engineering
03248267,16891716,Medicine
26316862,19387806,Arts and Humanities; Engineering; Social Sciences
00040843,19231245,Agricultural and Biological Sciences
00040851,,Earth and Planetary Sciences
00666939,19338139,Social Sciences
0782226X,,Medicine
,23874562,Social Sciences
,23687460,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science
15230430,19384246,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science
01311379,,Agricultural and Biological Sciences
0570734X,,Arts and Humanities; Social Sciences
03732266,,Agricultural and Biological Sciences
05707358,23410825,Agricultural and Biological Sciences
00040894,14754762,Social Sciences
,23792957,Environmental Science; Social Sciences
15910075,,Medicine
11346396,,Arts and Humanities; Social Sciences
1016913X,22233741,Arts and Humanities
00040975,,Arts and Humanities; Social Sciences
11208651,,Medicine
02541637,,Arts and Humanities; Social Sciences
09233970,,Medicine
19577729,19577737,Engineering; Medicine
20674252,25016334,Arts and Humanities; Engineering; Social Sciences
19462166,19462174,Computer Science; Mathematics; Social Sciences
20836635,20841043,Arts and Humanities
,24652334,Arts and Humanities; Mathematics; Social Sciences
12335835,,"Business, Management and Accounting; Economics, Econometrics and Finance"
24624993,24625906,Arts and Humanities; Social Sciences
0920427X,15728374,Arts and Humanities; Social Sciences
10511431,25768476,Social Sciences
18776884,,Arts and Humanities; Social Sciences
15667650,22151907,Arts and Humanities; Social Sciences
02353490,2616499X,Arts and Humanities; Social Sciences
00667358,25015893,Arts and Humanities; Social Sciences
05708966,15811204,Arts and Humanities; Social Sciences
00041963,,"Pharmacology, Toxicology and Pharmaceutics"
00041254,18486312,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
00041289,,Medicine
14345641,1434565X,Engineering
20790961,20790988,Agricultural and Biological Sciences; Environmental Science
10006060,,Earth and Planetary Sciences; Environmental Science
15324982,15324990,Agricultural and Biological Sciences
08903069,,Agricultural and Biological Sciences; Earth and Planetary Sciences
10014675,,Earth and Planetary Sciences; Environmental Science
00041327,,Arts and Humanities
15679896,15700593,Arts and Humanities
18711405,,Arts and Humanities
00955809,,Arts and Humanities; Social Sciences
,09274103,Arts and Humanities
0004153X,,Medicine
00041556,,Medicine
00041610,15589595,Arts and Humanities; Social Sciences
10564764,,Medicine
00041823,,Arts and Humanities
25876112,26189488,Arts and Humanities; Social Sciences
00041947,,Medicine
00041955,23091266,Medicine
00042080,18712487,Mathematics
00667668,,Arts and Humanities; Social Sciences
15517004,15517012,Chemistry
22234594,,Earth and Planetary Sciences; Environmental Science; Social Sciences
0095327X,15560848,Social Sciences
00042218,,Medicine
,18291163,Mathematics
17416124,17496268,Arts and Humanities
03623505,,Medicine
21996792,21996806,Mathematics
,27954552,Medicine
18196608,,Engineering
07160852,07176996,Arts and Humanities; Engineering
03275159,18538126,Arts and Humanities; Social Sciences
16952731,19895313,Arts and Humanities; Engineering; Social Sciences
19894104,,Arts and Humanities; Social Sciences
01888218,,Arts and Humanities; Social Sciences
11343184,23865423,Arts and Humanities
18085741,,Engineering
01020935,16784162,Veterinary
0066782X,,Medicine
01026720,23176326,Medicine
00042730,16779487,Medicine
03650723,,Medicine
00042749,16782925,Medicine
01045652,,Medicine
01008692,18095267,Psychology
03652203,,Medicine
03650979,,"Biochemistry, Genetics and Molecular Biology"
08723265,,Medicine
00042803,16784219,Medicine
14137615,,"Biochemistry, Genetics and Molecular Biology; Medicine"
08713413,,Medicine
0004282X,16784227,Medicine; Neuroscience
00042838,,Medicine
01025902,,Medicine
15160939,21781990,Dentistry
,25900056,Computer Science
20503369,20503377,Medicine
13944444,,Medicine
00449008,27297349,Arts and Humanities
16785320,21780447,Arts and Humanities
18481590,18487459,Arts and Humanities
13379291,24508497,Arts and Humanities; Social Sciences
03817032,28175204,Mathematics
18549632,23504218,Arts and Humanities
17228352,27049019,Social Sciences
15656721,25164252,Arts and Humanities; Engineering; Social Sciences
11307099,,Arts and Humanities
18553966,18553974,Mathematics
00042897,,Medicine
05711371,,Arts and Humanities; Social Sciences
00042927,,"Arts and Humanities; Pharmacology, Toxicology and Pharmaceutics"
08249091,,"Arts and Humanities; Business, Management and Accounting; Materials Science"
,,Engineering
22124187,,Arts and Humanities; Social Sciences
22134905,22134913,Arts and Humanities
2042793X,20427948,Arts and Humanities; Social Sciences
00043079,,Arts and Humanities
01954148,,Arts and Humanities
07307187,21619417,Arts and Humanities; Social Sciences
00043125,23255161,Arts and Humanities; Social Sciences
01416790,14678365,Arts and Humanities
18224555,18224547,Arts and Humanities
00043214,,Arts and Humanities
17561310,,Arts and Humanities
16419278,24510327,Arts and Humanities; Social Sciences
00693235,,Arts and Humanities
00043249,,Arts and Humanities
,25909770,Computer Science; Mathematics
00909092,,Medicine
07421656,,Psychology; Health Professions
1474273X,,Arts and Humanities; Social Sciences
,24737321,Computer Science; Mathematics
00043400,,Arts and Humanities
03937267,,Arts and Humanities
,22972692,Arts and Humanities; Social Sciences
,21747563,Arts and Humanities
11315598,19882408,Arts and Humanities
24496170,24496162,Medicine
1607419X,24118524,Medicine
02765047,,Medicine
10498834,,Medicine
10795642,15244636,Medicine
00986127,,Medicine
18729312,18764401,Medicine
03004953,,Materials Science
18866190,19888309,Arts and Humanities; Medicine; Psychology; Social Sciences
10867058,10983376,Arts and Humanities
00043559,,Medicine
09767479,25172654,"Economics, Econometrics and Finance"
00043591,15290131,Immunology and Microbiology; Medicine
23265191,23265205,Immunology and Microbiology; Medicine
2151464X,21514658,Medicine
08937524,,Medicine
14659905,,Medicine
14786354,14786362,Immunology and Microbiology; Medicine
,25247948,Medicine
,23523441,Medicine
14678039,18735495,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
18637221,18648312,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
0136006X,,Agricultural and Biological Sciences
18728855,18728847,Agricultural and Biological Sciences; Environmental Science
07498063,15263231,Medicine
22126287,22126287,Medicine
,2666061X,Medicine; Health Professions
09337946,,Medicine
02619946,,Arts and Humanities
10786279,,Arts and Humanities
05875455,18489303,Arts and Humanities
00043648,,Arts and Humanities; Social Sciences
03919064,,Arts and Humanities
16614941,,Social Sciences
17493463,17493471,Arts and Humanities; Computer Science
10731199,15324184,"Biochemistry, Genetics and Molecular Biology; Engineering"
21691401,2169141X,"Biochemistry, Genetics and Molecular Biology; Engineering; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1949095X,19490968,"Biochemistry, Genetics and Molecular Biology; Chemistry"
00043702,,Arts and Humanities; Computer Science; Social Sciences
09248463,15728382,Computer Science; Social Sciences
08900604,14691760,Computer Science; Engineering
,25897217,Agricultural and Biological Sciences; Computer Science; Engineering
09541810,,Computer Science; Engineering
,26665441,Computer Science; Earth and Planetary Sciences; Engineering
09333657,18732860,Computer Science; Medicine
,26673185,Computer Science
02692821,15737462,Arts and Humanities; Computer Science; Social Sciences
,27710408,Computer Science; Engineering; Medicine
10645462,15309185,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science"
14335298,,"Biochemistry, Genetics and Molecular Biology; Computer Science"
0160564X,15251594,Chemical Engineering; Engineering; Materials Science; Medicine
09243054,,Engineering
0208841X,20836104,Earth and Planetary Sciences
,21647747,"Arts and Humanities; Business, Management and Accounting"
21622574,21622582,Arts and Humanities; Social Sciences
00043273,,Arts and Humanities
16955951,16955951,Arts and Humanities; Computer Science; Social Sciences
13000594,,Medicine
15911489,,Medicine
22133844,,Arts and Humanities
17533015,17533023,Arts and Humanities; Medicine
14740222,,Arts and Humanities; Social Sciences
20564945,20564953,"Arts and Humanities; Business, Management and Accounting"
00043958,,Arts and Humanities; Social Sciences
10632913,19404395,Arts and Humanities; Social Sciences
01974556,18735878,Medicine; Psychology; Health Professions
00044083,,Arts and Humanities
,21483582,Arts and Humanities
,22540709,Arts and Humanities; Social Sciences
03894118,,Medicine
00668176,,Social Sciences
16980476,,Agricultural and Biological Sciences
17353955,22516638,Medicine
1575166X,21736847,Arts and Humanities
00044172,16167066,"Pharmacology, Toxicology and Pharmaceutics"
07236913,,"Medicine; Nursing; Pharmacology, Toxicology and Pharmaceutics"
08635412,,Medicine
07206003,,Medicine
16148339,,Medicine
03405702,,Medicine
00019526,,"Biochemistry, Genetics and Molecular Biology"
14362635,,Medicine
14362627,,Medicine
14362643,,Medicine; Psychology
14362651,,Medicine
1436266X,,Medicine
03656403,,Medicine
10582916,1538943X,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science"
08897190,,"Biochemistry, Genetics and Molecular Biology"
23814705,23814721,Arts and Humanities
00938343,,Engineering
05698030,,Engineering
00447986,,Engineering
00447994,,Engineering
05698081,,Engineering
00448028,,Engineering
,23767642,Engineering
23329017,23329025,Engineering; Social Sciences
10164987,18659438,Arts and Humanities
02104466,19883102,Arts and Humanities
02773627,,Medicine
00220353,,Dentistry
00012459,,Engineering
02174472,,
,25869159,Chemical Engineering; Computer Science; Earth and Planetary Sciences; Energy; Engineering; Environmental Science
01277324,15055337,Agricultural and Biological Sciences
16554418,26555409,Chemical Engineering
27766098,27765938,Chemical Engineering; Chemistry; Engineering
,27738752,Agricultural and Biological Sciences; Chemical Engineering
02175460,22249028,Earth and Planetary Sciences; Environmental Science
10568077,,Engineering
10620281,,Medicine
