record_no,line_no,text
2021-0077,9,"however, in a country like sierra leone, which has experienced both a civil war and ebola outbreak, insecurity has been one of the biggest concerns expressed by bop inhabitants."
2021-0077,10,"hence, scholars need to incorporate contextual elements of risk, uncertainty and volatility while theorizing on fintech's application in bop contexts."
2021-0077,11,practical implications: a key managerial implication relates to micro-firm entrepreneurs and information specific benefits.
2021-0077,12,fintech offers entrepreneurs the possibility to be in regular contact with customers and evaluate their purchasing patterns as well as emergent needs.
2021-0077,13,fintech offers bop entrepreneurs a possibility to further develop their technological skills as learning to use such apps can be used as a basis for further skills development.
2021-0077,14,"from a policy perspective, our study highlights the importance of regulating fintech charges so that the affordability is increased, which is expected to result in significantly more bop entrepreneurs using these services."
2021-0077,15,"social implications: the authors find that at the same time, fintech contributes to social value by enhancing skills development of bop consumers who interact with case firms."
2021-0077,16,originality/value: this paper is one of the first studies that specifically focuses on bop entrepreneurship and social value creation by fintech services in an ssa context.
2021-0077,17,"it is also one of the few studies that incorporates views from both entrepreneurs and the country's fintech association, rather than focusing solely on either entrepreneurs or fintech firms."
2021-0077,18,"finally, there is a specific focus on bop entrepreneurs engaging in micro-entrepreneurship."
2021-0078,0,financial institutions play a pivotal role in the efficient allocation of capital resources.
2021-0078,1,"however, some households and firms may be excluded from formal financial markets due to asymmetric information and market imperfections, thereby adversely affecting equitable income distribution."
2021-0078,2,"on the other hand, among other things, access to finance is viewed as one of the key tools to fight poverty."
2021-0078,3,"this study develops a novel double ffi model and applies the structural equation modelling to simultaneously analyze the interaction between financial technology, financial inclusion, and income inequality in a panel of 25 african countries over the periods 2011, 2014, and 2017. the results show that financial inclusion mediates the financial technology-income inequality relationship thus playing a fundamental role in reducing income inequality in africa."
2021-0078,4,"on the policy front, the study urges african policymakers and regulators to craft policies that enhance fintech developments and financial inclusion."
2021-0079,0,one of the most modern inventions of financial technology (fintech) since after the global financial crisis of 2008 is the crypto or virtual currency/asset.
2021-0079,1,"since the creation of the first cryptocurrency, the bitcoin, in 2009, it is estimated that over five thousand variants of the bitcoin and other cryptocurrencies have emerged."
2021-0079,2,virtual currencies have become widespread across the globe but their legal status and uses in various countries have remained uncertain.
2021-0079,3,"they have been variously classified as currencies, securities, properties, assets, commodities and tokens, and used as means of exchange but are not legally recognised as legal tender."
2021-0079,4,"in many jurisdictions their emergence was greeted with scepticism and express or tacit rejection by financial and securities markets regulators, but over time, owing to their increasing popularity, characteristics, positive and negative potentials, there has been a gradual shift towards their formal recognition and regulation."
2021-0079,5,regulatory authorities in many countries are now grappling with designing appropriate policy and regulatory framework for the crypto phenomenon.
2021-0079,6,"this paper interrogates the current legal status and efforts to regulate cryptocurrencies in two leading african nations, nigeria and south africa, and highlights the challenges of designing an appropriate regulatory framework for this enigmatic technology."
2021-0079,7,"the paper adopts the doctrinal legal research methodology, employing the descriptive, analytical, and comparative approaches."
2021-0079,8,it follows a structured review and analysis of relevant extant legislation on currencies and securities in the countries to ascertain whether they cover cryptocurrencies.
2021-0079,9,it then compares the current position of the law on the subject in the two countries.
2021-0079,10,"bearing in mind that it may not be possible to totally ban dealing in cryptocurrencies, the paper concludes that regulation has become imperative."
2021-0079,11,"drawing from the position on the subject in more developed nations, the united states of america (us) and the european union (eu), this paper proposes a model of regulation of virtual currency not only for nigeria and south africa but also for other african countries."
2021-0080,0,financial technology (fintech) is widely recognised as important in addressing financial inclusion.
2021-0080,1,"however, limited research theorises how new entrants and incumbents work together in fintech ecosystems to shape financial inclusion."
2021-0080,2,"we undertake a theory-generating case study with multilevel interacting organisations in ghana, where, like many other african countries, the growth in fintech has led to new opportunities for financial inclusion."
2021-0080,3,"we conceptualise three practices, as building blocks at the ecosystem level, through which incumbents and new entrants shape financial inclusion: (1) innovative and collaborative practices, (2) protectionist and equitable practices, and (3) legitimising and sustaining practices."
2021-0080,4,"we articulate a theoretical model that explains how the practices shape financial inclusion and propose three theoretical propositions of how financial inclusion in developing countries is being scaled and shaped in terms of actors, relationships, and practices."
2021-0081,0,this article contributes to the discussion about managing the risks and uncertainties of emerging technologies through increased stakeholder participation.
2021-0081,1,"authorities have increasingly invited stakeholders from high-technology sectors to participate in assessing the risks of, and designing responses to, new technologies."
2021-0081,2,yet authorities often struggle to attract stakeholders from such sectors to participate.
2021-0081,3,a critical challenge identified but still undertheorised in the literature.
2021-0081,4,"responding to this gap, this article presents a case study of the uk's regulatory sandbox for financial technologies, applying a document study, questionnaire and interviews to explore fintech firm motivations and apprehensions about participation."
2021-0081,5,"drawing on the bureaucratic reputation literature, the study finds that fintech firms have a range of practical, reputational and normative motivations to participate, and these motivations are inextricably tied to the regulator's strong reputation with the sector as procedurally correct, high-performing and morally committed to facilitating innovation."
2021-0081,6,"on this basis, recommendations for practitioners and hypotheses for future research into the drivers of stakeholder participation in regulatory decision-making surrounding emerging technologies are proposed."
2021-0082,0,the huge advancement in the field of communication has pushed the innovation pace towards a new concept in the context of internet of things (iot) named iot for financial technology applications (iot-fintech).
2021-0082,1,the main intention is to leverage the businesses&#x2019.
2021-0082,2,income and reducing cost by facilitating the benefits enabled by iot-fintech technology.
2021-0082,3,"to do so, some of the challenging problems that mainly related to routing protocols in such highly dynamic, unreliable (due to mobility) and widely distributed network need to be carefully addressed."
2021-0082,4,this paper therefore focuses on developing a new trustworthy and efficient routing mechanism to be used in routing data traffic over iot-fintech mobile networks.
2021-0082,5,a new non-linear l&#x00e9.vy brownian generalized normal distribution optimization (nlbgndo) algorithm is proposed to solve the problem of finding an optimal path from source to destination sensor nodes to be used in forwarding fintech&#x2019.s related data.
2021-0082,6,we also propose an objective function to be used in maintaining trustworthiness of the selected relay-node candidates by introducing a trust-based friendship mechanism to be measured and applied during each selection process.
2021-0082,7,"the formulated model also considering node&#x2019.s residual energy, experienced response time, and inter-node distance (to figure out density/sparsity ratio of sensor nodes)."
2021-0082,8,results demonstrate that our proposed mechanism could maintain very wise and efficient decisions over the selection period in comparison with other methods.
2021-0082,9,iee
2021-0083,0,this study took online lending as the main research object to quantitatively measure fintech risk in china.
2021-0083,1,a theoretical model was built to analyse the relationship between the assets and liabilities of peer-to-peer platforms and the risk of the entire online lending industry.
2021-0083,2,the conditional value at risk method was used to measure the risk spillover effect of the online lending industry and the different types of platforms.
2021-0083,3,index smoothing and moving average were used to examine risk contagion.
2021-0083,4,"when the risk rate of the portfolio of the platform generally increases, the systemic risk of the whole industry also increases, and if the systemic risk of the industry spreads to the portfolio of the platform, it could affect the stability of the capital flow of the platform, and then affect the risk expectation of the platform itself."
2021-0083,5,most platforms with risk concerns were private.
2021-0083,6,banking platforms and public platforms were greatly affected by market risk.
2021-0083,7,"however, their own risks had relatively little impact on the overall market."
2021-0083,8,"the greater the market risk, the more platforms become risk platforms, and the smaller the impact on transition platforms."
2021-0083,9,regulatory sandboxes may be an effective means of preventing and controlling fintech risks.
2021-0084,0,the development of smartphones and mobile internet technologies has promoted the development of mobile payments worldwide.
2021-0084,1,the core purpose of this study is to ascertain what the main factors are which affect dutch customers adoption and experience of mobile payments.
2021-0084,2,"this study first addresses the concepts of mobile payments and customer experience and then explores the current dutch financial and banking systems, before attempting to understand the recent researches worldwide on mobile payments."
2021-0084,3,"based on quantitative research methods, the study examines the factors that influence the adoption and experience of mobile payments and the impacts of the covid-19 outbreak on payment methods due to social distancing rules in the netherlands."
2021-0084,4,"it finds that perceived ease of use, perceived usefulness, safety and trust are the main factors that affect the adoption of mobile payments, and mobile-payment providers need to improve technical protection and offer some benefits to boost the mobile-payment business."
2021-0084,5,the covid-19 outbreak has caused the decline of cash payments and the increase of contactless payments in the netherlands.
2021-0084,6,mobile payments ensure peoples health and help slow down the spread of the virus.
2021-0038,0,implementation of sdgs is the unified goal of 193 un member states.
2021-0038,1,fintech plays a crucial role in achieving it.
2021-0038,2,"therefore, the development of fintech must be facilitated through proper policy-making and public finance, creating beneficial pest conditions."
2021-0038,3,"however, the interaction of the fintech pest environment and achievement of sdgs is a topic that has not yet been addressed."
2021-0038,4,"the purpose of this study is to assess the link between these two indicators using statistical methods, indicate sdgs having the strongest link to fintech pest environment, and explain the interface to facilitate its useful application within government and financial regulations, as well as administration of the state and municipal financial entities."
2021-0038,5,"the results show that the economic and investment potential of northern europe is caused by the most favorable pest environment for fintech sector development, and demonstrate the existence of a statistical link between fintech pest environment and sdg4, sdg8, sdg9, sdg16."
2021-0038,6,"there is a clear trend  the more favorable the fintech pest environment, the better the achievement of sdgs, the better results of sustainable finance indicators, and the higher the sustainable finance typology assigned to the country."
2021-0038,7,"these results suggest that the goals, targets, and indicators of sdg4, sdg8, sdg9, and sdg16 contribute to the formation of a favorable environment and are conductive to the sustainable development of the fintech industry in a country."
2021-0038,8,"therefore, sustainability in the development of fintech industry and finance, and the achievement of sdgs, is a circular process of three interacting factors."
2021-0085,0,"the article examines the features of banks' lending activities and substantiates the prerequisites for strengthening their cooperation with financial companies, systematizes internal and external innovations used in the process of digitalization of the banking business."
2021-0085,1,"the periodization of the banking system from 2005 to the present in accordance with the strategic development goals and stages of the bank's life cycle has allowed to justify the relevant digitalization policy, appropriate for each period."
2021-0085,2,it has been proved that the symbiosis of banks and fintech companies helps to increase the competitiveness and profitability of business in the long run.
2021-0085,3,"the importance of introduction of banking innovations in the crediting market as the most profitable direction of banking activity has been substantiated, the forecast of change in net interest income of ukrainian banks for the post-pandemic period has been made."
2021-0085,4,"based on the fact that the indicator of the country's success in implementing the norms and measures of the digital agenda for the eu and digital single market is the digital economy and society index (desi), which is determined for each eu country annually, the paper makes forecast changes in its components: connectivity, human capital, use of internet, integration of digital technology, digital public services."
2021-0085,5,the main factors that inhibit the processes of strengthening the interaction between banks and fintech companies in ukraine have been identified.
2021-0085,6,the expediency of improving the current legislation of ukraine taking into account the best european practices in the field of cooperation between banks and fintech companies has been substantiated.
2021-0086,0,"while regulation of financial intermediaries has been embraced because the industry is particularly prone to market failures, disintermediation has the potential to make current frameworks obsolete."
2021-0086,1,"the law and economics problem is twofold: (1) potential market failures, and (2) the issue of enforcement."
2021-0086,2,this chapter discusses the foundations of financial intermediation and the traditional regulatory approaches to both banks and other providers of financial services.
2021-0086,3,our analysis establishes a distinction between fintechs working outside and inside the blockchain.
2021-0086,4,"for the former, the crucial regulatory trade-off is between efficiency gains from innovation and regulatory arbitrage."
2021-0086,5,"for the latter, our analysis suggests that regulating the convertibility of cryptocurrencies into fiat money is a promising strategy not only to safeguard financial stability, but also to attract financial services to the regulatory perimeter, whenever it is efficient to do so."
2021-0040,0,advances in information and communication technology (ict) have provided a platform for the introduction and diffusion of a range of financial technologies that have transformed the financial sector.
2021-0040,1,this study analyses the diffusion of financial technology (fintech) and its interaction with financial inclusion and living standards (gdp per capita).
2021-0040,2,we consider the determinants and effects of technology diffusion in financial services and identify two possible transmission mechanisms from the financial sector to gdp per capitaa fintech diffusion channel and a financial inclusion channel.
2021-0040,3,we specify the interactions between these two channels and their relationship with income per capita.
2021-0040,4,our empirical analysis focuses on the diffusion of two enabling fintech innovations: atms and associated digital networks.
2021-0040,5,and mobile phones and payments systems.
2021-0040,6,"the relationships between fintech diffusion, financial inclusion and gdp per capita are estimated using a panel data set for up to 137 countries over the period 19912015 using both cross section and panel techniques, including an error correction model that distinguishes short- and long-run effects."
2021-0040,7,a key finding is that fintech diffusion and financial inclusion have long-run effects on gdp per capita over and above their short-run impact and the effects of investment in fixed and human capital.
2021-0013,0,the purpose of this research is to define the level of significance for various indicators that influence the degree of consumer satisfaction regarding the use of fintech technologies and services.
2021-0013,1,"the most important factors that influence the level of satisfaction when using fintech services were considered: comfort and ease of use, legal regulations, ease of account opening, mobile payments features, crowdfunding options, international money transfers features, reduced costs associated with transactions, peer-to-peer lending, insurances options, online brokerage, cryptocoins options and exchange options."
2021-0013,2,"the study was conducted on a sample of 162 respondents, persons belonging to the millennials and generation z generations."
2021-0013,3,the values of the indicators for different categories of users of fintech services and different categories of generations can be determined based on the statistical tests performed and the results obtained from the regression analysis.
2021-0013,4,the values of the indicators are the basic elements for determining the regression model that will help the fintech service vendors to make personalized decisions for each category of users so that the level of customer satisfaction is maximized.
2021-0013,5,"the study carried out within the present article is the first of its kind for romania, because up to this moment in the specialized literature there are no such studies for eastern europe."
2021-0013,6,the research we conducted aims to fill the gap existing in the literature and responds to the expectations and needs of stakeholders in the fintechs business area.
2021-0013,7,the results of the article are relevant to both stakeholders and the scientific community that is concerned about the impact of fintech technologies.
2021-0087,0,healthcare organizations are setting new targets of sustainable practices to improve their financial performance without depleting social and natural capital.
2021-0087,1,"maintaining a sustainable, resilient, and durable healthcare system facilitate economies to achieve sustainable competitiveness."
2021-0087,2,"thus, it is important to address and fill the knowledge gap by identifying factors that improve a firms sustainability."
2021-0087,3,"drawing on technological knowledge spillover theory, this study investigates the effect of fintech development on the sustainable performance of healthcare firms using panel data comprised of 11 asia-pacific countries."
2021-0087,4,"by applying the 2-step gmm technique, we find a robust estimate that digital financial technologies improve the sustainable performance of the firms."
2021-0087,5,"contrary to the substitution effect, our results further indicate that financial institutions are collaborating with fintechs to facilitate financing at the individual and firm-level."
2021-0087,6,we also find that financial and ict development positively moderates the relationship between fintech development and sustainable performance.
2021-0088,0,"the aim of this paper is to review previous research on fintech, which may be broadly understood as financial innovation that uses information technology to provide financial services."
2021-0088,1,the paper describes a review of 88 refereed academic papers on the subject of fintech published in journals that have high sjr2017 scores.
2021-0088,2,papers were categorised according to the type of companies leveraging fintech (existing financial institutions vs. new entrants) and the type of value derived from fintech innovation (new value-added vs. improved efficiency).
2021-0088,3,"also considered were types of new value-added, geographical focus of the research and research methodologies."
2021-0088,4,the largest number of studies concerned the use of fintech innovation by new entrants to offer solutions to social issues or build new financial ecosystems.
2021-0088,5,"over half the studies were on fintech in asia or the european union, and the most common methodology employed was the case study."
2021-0088,6,copyright
2021-0089,0,the fintech index has been more active in the stock market with the fintech industry expanding.
2021-0089,1,the prediction of the fintech index is significant as it is capable of instructing investors to avoid risks and provide guidance for financial regulators.
2021-0089,2,traditional prediction methods adopt the deep neural network (dnn) or the combination of genetic algorithm (ga) and dnn mostly.
2021-0089,3,"however, heavy computational load is required by these algorithms."
2021-0089,4,"in this paper, we propose an integrated artificial intelligence-based algorithm, consisting of the random frog algorithm (rf), ga, and dnn, to predict the fintech index."
2021-0089,5,the proposed rf-ga-dnn prediction algorithm filters the key input variables and optimizes the hyperparameters of dnn.
2021-0089,6,we compare the proposed rf-ga-dnn with the traditional ga-dnn in terms of convergence time and prediction accuracy.
2021-0089,7,results show that the convergence time of ga-dnn is up to 20 hours and its prediction accuracy is 97.4%.
2021-0089,8,"in comparison, the convergence time of our rf-ga-dnn is only about 1.5 hours and the prediction accuracy reaches 97.0%."
2021-0089,9,these results demonstrate that the proposed rf-ga-dnn prediction algorithm significantly reduces the convergence time with the promise of competitive prediction accuracy.
2021-0089,10,"thus, the proposed algorithm deserves to be widely recommended for predicting the fintech index."
2021-0090,0,"building on critical approaches that understand algorithms in terms of communication, culture and organization, this paper offers the supplementary conceptualization of algorithms as organizational figuration, defined as material and meaningful sociotechnical arrangements that develop in spatiotemporal processes and are shaped by multiple enactments of affordanceagency relations."
2021-0090,1,we develop this conceptualization through a case study of a danish fintech start-up that uses machine learning to create opportunities for sustainable pensions investments.
2021-0090,2,"by way of ethnographic and literary methodology, we provide an in-depth analysis of the dynamic trajectory in and through which the organization gives shape to and takes shape from its key algorithmic tool, mapping the shifting sociotechnical arrangements of the start-up, from its initial search for a viable business model through the development of the algorithm to the public launch of its product."
2021-0090,3,"on this basis, we argue that conceptualizing algorithms as organizational figuration enables us to detail not only what algorithms do but also what they are."
2021-0091,0,the peer to peer lending financial technology corporation as a digital-based intermediary has two types of agency relationships: (1) between financial technology corporation as an agent with investors as a principal.
2021-0091,1,(2) between financial technology corporation as an agent and the small-medium enterprises as a third party (debtors).
2021-0091,2,"both of these agency relationships currently run independently and are separate from other agency relationships, so they are not effective in improving performance."
2021-0091,3,"therefore, the purpose of this article is to develop a conceptual framework of the e-integrated corporate governance model at the peer to peer lending financial technology corporation to improve sustainability performance."
2021-0091,4,"the research method in this article was reviewing articles related to corporate governance, finding gaps and limitations."
2021-0091,5,"the results of this study are that because business processes in financial technology corporations are interconnected systems, both corporate governances must be integrated with information technology, in order to improve sustainability performance."
2021-0091,6,"with this model, asymmetric information between the three parties (depositors/investors, financial technology corporation, and small-medium enterprises) and all stakeholders can be eliminated, risks can be reduced, business processes and financial and non-financial information of the three parties is more transparent and accessible for all stakeholders."
2021-0092,0,the financial stability board defines financial technology (fintech) as technology-enabled innovation in financial services.
2021-0092,1,"at the 2015 world economic forum, experts proposed a taxonomy for financial services that can be classified into six major categories: payments, deposits and lending, market provisioning, capital raising, insurance, and investment management."
2021-0092,2,"because financial opinion mining can be applied to many listed services, we survey various cases in this chapter and show that financial opinion mining is useful and crucial in many financial application scenarios."
2021-0093,0,digital finance has changed the landscape of financial service provision worldwide.
2021-0093,1,"china in particular, with a booming fintech sector and large numbers of users, is at the forefront of the expansion of digital financial services."
2021-0093,2,"as such, the country has become an important case for better understanding how fintech operates and what its expansion entails for socioeconomic development."
2021-0093,3,this paper focuses on the provision of new models of digital finance in rural china by two internet giantsjd and alibaba.
2021-0093,4,"against the backdrop of decades of generally unsuccessful attempts to expand financial coverage in rural areas by conventional bricks-and-mortar financial institutions, these two rural fintech models have the potential to expand digital financial service provision in new ways."
2021-0093,5,"this paper critically examines these fintech models, contextualises them within the broader trajectory of pushes to expand digital financial inclusion worldwide, considers the parallels with agricultural supplier contracting systems elsewhere, and explores the potential benefits and risks that they pose for rural development and rural livelihoods in china and elsewhere."
2021-0094,0,scholars and practitioners continue to recognize the crucial role of entrepreneurial ecosystems (ees) in creating a conducive environment for productive entrepreneurship.
2021-0094,1,"although ees are fundamentally interaction systems of hierarchically independent yet mutually dependent actors, few studies have investigated how interactions among ecosystem actors drive the entrepreneurial process."
2021-0094,2,"seeking to address this gap, this paper explores how ecosystem actor interactions influence new ventures in the financial technology (fintech) ee of singapore."
2021-0094,3,"guided by an ee framework and the use of an exploratory-abductive approach, empirical data from semi-structured interviews is collected and analyzed."
2021-0094,4,"the findings reveal four categories representing both the relational perspective, which features interaction and intermediation dynamics, and the cultural perspective, which encompasses ecosystem development and regulatory dynamics."
2021-0094,5,these categories help explain how and why opportunity identification and resource exploitation are accelerated or inhibited for entrepreneurs in fintech ees.
2021-0094,6,the present study provides valuable contributions to scholars and practitioners interested in ees and contributes to the academic understanding of the emerging fintech phenomenon.
2021-0035,0,this article evaluates the sandbox approach as a regulatory answer to the challenges financial technology brings to finance and social relations.
2021-0035,1,"taking fintech as a sociotechnological phenomenon embedded in discourses of solutionism and innovation, we show that the regulatory sandbox accepts these discourses."
2021-0035,2,"instead of containing fintech, the sandbox is designed in a way that advances riskwashing of fintech even if it is disguised as risktaming."
2021-0035,3,"next, we demonstrate fintechs problematic nature that regulation should control."
2021-0035,4,"first, we propose that through its information processing capacity, fintech accelerates the transition from bank-based to market-based finance."
2021-0035,5,"second, we demonstrate that fintech as part of a fintech-financialization apparatus has catallactic and value-extracting governance effects."
2021-0035,6,"third, inserting the fintech-financialization apparatus into fourcade and healys argument on the social stratification effect of the data-driven economy, we argue that it also has a socially disruptive potential."
2021-0035,7,we critique the regulatory sandbox for being a facilitator to this process and recommend increasing the number and power of veto players and veto points in complex regulatory regimes.
2021-0095,0,the financial landscape is being transformed by technological innovations.
2021-0095,1,this trend can be observed clearly in the uk where fintech is developing within the context of the ongoing digitalization of the economy.
2021-0095,2,this paper examines the role of the british government and regulatory authorities in sparking innovation to improve the way financial services are provided.
2021-0095,3,"at the conceptual level, fintech-specific policy presumes the existence of complex trade-offs between competition, market integrity, and financial stability."
2021-0095,4,the special consideration is given to open banking initiative as a key driver of competition in financial services sector.
2021-0095,5,by removing barriers to entry and grow for fintech firms the policy enablers try to solve the longstanding problems of financial exclusion.
2021-0095,6,particular attention is paid to key approaches to fintech regulation.
2021-0095,7,the financial conduct authority undertakes the constant review of regulatory perimeter as a means of mitigating risks to market integrity and ensuring consumer protection.
2021-0095,8,the bank of england is rethinking the notion of financial stability and reviewing the approaches to managing systemic risks.
2021-0095,9,the paper regards the initiatives implemented by regulatory authorities to support innovator businesses as a way to ensure the world leading position of the uks financial sector.
2021-0095,10,it is argued that the supportive government policy and progressive regulation are the overriding factors of fintech development in the uk.
2021-0096,0,"new technologies have been driving the global financial market, including fintech companies, which provide disruptive financial services in which information technology is the key factor."
2021-0096,1,the objective of this study is to identify which factors most influence intentions to continue using these companies products.
2021-0096,2,"to achieve this, research by ryu (2018) was replicated."
2021-0096,3,our adopted model evaluates the weight of seven factors composing two latent variables  perceived risk and perceived benefit  in the continuity of use of these services.
2021-0096,4,"the data collection was performed through an electronic survey, distributed through social networks during may and june of 2019. the main results confirmed seven of the eleven initial hypotheses, highlighting that the perceived benefits, especially the economic ones, were relevant to early adopters and seamless transactions were relevant for late adopters."
2021-0096,5,"surprisingly, perceived risk was not a determinant of continuance intention."
2021-0096,6,"one of the contributions of this study is that it indicates some possible demographic and behavioral characteristics of brazilian fintech consumers, opening up space for a better understanding of the market and service improvements."
2021-0014,0,financial technology have revolutionized the delivery and usage of the autonomous operations and processes to improve the financial services.
2021-0014,1,"however, the massive amount of data (often called as big data) generated seamlessly across different geographic locations can end end up as a bottleneck for the underlying network infrastructure."
2021-0014,2,"to mitigate this challenge, software-defined network (sdn) has been leveraged in the proposed approach to provide scalability and resilience in multi-controller environment."
2021-0014,3,"however, in case if one of these controllers fail or cannot work as per desired requirements, then either the network load of that controller has to be migrated to another suitable controller or it has to be divided or balanced among other available controllers."
2021-0014,4,"for this purpose, the proposed approach provides an adaptive recovery mechanism in a multi-controller sdn setup using support vector machine-based classification approach."
2021-0014,5,"the proposed work defines a recovery pool based on the three vital parameters, reliability, energy, and latency."
2021-0014,6,"a utility matrix is then computed based on these parameters, on the basis of which the recovery controllers are selected."
2021-0014,7,the results obtained prove that it is able to perform well in terms of considered evaluation parameters.
2021-0014,8,iee
2021-0008,0,financial technology (fintech) is seen as possessing significant potential to provide the poor access to financial services and help them escape the clutches of poverty.
2021-0008,1,"surprisingly, information systems (is) research has engaged little with fintech's promise of fostering financial inclusion for the poor."
2021-0008,2,"in the spirit of making a better world with icts, conducting responsible is research for a better world and understanding and tackling societal grand challenges through management research, we advance a framework for guiding is research on fintech-led financial inclusion."
2021-0008,3,"drawing on the is literature and information and communication technologies for development (ict4d) scholarship, we extrapolate five areas of research that can better illuminate fintech's contributions to financial inclusion: (a) business strategies for fintech-led financial inclusion."
2021-0008,4,(b) digital artifacts of fintech-led financial inclusion.
2021-0008,5,(c) business environment of fintech-led financial inclusion.
2021-0008,6,(d) microfoundations of fintech for financial inclusion.
2021-0008,7,(e) developmental impacts of fintech.
2021-0008,8,we conclude with a discussion of how the five areas offer opportunities for impactful research on fintech and the promise of building a financially inclusive society.
2021-0008,9,information systems journal
2021-0097,0,"network visibility and monitoring are critical in modern networks due to the increased density, additional complexity, higher bandwidth, and lower latency requirements."
2021-0097,1,precise packet timestamping and synchronization are essential to temporally correlate captured information in different datacenter locations.
2021-0097,2,"this is key for visibility, event ordering and latency measurements in segments as telecom, power grids and electronic trading in finance, where order execution and reduced latency are critical for successful business outcomes."
2021-0097,3,"this contribution presents precise network time monitoring (pntm), a novel mechanism for asynchronous ethernet packet timestamping which adapts a digital dual mixer time difference (ddmtd) implemented in an fpga."
2021-0097,4,picosecond-precision packet timestamping is outlined for 1 gigabit ethernet.
2021-0097,5,"furthermore, this approach is combined with the white rabbit (wr) synchronization protocol, used as reference for the ieee 1588-2019 high accuracy profile to provide unprecedented packet capturing correlation accuracy in distributed network scenarios thanks to its sub-nanosecond time transfer."
2021-0097,6,"the paper presents different application examples, describes the method of implementation, integration of wr with pntm and subsequently describes experiments to demonstrate that pntm is a suitable picosecond-level distributed packet timestamping solution."
2021-0098,0,purpose: this studys objectives are twofold.
2021-0098,1,"first, this paper aims to explore the determinants of perceived benefit and perceived risk of islamic fintech."
2021-0098,2,"second, this study examines the influence of perceived benefit, perceived risk and user trust on the intention to adopt islamic fintech."
2021-0098,3,"design/methodology/approach: the sample of 350 was distributed among the respondents, while a usable sample of 321 was retained for the analysis."
2021-0098,4,the study performed a self-administration survey to collect the sample data while the hypothesized model was tested using smartpls.
2021-0098,5,findings: the results revealed that perceived benefit and perceived risk were significant and positively influenced by their factors.
2021-0098,6,"moreover, perceived benefits showed a positive and significant impact on trust."
2021-0098,7,"however, perceived risk had a negative and significant impact on trust."
2021-0098,8,the results also found a strong positive and significant relationship between trust and intention to adopt islamic fintech.
2021-0098,9,originality/value: the outcome of this research may be used to develop strategies for fintech and enables the financial sector to attain economies of scale in the world.
2021-0023,0,digital media use applied to professional atmosphere is increasing its relevance in the companies of the 21st century.
2021-0023,1,"as a consequence, organisations should bear this fact in mind and adapt their corporate strategies to the new market demands."
2021-0023,2,online social networks offer customers the possibility to bring attention to issues they believe need to be addresses by organisations.
2021-0023,3,"added to this, e-reputation plays a pivotal role in determining a company's competitive advantage."
2021-0023,4,this paper studies the role of e-communications in an organisation's strategy and how analytics and modelling techniques are used to take advantage of the digital media content.
2021-0023,5,it discusses the historical reputational challenged experienced by banks and how can the current fintech industry take advantage of past errors.
2021-0023,6,"finally, an overview of effective mechanisms to improve e-reputation is presented."
2021-0023,7,copyright
2021-0005,0,"among the hot research topics, fintech is leading the trend in terms of the newest technology applications."
2021-0005,1,"the relatively new emerging paradigms in various sciences, such as geometry (fractals), physics (quantum), and database systems (distributed ledgerblockchain), seem to potentially contribute to a greater shift in the framework of the finance industry, bringing also some concerns (cyber-threats)."
2021-0005,2,"consistent and extensive investigation of the reasonable potential impact of these new models (and their underlying technologies) is performed, and then tested through a swot analysis, as the main objective of this research."
2021-0005,3,threats and opportunities are always intrinsically driven by the introduction of technological advancements (revolutions).
2021-0005,4,this research confirms that information availability and the increasing interconnection of crosswise applications of each discovery to the different fields of science is determining the rapid succession of revolutions identified by evident large shifts in economic paradigms.
2021-0005,5,"the growing computing capacity and the development of increasingly powerful predictive software are leading to a competitive, extremely dynamic, and challenging system."
2021-0005,6,"in this context, as shown by history, there is a high possibility of market concentration in which, however, only a few corporationsdigital giantscan afford to develop these technologies, consolidating their dominance."
2021-0036,0,the recent increase of robo-advisory services (ras) in various financial domains has caused a threatening alarm to the traditional fund and wealth management industry.
2021-0036,1,"there has been a remarkable growth in ras' assets under management (aum) due to their ability to provide better expected return by being competitive on pricing, transparency, and services."
2021-0036,2,"the research paper is designed to explore the various experts in the financial industry (which includes vp and avps of investment bank, managers and senior executive at bank, it professionals and executives, and fintech entrepreneurs and ceos) and perceive the digital disruption that is going to affect the traditional financial services industry."
2021-0036,3,"secondly, it is to explore the various strategies that are being adopted by the financial service providers to withstand competition from the disruption caused by fintech challengers."
2021-0036,4,"moreover, the purpose of this research paper is also to understand the extent and effect of the disruption as well as the strategies adopted by financial industry players to face these disruptions from fintech."
2021-0000,0,"the study in the age of the 4th industrial revolution examines the time and frequency domain connectedness and spill-over among fintech, green bonds, and cryptocurrencies."
2021-0000,1,"using daily data from november 2018 to june 2020, we use both dy (diebold & yilmaz, 2012) and bk (barunik et al., 2017) to examine the volatility connectedness of returns series."
2021-0000,2,"the results of dy suggest that, first, the total connectedness of 21st century technology assets and traditional common stocks is very high, and hence in the turbulent economy, there is a high probability of contemporaneous losses."
2021-0000,3,"second, bitcoin, msciw, msci us, and kftx are net contributors of volatility shocks whereas us dollar, oil, gold, vix, green bond and green bond select are net receivers."
2021-0000,4,"therefore, fintech and common equities are not good hedging instruments in the same portfolio."
2021-0000,5,"third, the short-term witnesses higher volatility transmission than the long-term."
2021-0000,6,"that is, holding assets for a long-term is likely to mitigate risks whereas trading financial assets in the short-term can increase risk because of higher volatility."
